question,category,answer
How can I contact with my advisor during advising?,Advising,"You should contact your advisor in his desired channel for advising. You can use wait queue to connect in voice with him. Then he/she will bring you in the main channel or will join you win the wait queue. It is not the right thing to Direct message him or email him. Because it is not in the procedure of advising. During on campus advising, you can easily meet him in person whenever he/she is in his office."
How to know who is my advisor?,Advising,"For CSE department, you can know you advisor by going to the CSE Advising Server. Then look for link-resources in the general section and find the link. It maybe titled as: 2024 [Current Semester] CSE Registration / Advising List [v1] [Student] List or wait until you see your advisor channel visible. Or visit: https://cse.sds.bracu.ac.bd/advising"
How many credits I am allowed to take?,Advising,If your CGPA is 3.5 or above you can take a minimum of 15 credits per semster otherwise 12.
"My advisor is not responding, what to do?",Advising,"Please wait, your advisor is maybe busy with other students response. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get request done by the advisor."
"My advisor is not on campus, what to do?",Advising,"Please request on Discord on your advisor's channel or try requesting other advisor. But he can reject you easily because it is not his duty as you are not assigned to him in the advising session. So, please ask your advisor on the Discord channel or request other advisor if they are willing to help."
How to get an extra seat in a particular course durning main advising?,Advising,"Request the section's faculty. If he agrees then he will do the other procedures for your desired section. But you need to have a maximum of 9 credits and also if there is vacany in the other sections and the section is not clashing with the courses of the routine. Your request will be rejected. Extra Seat Request Policy [CSE]:
• The section faculty has the right to deny any extra seat request in their section.
• If a student already is in another section of the same course, the request will be denied. The student may apply for lab change when the form is circulated if they have a clash that is not solveable..
If a student doesn't have the course at all and there are other sections with empty seats, then again the request will be denied. They might be added to an available section (depending on seat availability) without any notice from our side.
• If a student has 4 courses or more then again the request will be denied.
• No extra seat for hardware courses (CSE250,CSE251, CSE260, CSE350).
• A faculty may request max 2 extra seats for a lab based course and theory based course. If the seat status is already -2 in usis, the request will be denied.
Only when there is no suitable section for the student, the student maybe granted an extra seat."
"I have not been advised to a advisor yet, what to do?",Advising,Try emailing to the DCO of CSE deparment. DCO's: 1. Md. Maksudur Rahman 1.Email: maksudur.rahman@bracu.ac.bd 2. Md. Abdullah Al Masum Email: abdullah.masum@bracu.ac.bd 3. Mr. Sarwar Jahan Shajib Email: sarwar.jahan@bracu.ac.bd If the DCO's do not respond try emailing to Arif Shakil Sir. Email: arif.shakil@bracu.ac.bd
My discord verification is not working what to do? How can I do advising?,Advising,Try emailing to the DCO of CSE deparment. DCO's: 1. Md. Maksudur Rahman 1.Email: maksudur.rahman@bracu.ac.bd 2. Md. Abdullah Al Masum Email: abdullah.masum@bracu.ac.bd 3. Mr. Sarwar Jahan Shajib Email: sarwar.jahan@bracu.ac.bd If the DCO's do not respond try emailing to Arif Shakil Sir. Email: arif.shakil@bracu.ac.bd
"I am probation student, what is my advising rules?",Advising,Your regular advisor will not procede any of your request. There are special probation advisors for the Probation Students. Please search by going to the CSE Advising Server. Then look for link-resources in the general section and find the link. It maybe titled as: 2024 [Current Semester] CSE Registration / Advising List [v1] [Student] List or wait until you see your advisor channel visible. Or visit: https://cse.sds.bracu.ac.bd/advising 
How many credits I am allowed to take as I am a probation student?,Advising,It depends on your advisor. Either 6 or 9. You will not ne allowed to take 12.
"I am not able to take a particular course in the pre advising, but I have completed the pre-requisite(s) what to do now?",Advising,It is problem in the website or please recheck if you are really done with the pre-requisite or not. Please email at usis-help@bracu.ac.bd or try logging in this link using your gsuit in this website: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2
"I missed my pre advising, what should I do now?",Advising,Please wait for the 2nd phrase of the pre advising. You may not get those sections you will have got in the 1st phrase. But you can try in the 2nd phrase and also try to get courses in the main advising through your advisor.
I am having lab clashes in my routine? What to do now?,Advising,"Please look into this website for lab change form: https://cse.sds.bracu.ac.bd/advising 
"
My advising dashboard is not coming but my pre advising is still not going what to do?,Advising,Oh no! You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing at usis-help@bracu.ac.bd about you problem
Can other advisors do my advising?,Advising,"Yes, they can. But they do not have any responsibility to do that. Please go to your advisor. Faculties can be busy with his advised students and also his other works."
What is TBA? Who is Tba?,Advising,TBA means To be annouced. The faculty of this section will be annouced soon.
When TBA gets revealed?,Advising,TBA usually gets revealed during the advising period. 
"My pre advising schedule is not good, what to do?",Advising,Please try in the main advising or you can try by swapping your sections in the main advising.
Who is the best faculty of this course?,Advising,"BRAC University consistently hires top-tier faculty for all its programs, including this course. While it's difficult to single out one ""best"" faculty member as every instructor brings their unique expertise and teaching style, all of BRAC's professors are selected for their academic excellence, commitment to student success, and experience in their respective fields. The faculty here is known for fostering a collaborative and engaging learning environment, helping students not only grasp the material but also apply it to real-world situations. So no matter who is teaching this course, you can expect a high-quality learning experience."
Who gives more marks in this couse?,Advising,"When it comes to marking, every faculty member at BRAC University is fair and evaluates based on the quality of your work. If you write up to the point and answer questions clearly, you can secure high marks. It's important to focus on studying hard and aiming for excellence, rather than just trying to pass or worrying about probation. Put in your best effort, understand the material thoroughly, and aim for full marks—because with the right preparation, you can achieve more than just scraping by!"
Who teaches the best for this course?,Advising,"Every faculty at BRAC University strives to deliver their best in teaching to ensure that students receive a quality education. If you encounter any challenges or issues with the teaching, please don't hesitate to reach out to the department's head via email for support and resolution. "
What is the difference between repeat and retake?,Advising,"Retake means you got a F grade and you have to retake that course must, and repeat means you want to improve your grade but it is not mandatory. "
What is Connect?,Advising,"Connect, BRAC University’s new student life cycle management system which was previously known as USIS, is the gateway for students, faculty, and staff members to access seamless course registration, grade tracking, billing information, and more. Login Link: https://sso.bracu.ac.bd/realms/bracu/protocol/openid-connect/auth?client_id=slm&redirect_uri=https%3A%2F%2Fconnect.bracu.ac.bd%2F&state=380a29f7-f6a6-454c-a351-aa03e7c8ab41&response_mode=fragment&response_type=code&scope=openid&nonce=8cc90978-a843-4d29-b5a3-a131a6b2790c&code_challenge=Js6OTLKE8H7SJreUBsPdrr7TMOlXTueoouWerTUX3RU&code_challenge_method=S256"
Can you tell me how to log into connect?,Advising,"Login Guidelines: Login Link: https://bracu.atlassian.net/wiki/spaces/SHD/pages/420937748/CONNECT+-+Login+Guidelines#Login-to-Connect Step 1: >> Please open https://connect.bracu.ac.bd/ You are recommended to access tge Connect portal through a Desktop/Laptop/Mobile Browser (Desktop Mode). After clicking on the link, you will see the following page (BRAC University Central Login System) to access the portal. Step 2: >>Sign in with Google Select the Sign in with Google option to login the portal. If you face any issues regarding the G-Suite email access kindly send an email to sic@bracu.ac.bd mentioning your student details (Full Name, Student ID, Personal E-mail & Phone Number). Step 3: >> Login with G-Suite email Kindly ensure you are logged in with your Student G-Suite account. Step 4: >> Upon successful login, students can access their Dashboard and other Modules. "
What is the procedure of semester drop?,Advising,"To drop a semester, students will have to apply through the Semester Drop From along with some sufficient documents.

A step-by-step guide:

1. Collect the Semester Drop form from the Office of the Registrar and fill it up accordingly.

2. If you are dropping the semester for medical reasons, you will have to verify your Medical Certificate/ Document along with your Health Card from Brac University's Medical Center.

3. Take approval from your course teachers of the semester you are willing to drop.

4. Take approval from the Dean/ Chairperson of your respective Department.

5. Take approval from the Registrar.

6. Submit the Semester Drop Form to the Registrar's Office along with the above-mentioned documents."
What if someone mistakenly delete their information on USIS?,Advising,Students who accidentally deleted any information from their USIS account should contact at the Office of the Registrar using submit a request in the Help center or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email
What should a student do if he misses a deadline of something?,Advising,Students should contact with their respective department co coordinators (DCOs).
What if a course is not offered?,Advising,"If there are 20+ students requesting for a course and the department has the ability to provide a new section and there is also a faculty member who is free and also have the ability to take the course and after that if he agrees to take the course then a section might be opened or you have to wait until it is being offered. (If you find a course not being offered in your last semester, then you have to wait until it is being offered.)"
"I forgot my usis ID, what should I do? ",Advising,Students who forgot their USIS account's Username should contact at the Office of the Registrar or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.
"I forgot my usis ID password, what should I do? ",Advising,Students who forgot their USIS account’s Password should contact the Office of the Registrar or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.
What is the process to withdraw from a course after I have done some classes in the semester?,Advising,"Collect the course withdrawal form from the office, and get your faculty's signature along with the attested medical docs from the medical center.  "
Is a student allowed to take less than 9 credits?,Advising,"Preferably NOT. USIS should prohibit from approving such students.

However, if those courses are their last semester's only remaining courses, then please fill up the special approval form."""
What to do if usis shows 0 credit limit for some student IDs?,Advising,Probably they are instructed to contact registrar office.
Student wants extra seat in courses outside the department. What should be done?,Advising,The student should contact to that particular department's DCO to know that particular department's extra seat policy
How to identify a student under probation?,Advising,"""Students admitted Summer 22 and onwards - CGPA below 2.0
Students admitted before Summer 22 - CGPA below 1.5"""
Student wants to retake CSE110 and also do CSE111. Is that allowed?,Advising,Allowed if there are no class/exam clashes
Will my GPA / CGPA be capped at 3.3 if I do a course after 2 semester gap?,Advising,No. There's no caps anymore. You just need the permission of the chairperson with valid reasons if there's more than 2 semester gap... RS semester doesn't count.
What are the differences between Repeat vs Retake?,Advising,"""Re""""take"""" -- A student got an """"F"""" and (s)he must need to TAKE this course to complete the degree. The maximum attempt is twice (once for a non-credit course in 1st/2nd semester)

Repeat -- A student may optionally repeat a course to improve the grade (within 2 semesters). The latest grade earned would be counted for the CGPA calculation with no cap."""
"""The student didn't pass CSE220 but I added CSE221 in pre-advising.  Will he be allowed to continue CSE221 without passing CSE220? 
If not, will he be allowed to continue CSE221 along with CSE220 in the same semester? """,Advising,CSE221 will be dropped by the advisor if the student fails in CSE220. The student cannot do the two courses simultaneously.
"If a course is being taken as Repeat multiple times, will the latest grade be counted or the best one?",Advising,The LATEST grade Without Cap within 2 semesters; as mentioned in https://www.bracu.ac.bd/academics/policies-and-procedures.
"What schools and departments does BRAC University have, and how are they structured?",Department,"BRAC University currently has nine academic departments across various disciplines. These are:

        1.        Department of Architecture (ARC)
        2.        Department of Computer Science and Engineering (CSE)
        3.        Department of Electrical and Electronic Engineering (EEE)
        4.        Department of Economics and Social Sciences (ESS)
        5.        Department of English and Humanities (ENH)
        6.        Department of Pharmacy (PHR)
        7.        Department of Mathematics and Natural Sciences (MNS)
        8.        BRAC Business School (BBS)
        9.        School of Law (SOL)

These departments offer a wide range of undergraduate and graduate programs in their respective fields."
"How many undergraduate programs does BRAC University offer, and what are they?",Department,"BRAC University offers 17 undergraduate programs across its various departments. Here is the list of those programs:

        1.        Bachelor of Architecture (B.Arch)
Department of Architecture (ARC)
        2.        Bachelor of Science in Computer Science (BSc in CS)
Department of Computer Science and Engineering (CSE)
        3.        Bachelor of Science in Computer Science and Engineering (BSc in CSE)
Department of Computer Science and Engineering (CSE)
        4.        Bachelor of Science in Electrical and Electronic Engineering (BSc in EEE)
Department of Electrical and Electronic Engineering (EEE)
        5.        Bachelor of Science in Electronic and Communication Engineering (BSc in ECE)
Department of Electrical and Electronic Engineering (EEE)
        6.        Bachelor of Science in Physics (BSc in Physics)
Department of Mathematics and Natural Sciences (MNS)
        7.        Bachelor of Science in Applied Physics and Electronics (BSc in APE)
Department of Mathematics and Natural Sciences (MNS)
        8.        Bachelor of Science in Biotechnology (BSc in Biotechnology)
Department of Mathematics and Natural Sciences (MNS)
        9.        Bachelor of Science in Microbiology (BSc in Microbiology)
Department of Mathematics and Natural Sciences (MNS)
        10.        Bachelor of Pharmacy (Hons) (BPharm)
Department of Pharmacy (PHR)
        11.        Bachelor of Social Sciences in Economics (BSS in Economics)
Department of Economics and Social Sciences (ESS)
        12.        Bachelor of Social Sciences in Anthropology (BSS in Anthropology)
Department of Economics and Social Sciences (ESS)
        13.        Bachelor of Business Administration (BBA)
BRAC Business School (BBS)
        14.        Bachelor of Arts in English (BA in English)
Department of English and Humanities (ENH)
        15.        Bachelor of Arts in Linguistics and English Language Teaching (BA in Linguistics and ELT)
Department of English and Humanities (ENH)
        16.        Bachelor of Laws (LLB Hons)
School of Law (SoL)
        17.        Bachelor of Social Science in Sociology (BSS in Sociology)
Department of Economics and Social Sciences (ESS)

These programs cover a wide array of fields, including sciences, engineering, business, humanities, and law."
"How many postgraduate programs does BRAC University offer, and what are they?",Department,"BRAC University provides total 17 post graduate programs:
1. Executive MBA
2. M.S. In Biotechnology
3. M.Sc./M.Engg. in Computer Science and Engineering
4. MA in English
5. MA in Governance and Development
6. Master of Science in Applied Economics 
7. Masters in Procurement and Supply Management
8. MA in TESOL (Teaching English to Speakers of Other Languages)
9. Master in Computer Applications
10. Master in Disaster Management
11. Master of Business Administration
12. Master of Development Studies
13. Master of Public Health
14. Master of Science (M. Sc.) Electrical And Electronic Engineering
15. Master of Engineering (M. Engg.) Electrical And Electronic Engineering 
16. MEd & PGD in Educational Leadership & School Improvement 
17. MSc & PGD in Early Childhood Development"
"What is the academic calendar for BRAC University, including semester dates and exam schedules?",Department,Here is the official link of the academic dates: https://www.bracu.ac.bd/news-events/academic-dates
What types of general education courses are required for all undergraduate students at BRAC University?,Department,"Here is the list of all gen ed courses you can take to complete your credit:
https://www.bracu.ac.bd/academics/institutes-and-schools/school-general-education/streams-and-courses. But all the courses won't be available at every semester so please check USIS to make sure your prefered courses are available or not."
Are there any non-credit courses required for the CSE program?,Department,There are 2 non-credit courses that are assigned to prepare students for upcoming credit courses. These courses are assigned if the student's performance was not satisfactory during the admission test. The non-credit courses are: ENG 091:  Foundation Course in English  and MAT 092: Remedial Course in Mathematics.
What is the detailed course sequence for the Bachelor of Science in Computer Science and Engineering (CSE) at BRAC University?,Department,Here is the latest course details of CSE department: https://docs.google.com/document/d/1BksVbAqjgdVg-IbVJ0i09fVQcjw-_Sm_/edit Here is the latest course details of CS department: https://docs.google.com/document/d/1jFtSQLYyIlu1FMRuRAGBWbtUT3FbeCLB/edit
"How many credits are required for each category of courses (core, electives, general education) in the CSE program?",Department,"A total of 136 credits must be completed for the CSE program where 39 credits belong to General Education or University Core, 12 credits belong to School Core, 75 credits belong to Program Core, 6 credits belong to Program Elective and 4 credits belong to Project/ Internship/ Thesis."
What are the specific core courses required for the CSE program?,Department,"The specific program core courses for CSE are CSE 110 / CSE 161 + CSE 162 L / EEE/ECE103 + EEE/ECE103 L, CSE 111, CSE 220, CSE 221, CSE 230, CSE 250, CSE 251, CSE 260 / EEE/ECE 283 + EEE/ECE 283L /EEE 301 + EEE 302, CSE 320, CSE 321, CSE 330, CSE 331, CSE 340, CSE 341, CSE 350, CSE 360, CSE 370, CSE 420, CSE 421, CSE 422, CSE 423, CSE 460, CSE 461, CSE 470, CSE 471 Please follow the latest degree plan of CSE: https://docs.google.com/document/d/1BksVbAqjgdVg-IbVJ0i09fVQcjw-_Sm_/edit"
What elective courses are available for CSE students?,Department,"Different Elective courses are offered every semester.
CSE310 Object-Oriented Programming
CSE390 Technical Communication
CSE391 Programming for The Internet
CSE402 Optimization
CSE419 Programming Languages and Competitive Programming
CSE424 Pattern Recognition
CSE425 Neural Network
CSE426 Advanced Algorithms
CSE427 Machine Learning
CSE428 Image Processing
CSE435 Reinforcement Learning
CSE437 Data Science: Coding With Real-World Data
CSE440 Natural Language Processing (NLP) II
CSE443 Bioinformatics I
CSE444 Bioinformatics II
CSE446 Blockchain and Cryptocurrencies
CSE447 Cryptography and Cryptoanalysis
CSE449 Parallel, Distributed, and High-Performance Computing (HPC)
CSE450 Advanced Competitive Programming
CSE463 Computer Vision: Fundamentals and Applications
CSE472 Human Computer Interface
CSE481 Quantum Computing I
CSE482 Quantum Computing II
CSE484 Cloud Computing
CSE489 Android App Development
CSE490 Special topics: Introduction to Computer Security
CSE496 Ethical Hacking
If you are from CS curriculam you can also take: CSE250 Circuits and Electronics
CSE251 Electronic Devices and Circuits
CSE320 Data Communications
CSE341 Microprocessors
CSE350 Digital Electronics and Pulse Techniques
CSE360 Computer Interfacing
CSE460 VLSI Design
CSE461 Introduction to Robotics
CSE471 System Analysis and Design"
What elective courses are recommended for students interested in Artificial Intelligence?,Department,"Students interested in Artificial Intelligence can go for CSE427 which focuses on traditional machine learning algorithms and then go for CSE425 which gives elaborate idea about Neural Networks. If they are interested in computer vision and image processing they can go for CSE439 and CSE428. Lastly, if they are interested in NLP they CSE440 and CSE442 can be sweet treats for them."
What elective courses are recommended for students interested in Data Science?,Department,Elective courses like CSE437 and CSE438 can be beneficial for those who are interested in Data Science.
What elective courses are recommended for students interested in Cybersecurity?,Department,"CSE446, CSE447, CSE490 and CSE496 can be beneficial for students interested in Cyber Security."
What elective courses are recommended for students interested in Software Engineering?,Department,"CSE391, CSE484 and CSE489 are recommended for people who are interested in Software Engineering."
When a student can do thesis?,Thesis,After completing 75 credits a student is eligible to do thesis and it is important to have your cgpa 3.00 or above.
How many credit thesis/intership hold?,Thesis,Thesis/Intership contains a total of 4 credits. 
"I want to do thesis on AI or ML, which faculties are available? 	",Thesis,You can always check the thesis synopsis for the updated list of advisors. https://cse.sds.bracu.ac.bd/thesis/supervising/list
What is the registration process for Pre-Thesis 1 and what are the deadlines?,Thesis,Here is link of registration of Pre Thesis 1: https://cse.sds.bracu.ac.bd/thesis/registration and also look here into this link for the deadlines: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=760084043#gid=760084043
Do students need to re-register for Pre-Thesis 2 or continue from Pre-Thesis 1?,Thesis,"No, they do not need to re-register for Pre-Thesis 2. Just check on these for further deadlines: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=760084043#gid=760084043"
What are the current deadlines for thesis submission and defense?,Thesis,Check the deadlines here: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=760084043#gid=760084043
Can a student switch groups in the middle of the thesis project?,Thesis,"Yes you can, but your marks will be deducted. If you change during Pre Thesis 1: 2 marks, Pre Thesis 2: 3 marks, Final Thesis: 5 marks."
Can a CS and CSE student work together on the same thesis?,Thesis,"Yes. If their research interest is similar, they can obviously work in a same team."
Can more than one student from the same group submit the registration form?,Thesis,"No, only one student is allowed to register for their Thesis."
How do I contact a specific supervisor or get his Thesis Slot on topic selection?,Thesis,"Determine your own research interests first, and then look for a faculty member whose interests coincide with your own. Subsequently, you can ask him for a time slot for the semester in which you intend to begin your thesis. After that, you and your teammates can choose a topic by the discussing with the faculty. Students also approach the faculty members after finding out the topic by his own. If the faculty member likes/loves to work on it then they agree to supervise that team. That's something you can also do."
Is it possible to do a thesis if the student has a CGPA below 3? What is the minimum CGPA requirement?,Thesis,"It is possible to do thesis under CGPA 3, for that you have to take permission of your thesis supervisor and also the chairman. The minimum requirement for starting thesis is 3. "
What happens if a thesis defense is deferred—does the student need to retake CSE400?,Thesis,"No, a student should only take CSE400 only once."
Can a project be converted into a thesis during the defense?,Thesis,
Can a student take CSE400 and other courses together if their advisor says they’ve reached the credit limit?,Thesis,"Yes, they can do that. Without CSE400, your credit limit should be 12. If your CGPA is 3.5+ you can take 15 credits with CSE400 and then your credit turns out be 19. If your CGPA is less than 3.5 then you can take 12 credits and if you take CSE400 with those 12 credits, it becomes 16."
Is it possible to do more than one thesis before graduation?,Thesis,
What is the deadline to change the thesis title before the final defense?,Thesis,
How do students convert Word files to LaTeX using the BRACU official template?,Thesis,Use Overleaf: https://www.overleaf.com/ . It is a very easy way to covert word files to LaTeX. 
Are surveys acceptable for thesis papers if data is converted to usable datasets?,Thesis,"Yes, you can do surveys to collect data for your dataset."
What is the submission deadline for P1 or P2? Is there a poster presentation for Pre-2?,Thesis,"Check this google docs file: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=115225515#gid=115225515 . Here you can find all the deadlines of P1 and P2. Poster presentation usually happens during P2, if it does not happen you will be notified by the Thesis committee."
"If a student changes their program (e.g., from CSE to CS), how can they ensure their new student ID is updated in the thesis registration system?",Thesis,"The Thesis commitee will email you a from where you can update your new ID. You can also add Co-supervisor 1,2 and also many other information if required."
Is it necessary to register again for Pre-Thesis 2 or other phases of the thesis if already registered for Pre-Thesis 1?,Thesis,"No, they do not need to re-register for Pre-Thesis 2. Just check on these for further deadlines: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=115225515#gid=115225515"
"Can students update their thesis title and abstract after submission? If so, what is the deadline for updating the abstract with the final accuracy results of models?",Thesis,
"What should students do if their thesis correction status is not updated in the sheet, but they have received approval from their supervisor via email?",Thesis,"Contact with: Dr. Md. Golam Rabiul Alam, UG Thesis Coordinator, rabiul.alam@bracu.ac.bd or 
Moin Mostakim, UG Thesis Co-Coordinator, mostakim@bracu.ac.bd or 
Rafeed Rahman, UG Thesis Committee Member, rahman.rafeed@bracu.ac.bd 
Sarwar Jahan Shajib, DCO,sarwar.jahan@bracu.ac.bd or
Md. Maksudur Rahman, DCO, maksudur.rahman@bracu.ac.bd or 
Md. Abdullah Al Masum, DCO, abdullah.masum@bracu.ac.bd. For more details: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=562208551#gid=562208551"
How long do students have to submit their hard copy after receiving thesis approval?,Thesis,
"What happens if a thesis defense is postponed due to external reasons, such as a cyclone?",Thesis,The date gets recheduled.
Can a project be converted into a thesis at the defense stage?,Thesis,"Yes, a project can often be converted into a thesis at the defense stage, but it usually depends on the specific requirements of your academic program and the feedback from your advisors. If your project meets the necessary criteria for research depth, methodology, and originality, you might be able to adapt it into a thesis format."
Give me an overall idea of the thesis lifecycle?,Thesis,Here is the link of the overall thesis life cycle: https://drive.google.com/file/d/1tMgIr8czAURIiF41qBydUZVhbinrrIzZ/view
How thesis is marked? ,Thesis,This is rubric of thesis marking: https://docs.google.com/spreadsheets/d/1PnvmE6MaldPadO8S5bjHajgxZTfdZEz4/edit?gid=384748274#gid=384748274
What is the minimum credit requirement to start a thesis/project/internship?,Thesis,Minimum 75 credits.
What is the CGPA requirement for eligibility to start a thesis?,Thesis,CGPA equal to or above 3.0.
What is the CGPA requirement for eligibility to start a project/internship?,Thesis,CGPA equal to or above 2.0.
What happens if a student's CGPA is below 2.0?,Thesis,The student is not eligible to start a thesis/project/internship.
What is the minimum and maximum number of group members for a thesis/project?,Thesis,"Minimum: 1, Maximum: 5."
How many members can join for an internship?,Thesis,A maximum of 1 member per group.
What is required for a student to apply for an internship?,Thesis,The student must apply to the Chairperson of the CSE Department and may suggest a company with a detailed profile for approval.
Who supervises internships?,Thesis,An internal faculty member is assigned as an internship supervisor/co-supervisor.
What is the maximum number of supervisors/co-supervisors allowed per group?,Thesis,A maximum of 2 supervisors and 2 co-supervisors.
How many courses can a final thesis/project/intern student take?,Thesis,A maximum of 3 courses in addition to the thesis/project (CSE 400).
