ID,Category,Question,Answer,Type,Register,Source Reliability,Time-Sensitive,Split,Source / Notes
11,Admission,"Before I start the application, how much money do I need to set aside just for the fee itself?","Local Applicants need to pay the non-refundable application fee Tk. 1500. For international applicants, the non-refundable application fee is US$ 20.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Hand-written paraphrase, not template-generated - a small demonstration set distinct from this dataset's mechanical paraphrase system.]"
12,Admission,Can I apply for more than one program at the same time?,"Yes, you can apply for 3 programs at a time",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
13,Admission,Can I enroll as a visiting student?,"Is there a specific application process for visiting/guest students?
One can enroll as a visiting or guest student in BRACU. Visiting or guest students are required to submit their applications along with the relevant transcripts and no objection letters (NOC) from her/his University. Please contact admissions@bracu.ac.bd for more details.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
14,Admission,Can I get a refund of my application/admission fee if I decide not to join?,"The admission application fee at BRAC University is explicitly described as non-refundable (Tk. 1,500 for local applicants, US$20 for international applicants), so it is not returned if an applicant later decides not to enroll.",Original,Synthesized (official/secondary sources),Medium (secondary/third-party source),Yes,train,BRAC University - Admissions FAQs / International Applicants pages
15,Admission,Can I see my application status online?,Applicants can check their application status online any time at admissions.bracu.ac.bd,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
16,Admission,Can PhD students in this joint program be based in Bangladesh rather than London?,"Yes, some PhD students are based in Bangladesh; SOAS research training components are designed to be offered in a hybrid format so that Bangladesh-based students can still participate.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,val,BRAC University - Joint PhD Admission page (bracu.ac.bd/admissions/joint-phd-admission)
17,Admission,Can someone help — how will I get admission information about BRACU?,"The admission information is available in the following places:
i) BRACU website (www.bracu.ac.bd).
ii) Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center ext: 1001) One can also get admission information by sending queries at the e-mail
address: admissions@bracu.ac.bd",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
18,Admission,Can someone help — what documents do postgraduate applicants who completed their Bachelor's degree abroad need to submit?,"They must submit verified/attested copies of their previous academic documents from their institute or home-country Foreign Ministry, plus an Equivalence Certificate from the University Grants Commission (UGC) in Dhaka.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Admission Requirements page (bracu.ac.bd)
19,Admission,Can someone help — what GPA do I need to be considered for the Engineering program?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics
Candidates for BSc in Computer Science and BSc in Mathematics: HSC/ Equivalent(“B” grade in Mathematics),A-levels(“C” grade in Mathematics)
Candidates for BSc in Electronic & Communication Engineering and Electrical & Electronic Engineering who had Physics and Mathematics but not Chemistry in HSC/A-level/Equivalent will have to take a remedial course on Chemistry in addition to the courses required for the program.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,val,BRACU internal FAQ dataset
20,Admission,Can you tell me what 'Freshman Enrollment and Class Sign' at BRAC University is?,"This is the official process new/incoming ('freshman') students go through after being admitted, to confirm their enrollment and get registered into their first semester's classes; details and instructions are published on the Admissions section of the university website.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University - Freshman Enrollment page (bracu.ac.bd/admissions/freshman-enrollment-and-class-sign)
21,Admission,Can you tell me what Pre-University Course for Undergraduate Programs is?,"A Pre-University course is for those students who proved themselves competent in their respective discipline during the admission test except in English. This is a twelve week long intensive program which assists students to become active and independent learners, critical thinkers, responsible and thoughtful adults, and most importantly successful university students. Many of the students who come from the mainstream Bangla medium background enjoy this intellectually challenging and welcoming atmosphere.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
22,Admission,Can you tell me what the important dates and deadlines for admission are?,"The exact admission test date, application deadline, and academic-session start date change every semester, so BRAC University publishes them on its Admissions page (bracu.ac.bd/admissions) ahead of each intake rather than fixing them year-round - check that page for the current cycle's dates.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,test,BRACU internal FAQ dataset
23,Admission,Can you tell me what the prerequisites for the Cse program are?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
24,Admission,Can you tell me what the process for applying as a transfer student is?,"Original transcripts and prospectus of the university /program showing academic system, grading system and course descriptions (course outlines, if available) etc. should be submitted with the credit transfer form, available at registrar’s office and at our webpage, to the concerned department.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
25,Admission,Can you tell me what the process for withdrawal of admission is?,"To withdraw from an admission, students must have to apply for admission withdrawal through email. Farzana apu (f.yeasmin@bracu.ac.bd) Office of the Registrar.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
26,Admission,Can you tell me what the requirements to apply for Biotechnology/ Microbiology in Undergraduate level are?,Candidates for BSc in Biotechnology and Microbiology should have minimum C grade in Biology and Chemistry at HSC/ A-Levels/Equivalent. Candidates not having Mathematics at HSC or A-Levels must take a remedial course on Mathematics in addition to the courses required for the program.,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
27,Admission,Can you tell me what the requirements to apply for EEE/ECE/CSE/Physics/APE/CS/Mathematics in Undergraduate level are?,"Candidates for EEE, ECE, CSE, APE and Physics must have minimum B grade in Physics & Mathematics in HSC/Equivalent and with minimum C grade in Physics & Mathematics at 'A'-Levels.
Candidates for BSc in Electronic & Communication Engineer and Electrical & Electronic Engineering having Physics and Mathematics but not Chemistry at HSC or 'A'-Levels must take a remedial course on Chemistry in addition to the courses required for the program.
Candidates for BSc in Computer Science and BSc in Mathematics must have minimum B grade in Mathematics at HSC or minimum C grade in Mathematics in 'A'-Levels.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
28,Admission,Can you tell me what the requirements to apply for Pharmacy in Undergraduate level are?,"Candidates must have a minimum aggregate GPA of 8.00 out of 10 (on a scale of 10), with no grade lower than 3.5 in SSC/O Level/Equivalent and HSC/A Level/Equivalent. In addition, they must achieve a minimum GPA of 4.00 in Chemistry and Biology in both examinations. They also need a minimum GPA of 3.5 in Mathematics and Physics in both examinations (on a scale of 5 in HSC or equivalent). For “O” Level and ""A"" Level candidates, they must have a B grade in Chemistry, Biology, and a minimum C grade in Mathematics and Physics.
Candidates having no Mathematics or failed in the subject at the HSC/ A Level or recognized equivalent exam may be admitted, but they need to take an extra 3 (three) credits course on Mathematics relevant to B. Pharm. curriculum.
Candidates must pass HSC/ ""A"" level or recognized equivalent examinations in the current year or the previous year. For example, the 2024 January session candidate must pass their HSC/ ""A"" level or recognized equivalent examination in 2022 or 2023.
Foreign students must have passed 12 education years and got the same grades in recognized equivalent examinations from foreign recognized institutions and must get an equivalence certificate from the Pharmacy Council before admission. Recognized equivalents mean Education Board, Madrasah Board and Bangladesh Technical Education Board etc.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
29,Admission,Curious about something: does BRAC University accept any credits completed in other educational institutions?,Transfer of credits from an educational institution with a system similar to BRAC University may be considered after admission. Such candidates will have to apply with required documents and are subject to credit transfer rules of BRAC University.,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
30,Admission,Curious about something: does BRAC University run any diploma programs outside its main Mohakhali/Badda campus?,"Yes, for example BRAC University leads a 3-year Diploma in Midwifery program delivered in partnership with NGO implementing partners across several districts (including Cox's Bazar, Dhaka, Dinajpur, Khulna, Mymensingh and Sylhet), aimed at recruiting students from remote and underserved areas to address maternal and newborn health needs there.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Certificate and Diploma Courses page (bracu.ac.bd/admissions/certificate-and-diploma-courses)
31,Admission,Do I have to appear in both a written test and an interview for Postgraduate admission?,"For each postgraduate program, except EMBA and MEd, the admission test consists of a written test and an interview. Candidates for EMBA and MEd are required to qualify only in the interview.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
32,Admission,Do I have to upload a photograph as part of my application form?,Applicants are required to upload their scanned recent formal passport size photograph taken within last three months.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
33,Admission,Do international students get offers for off-campus interview if they are not staying in Bangladesh?,"For getting admission into BRACU, International applicants must appear for written test and interview on the date and time mentioned in their admit cards in the designated exam site in their respective home countries.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
34,Admission,Do the applicants apply for admission only online or in person or by written application?,Applicants can apply only online for admission (admissions.bracu.ac.bd).,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
35,Admission,Do you know how many sections will be in the admission written test?,"All candidates will have to sit for a written admission test and an interview in the manner as described: 
Program
Test section
BSS in Anthropology, BA in English and LLB (Hons)
English
BBA and BSS in Economics
English and Mathematics
Bachelor of Pharmacy, BSc in Microbiology and BSc in Biotechnology
English, Mathematics and Biology & Chemistry
BSc in Computer Science, BSc in Computer Science and Engineering, BSc in Electronic and Communication Engineering, BSc in Electrical and Electronic Engineering, BSc in Physics, BSc in Applied Physics & Electronics, BSc in Mathematics
English, Mathematics,
Higher Mathematics and Physics
Bachelor of Architecture
English, Mathematics and Drawing
In order to qualify, candidates must pass each section separately. Candidates who qualified in pre-university on the basis of written tests, will be called for an interview for final selection. In order to qualify, candidates must pass each section separately. Those who qualify in the written test will be called for interview for final selection.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
36,Admission,Do you know when is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,test,BRACU internal FAQ dataset
37,Admission,Does BRAC University accept any credits completed in other educational institutions?,Transfer of credits from an educational institution with a system similar to BRAC University may be considered after admission. Such candidates will have to apply with required documents and are subject to credit transfer rules of BRAC University.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
38,Admission,Does BRAC University have a specific admission test section for Architecture applicants?,"Yes. Bachelor of Architecture applicants are tested in English, Mathematics, and Drawing as part of the admission test, reflecting the design-oriented nature of the program.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University official website - Admissions and Academics pages
39,Admission,Does BRAC University have any accommodation facilities in BRAC University?,"Accommodation facilities are provided only to female student’s subject to availability of seats. For details, please contact info@bracu.ac.bd",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
40,Admission,Does BRAC University have any evening class for postgraduate programs?,All the classes of Post graduate programs are held in the evening. There is a Weekend Program for EMBA and MSc CSE students.,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
41,Admission,Does BRAC University have any obligations to attend the residential semester during the Undergraduate program?,"How much does the residential semester cost?
All students are required to attend a Residential Semester at the Savar Campus in the 3rd semester. The cost is Tk. 80,000 for the 4-month long semester. (*May increase with a notice before the semester)",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
42,Admission,Does BRAC University have any special admission requirements for the MBA program?,"Minimum 15 years of schooling with a Bachelor Degree from any discipline and 3 years of professional / executive experience after graduation or 14 years of schooling with 6 or more years of corporate experience having at least 2nd class or CGPA 2.5 out of 4.0 or equivalent (from any government authorized university).
Minimum GPA of 2.5 or 2nd Class in SSC/Equivalent and HSC/Equivalent separately (including additional subject).
Minimum GPA of 2.5 in O-Levels in five subjects and A-Levels in two subjects according to the scale (A=5, B=4, C=3, D=2 and E=1). Only one E is acceptable.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
43,Admission,Does BRAC University have separate admission requirements for Diploma and Certificate programs at BRAC University?,"Yes, BRAC University's Programs in Detail page lists Diploma and Certificate programs as a distinct category alongside Undergraduate, Graduate, and the Joint PhD program, each with its own admission requirements described on the relevant program page.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Programs in Detail page (bracu.ac.bd/academics/programs-detail)
44,Admission,Does BRAC University offer a PhD program?,"Yes, BRAC University offers a Joint PhD in the Political Economy of Development, run together with SOAS University of London, through BRAC University's research institute, the BRAC Institute of Governance and Development (BIGD).",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Joint PhD Admission page (bracu.ac.bd/admissions/joint-phd-admission)
45,Admission,Does BRAC University offer any online courses?,We do not offer online courses or degree programs.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
46,Admission,Does BRAC University publish sample questions for the admission test?,"Yes, the Admissions section of the university website includes a dedicated 'Sample Questions' page so prospective applicants can see the style and difficulty of questions used in the admission test for their intended program.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,val,BRAC University Admissions - Sample Questions page (bracu.ac.bd/admissions/sample-questions)
47,Admission,Does BRAC University run any diploma programs outside its main Mohakhali/Badda campus?,"Yes, for example BRAC University leads a 3-year Diploma in Midwifery program delivered in partnership with NGO implementing partners across several districts (including Cox's Bazar, Dhaka, Dinajpur, Khulna, Mymensingh and Sylhet), aimed at recruiting students from remote and underserved areas to address maternal and newborn health needs there.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Certificate and Diploma Courses page (bracu.ac.bd/admissions/certificate-and-diploma-courses)
48,Admission,Does completing only Foundation or GED (General Education Diploma) courses qualify someone for BRACU admission?,No. Foundation and GED-level coursework alone does not meet BRAC University's admission requirements for its degree programs.,Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Admission Requirements page (bracu.ac.bd)
49,Admission,For a friend who's asking — does completing only Foundation or GED (General Education Diploma) courses qualify someone for BRACU admission?,No. Foundation and GED-level coursework alone does not meet BRAC University's admission requirements for its degree programs.,Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Admission Requirements page (bracu.ac.bd)
50,Admission,For a friend who's asking — what O-Level/A-Level grade combination is generally required for undergraduate admission?,"Applicants typically need a minimum GPA of 2.5 separately in O-Level (best 5 subjects) and A-Level (best 2 subjects), calculated on BRACU's scale (A=5, B=4, C=3, D=2, with only one E=1 grade accepted); subjects with more than one E grade are not considered.",Paraphrase,Synthesized (official/secondary sources),Medium (secondary/third-party source),No,train,BRAC University - Undergraduate Admission Requirements pages
51,Admission,"For a friend who's asking — what subjects are tested for BSc programs like CSE, EEE, Physics, or Mathematics?","Applicants to CSE, ECE, EEE, Physics, Applied Physics & Electronics, and Mathematics programs are tested on English, Mathematics, Higher Mathematics, and Physics as part of the admission test.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,val,BRAC University official Admission Requirements page
52,Admission,For further information regarding Admission who should I contact?,"For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
53,Admission,"For Postgraduate programs, which documents are required to submit by the candidates who have passed from abroad?","Candidate must submit copies of your previous academic records which have to be verified from their respective institutions or attested from your respective Embassy/High Commission/Foreign Ministry and equivalence certificate from University Grants Commission (UGC) or Ministry of Education, Government of The People’s Republic of Bangladesh before the end of the first semester.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
54,Admission,For Undergraduate programs which documents are required to be submitted by the candidates who have passed from abroad?,"Candidates completed schooling outside Bangladesh will have to submit verified/attested copies of previous academic documents from their Institute/Foreign Ministry (of the country that they studied in) and equivalence certificates from the Board of Intermediate and Secondary Education, Dhaka. Also they can email at admissions@bracu.ac.bd for more details.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
55,Admission,"Hey, for further information regarding Admission who should I contact?","For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,test,BRACU internal FAQ dataset
56,Admission,"Hey, is a separate interview required after passing the written admission test?","Yes, for most undergraduate and postgraduate programs, candidates who pass the required written test sections are then called for an interview, which is used for final selection.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University official Admission Requirements page
57,Admission,"Hey, what subjects are tested for BSS in Anthropology, BA in English, and LLB admission?","Applicants to BSS in Anthropology, BA in English, and LLB (Hons) are tested only in English as part of the admission test.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University official Admission Requirements page
58,Admission,"Hi, how can BRACU graduates apply for postgraduate programs at their own university?","BRACU graduates with a CGPA of 3.0 or above are generally recognized as meeting a baseline eligibility criterion referenced in the university's postgraduate admission requirements, though each specific postgraduate program may set its own additional criteria.",Paraphrase,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Admission Requirements page (bracu.ac.bd)
59,Admission,"Hi, how many semesters are offered yearly at BRACU and when do they start?","BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,val,BRACU internal FAQ dataset
60,Admission,How can a fresher change the department?,Freshers can change the department before the class starts. They need to contact the Admissions Office.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
61,Admission,How can BRACU graduates apply for postgraduate programs at their own university?,"BRACU graduates with a CGPA of 3.0 or above are generally recognized as meeting a baseline eligibility criterion referenced in the university's postgraduate admission requirements, though each specific postgraduate program may set its own additional criteria.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Admission Requirements page (bracu.ac.bd)
62,Admission,How can I apply for Admission?,BRACU website to have precise information about admission procedures.,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
63,Admission,How can I calculate my GPA of ‘O’/‘A’ levels for the admission application in BRACU?,"Our requirement for undergraduate programs is to have a minimum GPA of 2.5 in ‘O’ Level and ‘A’ Level separately. For ‘O’ level best 5 subjects and ‘A’ level best 2 subjects will be counted. The grade will be calculated according to BRAC University scale: A=5, B=4, C=3 and D=2. Subjects with E Grade will not be considered. It is to be noted that applicants must fulfill subject-wise requirements.
You can check the below box for your help:
O/A Levels
Example (Best 5 for 'O' Level)
Grade Letter
As per following Scale
Total
Cumulative Grade
 
A
5
17
17/5=3.4
 
B
4
 
C
3
 
D
2
 
C
3",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
64,Admission,How can I check the status of my application?,Applicants can check their application status online any time at admissions.bracu.ac.bd,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
65,Admission,How can I collect my Admit card?,"After the deadline of submitting the Admission Form, candidates will be notified through SMS to collect the admit card. They will be required to login to their account to collect the Admit Card. There will be an option named ‘Ädmit Card’ at the left side. They are required to download the Admit Card from that option and print it out in an 80 gm A4 size white page. Applicants must bring this printed Admit Card to the exam hall; otherwise, they will not be allowed to sit for the exam.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
66,Admission,How can I contact the BRAC University admissions office?,Prospective applicants can email admissions@bracu.ac.bd or call the university's main line +88 09638464646 (call centre extension 1001) for admission-related queries.,Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,val,BRAC University official website - Admissions FAQs / Scholarships pages
67,Admission,How can I correct my mistakes I made in the application form?,"If applicants make any mistake during filling up their application form and submit it with that error, they are required to send an email immediately at admissions@bracu.ac.bd to inform the authority. But till submission you can edit the form any time.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
68,Admission,How can I find out if my credits will transfer?,"Courses that are similar in content with BRACU or that have equivalence with BRACU may be considered for transfer. However courses that are not directly equivalent or similar to BRACU courses may be transferred as elective courses based on approval of the credit transfer committee.
The credit transfer from other universities will not exceed 50% of the credits required for degree completion at BRAC University except Architecture.
The total credits transferred by a student from other universities should not exceed 65 credits including maximum of 21 credits in design studio courses for students of Architecture.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
69,Admission,How can I get information about Scholarship/Financial Aid in BRAC University?,"Regarding all information about Financial Aid, please contact:
BRACU (Phone: +88 09638464646, Call Center Ext: 1001 or email at scholarship@bracu.ac.bd
(BRACU Scholarship Office)",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
70,Admission,How can I get the admission test results?,"After the publication of the admission test result, applicants are required to check the result on the BRACU website.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
71,Admission,How can I pay the admission application fee?,"Applicants can pay their admission application fee through-
Bkash
Rocket
Nagod
Visa cards
Dhaka Bank Ltd. One Bank Ltd. Southeast Bank Ltd. Brac Bank Ltd. And Prime Bank Ltd.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,val,BRACU internal FAQ dataset
72,Admission,How do I contact the admissions office?,You can mail to admissions@bracu.ac.bd,Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
73,Admission,How do I transfer credits from another university?,"Transfer of credits from an educational institution following a system
similar to BRAC University may be considered after passing the
admission test. Such candidates will have to apply with required
documents and decision on such cases will be determined by the credit
transfer policy of BRAC University",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
74,Admission,How is the Joint PhD program with SOAS structured over time?,"Students typically spend their first months building a literature review and research plan, aiming to upgrade from MPhil to PhD status within 9 months of starting. Year 2 is generally dedicated to field research, and Year 3 to analysis and writing up, with the final award being a Joint PhD from SOAS University of London and BRAC University.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,test,BRAC University - Joint PhD Admission page (bracu.ac.bd/admissions/joint-phd-admission)
