,Question,Answer,Source
12,BRAC e postgraduate program gula ki ki?,"BRAC University offers a variety of postgraduate programs, including MBA, EMBA, MSc in CSE, MSc in EEE, Master of Public Health (MPH), MA in English, MA in TESOL, Master of Development Studies (MDS), Master of Education (MEd), and several other master's programs.",https://www.bracu.ac.bd/admissions/faqs-admissions
13,BRAC e international student ra ki same admission process follow kore?,"Yes. International applicants follow the same online application process as other applicants, although they must also meet additional international admission requirements and communicate with the admissions office when necessary.",https://www.bracu.ac.bd/ug-international-applicant
14,BRAC e admission test er admit card kivabe pabo?,Applicants can download their admit card from the online admission portal after it becomes available. The printed admit card must be brought to the admission test.,https://www.bracu.ac.bd/admissions/faqs-admissions
15,BRAC e admission test er result kivabe dekhbo?,Admission test results are published on the BRAC University website. Applicants can log in to check their results after they are announced.,https://www.bracu.ac.bd/admissions/faqs-admissions
16,BRAC e scholarship ba financial aid er information kothay pabo?,Information about scholarships and financial aid is available through the BRAC University Scholarship/Financial Aid Office. Students can contact the office by phone or email for detailed guidance.,https://www.bracu.ac.bd/admissions/faqs-admissions
17,Onno university theke BRAC e credit transfer kora jay?,"Yes. BRAC University may consider transfer credits from institutions with a similar academic system after admission. Students must apply with the required academic documents, and the request is evaluated according to the university's credit transfer policy.",https://www.bracu.ac.bd/academics/policies-and-procedures/transfer-credit-or-waiver
18,BRAC e transfer credit er maximum limit koto?,"For most undergraduate programs, transferred credits cannot exceed 50% of the total credits required for the degree. Additional program-specific limits may also apply.",https://www.bracu.ac.bd/academics/policies-and-procedures/transfer-credit-or-waiver
19,BRAC e graduation korte minimum CGPA koto lagbe?,"To qualify for graduation from an undergraduate program, a student must complete all degree requirements and maintain a minimum cumulative GPA (CGPA) of 2.00.",https://www.bracu.ac.bd/academics/policies-and-procedures
20,Graduation er age BRAC e kon kon office theke clearance nite hoy?,"Before graduation, students must obtain clearance from the Accounts Office, Library, and Registrar's Office, in addition to fulfilling all academic requirements.",https://www.bracu.ac.bd/academics/policies-and-procedures
21,BRAC e semester registration korte ki korte hoy?,Students must complete course advising and register for courses within the announced registration period through the university's registration process. Registration dates are published in the academic calendar.,https://www.bracu.ac.bd/academics/academic-calendar
22,BRAC e advising chara ki course register kora jay?,No. Students are expected to complete academic advising before registering for courses. Academic advisors help students select courses according to their degree requirements.,https://www.bracu.ac.bd/academics
23,BRAC e academic calendar kothay pabo?,"The official academic calendar is available on the BRAC University website. It includes important dates such as semester start and end dates, registration periods, holidays, examinations, and grade submission deadlines.",https://www.bracu.ac.bd/academics/academic-calendar
24,BRAC e official transcript kivabe apply korbo?,"Students can apply for an official transcript through the Registrar's Office by following the prescribed application procedure and paying the applicable fees, if required.",https://www.bracu.ac.bd/academics/office-registrar
25,BRAC e temporary transcript pawa jay?,Yes. Students may request academic transcripts through the Registrar's Office according to the university's policies and procedures.,https://www.bracu.ac.bd/academics/office-registrar
26,BRAC e student ID card hariye gele ki korte hobe?,Students should report the loss to the appropriate university office and follow the procedure for obtaining a replacement student ID card. Replacement may require an application and payment of the prescribed fee.,https://www.bracu.ac.bd/academics/office-registrar
27,BRAC e library use korte student ID lagbe?,Yes. A valid BRAC University student ID is generally required to access library facilities and borrow library materials.,https://library.bracu.ac.bd
28,BRAC e library theke boi borrow kora jay?,"Yes. Registered students can borrow books from the BRAC University Library according to the library's borrowing policies, loan periods, and eligibility rules.",https://library.bracu.ac.bd
29,BRAC e online library resource use kora jay?,"Yes. BRAC University Library provides access to a wide range of electronic resources, including e-books, e-journals, and research databases for eligible users.",https://library.bracu.ac.bd
30,BRAC e library te research database access ache?,"Yes. The BRAC University Library subscribes to numerous academic databases that support teaching, learning, and research. Students and faculty can access these resources according to the library's access policies.",https://library.bracu.ac.bd
31,BRAC e class attendance ki compulsory?,Yes. Attendance is mandatory for all undergraduate students at BRAC University.,https://www.bracu.ac.bd/academics/policies-and-procedures
32,Final exam dite minimum attendance koto lagbe?,"Undergraduate students must have at least 70% attendance in regular classes to be eligible for the final examination. Laboratory courses require 90% attendance, while Architecture studio courses require 80% attendance.",https://www.bracu.ac.bd/academics/policies-and-procedures
33,BRAC e grading system e A+ er GPA koto?,"Under the current grading system, A+ carries a GPA of 4.00 and is awarded for marks between 97 and 100.",https://www.bracu.ac.bd/academics/policies-and-procedures
34,BRAC e fail mark koto?,A student receives an F (0.00 grade point) for a score below 50.,https://www.bracu.ac.bd/academics/policies-and-procedures
35,BRAC e GPA kivabe calculate kora hoy?,GPA is calculated by dividing the total grade points earned (grade points × course credits) by the total number of attempted credits.,https://www.bracu.ac.bd/academics/policies-and-procedures
36,BRAC e W grade mane ki?,A W (Withdrawal) grade is given when a student officially withdraws from a course within the university's withdrawal deadline. A W grade appears on the transcript but does not affect the CGPA.,https://www.bracu.ac.bd/academics/policies-and-procedures
37,BRAC e I grade mane ki?,"An I (Incomplete) grade is assigned when a student cannot complete course requirements because of unavoidable circumstances and receives university approval. If the required work is not completed as instructed, the I grade may be converted to an F.",https://www.bracu.ac.bd/academics/policies-and-procedures
38,BRAC e course drop korle ki automatically hoy naki application dite hoy?,Students must officially submit a course drop request. Simply stopping attendance or informing the instructor does not count as dropping a course.,https://www.bracu.ac.bd/academics/policies-and-procedures/coursesemester-drop-policy
39,BRAC e class e jawa bondho korlei ki course drop hoye jabe?,"No. Merely stopping attendance does not officially drop a course. If a student does not complete the official drop process, the course may receive an F grade and affect the CGPA.",https://www.bracu.ac.bd/academics/policies-and-procedures/coursesemester-drop-policy
40,BRAC e make-up exam deya jay?,"Make-up tests, quizzes, or examinations may be arranged for students who miss an assessment due to medical or other compelling reasons that are accepted by the university.",https://www.bracu.ac.bd/academics/policies-and-procedures/examinations
41,BRAC e probation e porle ki hoy?,"Under the current policy, students are required to maintain a minimum CGPA of 2.00. If a student's CGPA falls below 2.00, the student is placed on academic probation for the following semester.",https://www.bracu.ac.bd/academics/policies-and-procedures
42,Probation theke ber hote BRAC e kotodin shomoy pawa jay?,A student on probation has up to three consecutive semesters (two for Pharmacy students) to raise the CGPA to at least 2.00.,https://www.bracu.ac.bd/academics/policies-and-procedures
43,Probation e thaka obosthay semester drop kora jay?,"Generally, students on probation cannot drop a probationary semester. An exception may be made only in cases such as serious illness or other major circumstances accepted by the university.",https://www.bracu.ac.bd/academics/policies-and-procedures
44,BRAC e leave of absence maximum koy semester neya jay?,"A student may be granted a leave of absence or semester drop for up to three consecutive semesters (one academic year), subject to meeting the university's requirements.",https://www.bracu.ac.bd/academics/policies-and-procedures
45,Leave of absence shesh hole ki korte hobe?,"After the approved leave period expires, the student must register in the immediately following semester to continue the program.",https://www.bracu.ac.bd/academics/policies-and-procedures/coursesemester-drop-policy
46,BRAC e ekta F paile course abar nite parbo?,"Yes. A student who receives an F grade may retake the course. Under the university's retake policy, an F-grade course may normally be retaken up to two times, with limited exceptions approved by the department.",https://www.bracu.ac.bd/academics/policies-and-procedures
47,Bhalo grade anar jonno pass kora course repeat kora jay?,"Yes. A student may repeat a passed course once to improve the grade. The repeat must normally be completed within two semesters of the initial enrollment, and the latest grade is used in CGPA calculation.",https://www.bracu.ac.bd/academics/policies-and-procedures
48,BRAC e plagiarism bolte ki bujhay?,"BRAC University defines plagiarism as presenting another person's ideas, expressions, or work as one's own in examinations or any academic work without proper acknowledgment.",https://www.bracu.ac.bd/sites/default/files/resources/policies/BRAC-University-Plagiarism-Policy.pdf
49,Plagiarism korle BRAC e ki shasti hote pare?,"Plagiarism is treated as a serious academic offence. Depending on the severity, penalties may include a failing grade for an assignment or course, suspension, or permanent expulsion from the university.",https://www.bracu.ac.bd/sites/default/files/resources/policies/BRAC-University-Plagiarism-Policy.pdf
50,BRAC e exam e cheating korle ki hoy?,"Cheating during examinations is considered a serious offence. Cases are referred to the Disciplinary Committee, which investigates the incident and recommends appropriate disciplinary action according to university regulations.",https://www.bracu.ac.bd/academics/policies-and-procedures/examinations
51,BRAC e late registration kora jay?,Yes. The Registrar may allow late registration after the published deadline in consultation with the Dean or Head of Department. A late registration fee may apply unless it is waived due to valid mitigating circumstances.,https://www.bracu.ac.bd/academics/policies-and-procedures
52,BRAC e registration deadline miss korle ki hobe?,Students who miss the registration deadline must seek approval for late registration. Approval is not automatic and depends on the university's decision.,https://www.bracu.ac.bd/academics/policies-and-procedures
53,BRAC e dui semester registration na korle ki hoy?,"A student who does not register for two consecutive semesters without prior approval may be withdrawn by the Registrar. To return, the student must apply for readmission as a new applicant.",https://www.bracu.ac.bd/academics/policies-and-procedures
54,BRAC e readmission er jonno abar admission fee dite hoy?,"Yes. Students seeking readmission after withdrawal are required to pay the standard admission fee, along with fulfilling any conditions set by the university.",https://www.bracu.ac.bd/academics/policies-and-procedures
55,BRAC e English ki class er official language?,Yes. The official medium of instruction at BRAC University is English.,https://www.bracu.ac.bd/academics/policies-and-procedures
56,BRAC e independent study course nite pari?,"Yes. With approval from the Dean or Head of Department and the Registrar, a student may take up to two Independent Study Courses (maximum 6 credits) under exceptional circumstances.",https://www.bracu.ac.bd/academics/policies-and-procedures
57,Independent study course e koyjon student thakte pare?,An Independent Study Course is normally limited to a maximum of two students.,https://www.bracu.ac.bd/academics/policies-and-procedures
58,BRAC e pass/fail option use kora jay?,"Yes. Students may take eligible courses under the Pass/Fail option with the instructor's approval, subject to the university's credit limits and departmental restrictions.",https://www.bracu.ac.bd/academics/policies-and-procedures
59,BRAC e ek semester e maximum koy credit pass/fail option e nite pari?,"A student may take up to 4 credits under the Pass/Fail option in a single semester, provided all eligibility requirements are met.",https://www.bracu.ac.bd/academics/policies-and-procedures
60,BRAC e course drop korar age advisor er sathe kotha bola lage?,Yes. The university advises students to consult their academic advisor before dropping a course because dropping may affect academic progress and financial aid eligibility.,https://www.bracu.ac.bd/academics/policies-and-procedures/coursesemester-drop-policy
61,BRAC e ek semester e minimum koy credit nite hoy?,Undergraduate students are generally expected to register according to the academic load approved by their department. The minimum and maximum credit load are determined by university regulations and academic advising.,https://www.bracu.ac.bd/academics/policies-and-procedures
62,BRAC e ek semester e maximum koy credit nite pari?,The maximum credit load a student may take in a semester is determined by the university's academic regulations and may require approval depending on the student's academic standing.,https://www.bracu.ac.bd/academics/policies-and-procedures
63,BRAC e overload credit nite hole ki approval lage?,Yes. Students who wish to take a credit load beyond the normal limit must obtain approval from the appropriate academic authority before registration.,https://www.bracu.ac.bd/academics/policies-and-procedures
64,BRAC e prerequisite course pass na korle porer course nite parbo?,"No. Students must successfully complete prerequisite courses before enrolling in courses that require them, unless an exception is approved by the department.",https://www.bracu.ac.bd/academics/policies-and-procedures
65,BRAC e co-requisite course mane ki?,A co-requisite course is a course that must be taken at the same time as another specified course or completed according to the curriculum requirements.,https://www.bracu.ac.bd/academics
66,BRAC e advisor change kora jay?,Yes. Students may request a change of academic advisor according to the procedures established by their department or school.,https://www.bracu.ac.bd/academics
67,BRAC e faculty advisor er kaj ki?,"Academic advisors guide students in selecting courses, planning their degree, meeting graduation requirements, and making academic decisions throughout their studies.",https://www.bracu.ac.bd/academics
68,BRAC e academic policy gula kothay pabo?,BRAC University's official academic policies and procedures are available on the university website under the Academic Policies and Procedures section.,https://www.bracu.ac.bd/academics/policies-and-procedures
69,BRAC e honours degree pete ki ki complete korte hobe?,"To receive an undergraduate degree, students must complete all required credits, satisfy all academic and program requirements, maintain the required minimum CGPA, and fulfill any additional graduation requirements of their program.",https://www.bracu.ac.bd/academics/policies-and-procedures
70,BRAC e degree certificate ke issue kore?,Degree certificates are issued by BRAC University after students successfully complete all graduation requirements and the degree is officially approved by the university.,https://www.bracu.ac.bd/academics/office-registrar
71,BRAC e student der jonno Connect ki?,"Connect is BRAC University's student lifecycle management system. Students can use it to access course registration, grade tracking, billing information, and other academic services from one platform.",https://www.bracu.ac.bd/students
72,BRAC e online student helpdesk ache?,"Yes. BRAC University provides an Online Student Helpdesk Portal where students can submit queries, track their requests, and access frequently asked questions.",https://www.bracu.ac.bd/students
73,BRAC e campus announcement kothay dekhte parbo?,"Students can view official announcements through the Students section of the BRAC University website, where academic updates, campus events, and important notices are published.",https://www.bracu.ac.bd/students
74,BRAC e career support kon office dey?,"Career support is provided by the Office of Career Services and Alumni Relations (OCSAR). It offers career counseling, job fairs, workshops, networking opportunities, and other career development services.",https://ocsar.bracu.ac.bd
75,BRAC e sob student ke club e join korte hoy?,"Yes. BRAC University requires every student to enroll in at least one student club or society to encourage leadership, teamwork, and personal development.",https://www.bracu.ac.bd/student-life/office-co-curricular-activities-oca
76,BRAC er club gula ke manage kore?,"Student clubs and societies are supported and coordinated by the Office of Co-Curricular Activities (OCA), which oversees club fairs, events, and student engagement activities.",https://www.bracu.ac.bd/student-life/office-co-curricular-activities-oca
77,BRAC e counseling service ache?,Yes. BRAC University has a Counseling and Wellness Centre that provides counseling and psychotherapy support to students to promote their mental well-being.,https://www.bracu.ac.bd/student-life
78,BRAC e medical service pawa jay?,"Yes. BRAC University operates a Medical Centre that provides medical advice and healthcare services for students, faculty, and staff.",https://www.bracu.ac.bd/student-life
79,BRAC e nijeder bus service ache?,"Yes. BRAC University offers its own transport service with air-conditioned buses to provide students with safe, comfortable, and affordable transportation.",https://www.bracu.ac.bd/student-life
80,BRAC e library member hote alada registration lage?,"No. All BRAC University students, faculty members, and staff with valid university IDs automatically become members of the Ayesha Abed Library.",https://library.bracu.ac.bd/policy/borrowing-privileges
81,BRAC e library theke ekshathe koyta boi borrow kora jay?,The number of books a student may borrow at one time depends on the user's membership category. Borrowing limits are specified in the Ayesha Abed Library's borrowing policy.,https://library.bracu.ac.bd/policy/borrowing-privileges
82,BRAC e library theke neya boi renew kora jay?,Yes. Borrowed books may be renewed if they are not reserved by another user and the renewal complies with the library's borrowing policy.,https://library.bracu.ac.bd/policy/borrowing-privileges
83,BRAC e library boi deri kore ferot dile ki hoy?,"If a borrowed item is returned after its due date, the borrower is subject to overdue fines according to the Ayesha Abed Library's circulation policy.",https://library.bracu.ac.bd/policy/borrowing-privileges
84,BRAC e library te discussion room book kora jay?,Yes. The Ayesha Abed Library provides discussion rooms that students can reserve according to the library's booking rules and availability.,https://library.bracu.ac.bd
85,BRAC e campus er baire theke library database use kora jay?,"Yes. Eligible students, faculty, and staff can access many of the library's subscribed electronic resources remotely using the university's authorized access system.",https://library.bracu.ac.bd
86,BRAC e alumni hole library use korte parbo?,Yes. Alumni may use selected library services according to the Ayesha Abed Library's membership and access policies.,https://library.bracu.ac.bd
87,BRAC e international exchange program ache?,Yes. BRAC University offers international exchange opportunities through partnerships with universities around the world. The availability of exchange programs depends on agreements and eligibility requirements.,https://www.bracu.ac.bd/global-engagement
88,BRAC e international office student der ki help kore?,"The Global Engagement Office supports students with international exchange programs, partnerships, mobility opportunities, and other international academic activities.",https://www.bracu.ac.bd/global-engagement
89,BRAC e convocation er jonno alada registration korte hoy?,Yes. Graduating students must complete the convocation registration process within the announced deadline and follow the instructions published by the university for that convocation.,https://www.bracu.ac.bd/convocation
90,BRAC e convocation er notice kothay publish hoy?,"BRAC University publishes convocation announcements, schedules, eligibility criteria, and registration instructions on its official website.",https://www.bracu.ac.bd/convocation
91,BRAC e academic transcript collect korte onno ke authorize kora jay?,Yes. A student may authorize another person to collect official academic documents by following the Registrar's Office requirements and providing the necessary authorization documents.,https://www.bracu.ac.bd/academics/office-registrar
92,BRAC e certificate ba transcript issue korte koydin lage?,The processing time for transcripts and certificates depends on the type of document requested and the Registrar's Office procedures. Students should follow the official timeline communicated by the office.,https://www.bracu.ac.bd/academics/office-registrar
93,BRAC e official email ID sob student pay?,Yes. BRAC University provides every enrolled student with an official university email account for academic communication and access to university services.,https://www.bracu.ac.bd/students
94,BRAC er official email use kora keno important?,"The official university email is the primary communication channel for academic notices, course-related information, examination updates, and other official announcements from BRAC University.",https://www.bracu.ac.bd/students
95,BRAC e Wi-Fi use korte student account lage?,Yes. Students use their university credentials to access BRAC University's campus network and Wi-Fi services.,https://www.bracu.ac.bd/it
96,BRAC e computer lab use korte pari?,Yes. BRAC University provides computer laboratories for academic purposes. Students may use these facilities according to departmental schedules and university policies.,https://www.bracu.ac.bd/facilities
97,BRAC e research lab ache?,"Yes. BRAC University has multiple research laboratories and specialized facilities that support teaching, innovation, and research across different schools and departments.",https://www.bracu.ac.bd/research
98,BRAC e undergraduate student research korte pare?,"Yes. Undergraduate students have opportunities to participate in research projects under faculty supervision, depending on departmental policies and available research initiatives.",https://www.bracu.ac.bd/research
99,BRAC e internship support ke dey?,"The Office of Career Services and Alumni Relations (OCSAR) supports students with internship opportunities, career counseling, employer connections, and professional development activities.",https://ocsar.bracu.ac.bd
100,BRAC e job fair hoy?,"Yes. BRAC University regularly organizes career fairs and recruitment events through the Office of Career Services and Alumni Relations (OCSAR), where employers connect with students and graduates.",https://ocsar.bracu.ac.bd
101,BRAC e Student Information Centre (SIC) ki kaj kore?,"The Student Information Centre (SIC) is the primary contact point for student-related queries. It provides support for admissions, registration, the Registrar's Office, and the Office of the Controller of Examinations.",https://www.bracu.ac.bd/contact
102,BRAC e Registrar Office er main kaj ki?,"The Office of the Registrar is responsible for preparing the academic calendar, academic scheduling, course registration, residential semester registration, maintaining student academic records, updating student status, and issuing necessary academic letters.",https://www.bracu.ac.bd/academics/offices/office-registrar
103,BRAC e Controller of Examinations Office ki niye kaj kore?,The Office of the Controller of Examinations manages examination-related activities and is one of the university's central academic offices serving students.,https://www.bracu.ac.bd/academics/offices
104,BRAC e Proctor Office er kaj ki?,"The Office of the Proctor is responsible for student discipline, campus safety, and safeguarding matters across the university.",https://www.bracu.ac.bd/contact
105,BRAC e academic record maintain ke kore?,Student academic records are maintained by the Office of the Registrar. The office is responsible for preserving and updating students' official academic information.,https://www.bracu.ac.bd/academics/offices/office-registrar
106,BRAC e residential semester registration ke handle kore?,Residential Semester registration is managed by the Office of the Registrar as part of its academic administrative responsibilities.,https://www.bracu.ac.bd/academics/offices/office-registrar
107,BRAC e career counseling service pawa jay?,Yes. The Office of Career Services and Alumni Relations (OCSAR) provides career counseling to help students make informed career decisions and prepare for professional life.,https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
108,BRAC e CV ar cover letter review korar service ache?,Yes. OCSAR helps students improve their CVs and cover letters according to current job market expectations to increase their chances of getting shortlisted.,https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
109,BRAC e internship khujte OCSAR help kore?,Yes. OCSAR assists students with internship placement by publishing internship opportunities and allowing eligible students to apply through its job portal.,https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
110,BRAC e Professional Skills Development Program (PSDP) ki?,"The Professional Skills Development Program (PSDP) is an OCSAR initiative that prepares students for the workplace through training in CV writing, interview skills, workplace communication, presentation skills, ethics, and professional development.",https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
111,BRAC e OCSAR job circular share kore?,Yes. The Office of Career Services and Alumni Relations (OCSAR) regularly publishes job and internship opportunities through its career portal and official communication channels for BRAC University students and graduates.,https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
112,BRAC e mock interview deyar sujog ache?,Yes. OCSAR organizes mock interview sessions to help students improve their interview skills and prepare for recruitment processes.,https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
113,BRAC e career workshop hoy?,"Yes. OCSAR conducts workshops, seminars, employer sessions, and training programs on career development, employability skills, and professional networking.",https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
114,BRAC e alumni der sathe networking korar sujog ache?,Yes. OCSAR maintains connections with BRAC University alumni and organizes networking events that allow current students to interact with alumni and industry professionals.,https://www.bracu.ac.bd/campus-life/student-affairs/ocsar
115,BRAC e exchange program e apply korte ke help kore?,"The Global Engagement Office assists students with international exchange programs by providing information on partner universities, application procedures, and eligibility requirements.",https://www.bracu.ac.bd/global-engagement
116,BRAC e partner university te semester exchange kora jay?,"Yes. BRAC University has partnerships with universities in different countries, allowing eligible students to participate in semester exchange programs subject to academic and institutional requirements.",https://www.bracu.ac.bd/global-engagement
117,BRAC e international collaboration niye kon office kaj kore?,"The Global Engagement Office is responsible for managing international collaborations, academic partnerships, faculty mobility, and student exchange initiatives.",https://www.bracu.ac.bd/global-engagement
118,BRAC e faculty der sathe research project e join kora jay?,"Yes. Students may participate in faculty-led research projects depending on available opportunities, faculty approval, and departmental requirements.",https://www.bracu.ac.bd/research
119,BRAC e research publication support ache?,"Yes. BRAC University promotes research through its research offices, research centers, grants, and publication support initiatives for faculty members and researchers. Eligible students may also benefit through faculty-led projects.",https://www.bracu.ac.bd/research
120,BRAC e research center gula ki kaj kore?,"BRAC University's research centers conduct interdisciplinary research, generate new knowledge, support innovation, and address national and global development challenges through research and collaboration.",https://www.bracu.ac.bd/research
121,BRAC e faculty profile kothay dekhte parbo?,"Faculty profiles are available on the official BRAC University website under the respective school or department. Each profile typically includes academic qualifications, research interests, publications, and contact information.",https://www.bracu.ac.bd/academics/faculty
122,BRAC e kon faculty kon subject poray eta kivabe janbo?,Students can find faculty members and their departments through the official faculty directory on the BRAC University website. Course assignments may also be published before each semester.,https://www.bracu.ac.bd/academics/faculty
123,BRAC e department er contact information kothay pabo?,"Contact information for each academic department, including email addresses and office locations, is available on the official BRAC University website.",https://www.bracu.ac.bd/academics
124,BRAC e classroom schedule kothay publish hoy?,Class schedules are published through the university's academic systems and official announcements before the start of each semester.,https://www.bracu.ac.bd/academics/academic-calendar
125,BRAC e exam routine kivabe janbo?,"Examination schedules are announced through the Controller of Examinations, academic offices, and official university communication channels.",https://www.bracu.ac.bd/academics/offices
126,BRAC e holiday calendar kothay pawa jay?,"The official academic calendar published by BRAC University includes semester dates, holidays, registration periods, examinations, and other important academic events.",https://www.bracu.ac.bd/academics/academic-calendar
127,BRAC e university notice sobcheye age kothay ashe?,"Official university notices are published on the BRAC University website and communicated through official student communication channels, including university email.",https://www.bracu.ac.bd/news-events
128,BRAC e event gula kothay dekhte parbo?,"Upcoming seminars, workshops, conferences, competitions, and campus events are announced on the BRAC University News and Events page.",https://www.bracu.ac.bd/news-events
129,BRAC e seminar e student ra participate korte pare?,"Yes. BRAC University regularly organizes seminars, workshops, and conferences, and many of these events are open to students, subject to registration or seat availability.",https://www.bracu.ac.bd/news-events
130,BRAC e conference organize hoy?,"Yes. BRAC University hosts national and international conferences, symposiums, research events, and academic workshops throughout the year across different schools and departments.",https://www.bracu.ac.bd/news-events
131,BRAC e campus tour kora jay?,Yes. Prospective students and visitors may visit the BRAC University campus. The university also organizes campus visits and guided tours during selected admission and outreach events.,https://www.bracu.ac.bd/admissions
132,BRAC er main campus kothay obosthito?,"The main campus of BRAC University is located at Merul Badda, Dhaka, Bangladesh.",https://www.bracu.ac.bd/contact
133,BRAC e class kon campus e hoy?,"Undergraduate and postgraduate classes are conducted at the BRAC University main campus in Merul Badda, Dhaka, except for programs or activities specifically held at other university facilities such as the Residential Semester campus.",https://www.bracu.ac.bd/about/campus
134,BRAC er Residential Semester campus kothay?,"The Residential Semester is conducted at the BRAC University Residential Campus in Savar, Dhaka.",https://www.bracu.ac.bd/residential-semester
135,BRAC e campus e cafeteria ache?,"Yes. BRAC University provides cafeteria and dining facilities for students, faculty, staff, and visitors on campus.",https://www.bracu.ac.bd/about/campus
136,BRAC e prayer room ache?,Yes. BRAC University provides designated prayer facilities for members of the university community.,https://www.bracu.ac.bd/about/campus
137,BRAC e parking facility ache?,"Yes. BRAC University has parking facilities on campus for authorized users, subject to university rules and availability.",https://www.bracu.ac.bd/about/campus
138,BRAC e disabled student der jonno facility ache?,Yes. BRAC University is designed with accessibility features and provides facilities to support students with disabilities and special needs.,https://www.bracu.ac.bd/about/campus
139,BRAC e campus e emergency medical support ache?,"Yes. The university has a Medical Centre that provides primary healthcare and emergency medical assistance for students, faculty, and staff during campus hours.",https://www.bracu.ac.bd/student-life
140,BRAC e campus e ATM ba banking service ache?,"Yes. Banking and ATM services are available on or near the BRAC University campus to support students, faculty, staff, and visitors.",https://www.bracu.ac.bd/about/campus
141,BRAC e lost and found service ache?,"Yes. Students who lose or find personal belongings should report the matter to the appropriate university office, such as the Office of the Proctor or campus security, following the university's procedures.",https://www.bracu.ac.bd/contact
142,BRAC e campus security ke maintain kore?,Campus security is maintained by BRAC University through the Office of the Proctor and the university's security personnel to help ensure a safe learning environment.,https://www.bracu.ac.bd/contact
143,BRAC e visitor niye campus e dhuka jay?,Visitors are allowed to enter the BRAC University campus subject to the university's security procedures and visitor access policies.,https://www.bracu.ac.bd/contact
144,BRAC e class room booking kora jay?,Academic classrooms are managed by the university. Students generally cannot book classrooms individually unless the booking is approved through the relevant academic or administrative office.,https://www.bracu.ac.bd/academics
145,BRAC e student club join korar process ki?,Students can join clubs through the Office of Co-Curricular Activities (OCA). New members are usually recruited during club fairs or through announcements made by individual clubs.,https://www.bracu.ac.bd/student-life/office-co-curricular-activities-oca
146,BRAC e ekshathe ekadhik club e join kora jay?,"Yes. Students may participate in more than one student club, provided they comply with the rules and membership requirements of the respective clubs.",https://www.bracu.ac.bd/student-life/office-co-curricular-activities-oca
147,BRAC e notun club khola jay?,Yes. Students may propose a new club by following the policies and approval process established by the Office of Co-Curricular Activities (OCA).,https://www.bracu.ac.bd/student-life/office-co-curricular-activities-oca
148,BRAC e sports club ache?,Yes. BRAC University has several sports-related clubs and regularly organizes sports activities and competitions through its student clubs and university offices.,https://www.bracu.ac.bd/student-life
149,BRAC e cultural program hoy?,"Yes. BRAC University organizes cultural programs, festivals, competitions, and performances throughout the academic year through student clubs and university offices.",https://www.bracu.ac.bd/news-events
150,BRAC e volunteer howar sujog ache?,"Yes. Students can participate in volunteer activities through student clubs, university initiatives, and community engagement programs organized by BRAC University.",https://www.bracu.ac.bd/student-life
