ID,Category,Question (Banglish),Answer (English),Source Reliability,Time-Sensitive,Split,Source / Notes
44,Admission,BRACU shomporke admission information ami kivabe pabo?,"The admission information is available in the following places:
i) BRACU website (www.bracu.ac.bd).
ii) Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center ext: 1001) One can also get admission information by sending queries at the e-mail
address: admissions@bracu.ac.bd","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
45,Admission,"BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?","BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August","Medium (internal dataset, not independently re-verified)",Yes,val,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, not template-generated - genuine Bangla-English code-switching, not mechanical translation.]"
46,Admission,BRACU te ki ki Postgraduate Certificate ar Diploma course ache?,"Examples include the Postgraduate Certificate in Construction Management (CCM), described as the first program of its kind in Bangladesh, aimed at graduates in Architecture, Engineering, Management or related fields, with candidates required to pass an interview as part of admission.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Certificate and Diploma Courses page (bracu.ac.bd/admissions/certificate-and-diploma-courses) [Banglish paraphrase: hand-written by Claude, not template-generated - genuine Bangla-English code-switching, not mechanical translation.]"
47,Admission,"BSc in CS program e mot koto credit lage, CSE er tulonay?","The BSc in Computer Science (CS) program requires 124 credits, compared to 136 credits for the BSc in Computer Science and Engineering (CSE) - CS is a slightly shorter, less hardware/engineering-focused track than full CSE.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University - Undergraduate Admission Brochure (official PDF, bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, not template-generated - genuine Bangla-English code-switching, not mechanical translation.]"
48,Admission,BSc in Microbiology ba Biotechnology admission er jonno kon subject test lagbe?,Candidates for BSc in Biotechnology and Microbiology need a minimum C grade in Biology and Chemistry at HSC/A-Level/equivalent; those without Mathematics at that level are required to take an additional remedial Mathematics course alongside their regular coursework.,High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University official website - Admissions and Academics pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
49,Admission,"BSS in Anthropology, BA in English, ar LLB admission er jonno kon kon subject test hoy?","Applicants to BSS in Anthropology, BA in English, and LLB (Hons) are tested only in English as part of the admission test.",High (cites bracu.ac.bd or an official PDF directly),No,test,"BRAC University official Admission Requirements page [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
50,Admission,"Continuing student der jonno minimum CGPA policy ta ki, ar eta transfer credit er admission decision e matter kore ki?","While this is primarily an academic-progress policy rather than an admissions one, prospective transfer students should know that BRAC University's minimum CGPA standard (1.5 in early semesters, rising to 2.00 by the sixth semester) applies once admitted, and credit transfer evaluations consider whether previous coursework is similar in content and level to BRACU's own curriculum.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University official website - Policies and Procedures (bracu.ac.bd/academics/policies-and-procedures) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
51,Admission,CSE program er prerequisite gula ki?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(""B"" grade in Physics & Mathematics),A-levels: ""C"" grade in Physics & Mathematics","Medium (internal dataset, not independently re-verified)",No,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
52,Admission,"CSE, EEE, Physics, ba Mathematics er moto BSc program er jonno kon kon subject test hoy?","Applicants to CSE, ECE, EEE, Physics, Applied Physics & Electronics, and Mathematics programs are tested on English, Mathematics, Higher Mathematics, and Physics as part of the admission test.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University official Admission Requirements page [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
53,Admission,Ei joint PhD program e student ra ki London na thakleo Bangladesh theke korte parbe?,"Yes, some PhD students are based in Bangladesh; SOAS research training components are designed to be offered in a hybrid format so that Bangladesh-based students can still participate.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University - Joint PhD Admission page (bracu.ac.bd/admissions/joint-phd-admission) [Banglish paraphrase: hand-written by Claude, not template-generated - genuine Bangla-English code-switching, not mechanical translation.]"
54,Admission,Ekjon fresher department kivabe change korte pare?,Freshers can change the department before the class starts. They need to contact the Admissions Office.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
55,Admission,EMBA program e apply korte applicant der koto bochorer work experience lagbe?,Those who have a minimum of 3-years of professional work experience (After Graduation) can apply for the EMBA Program.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
56,Admission,Engineering program er jonno consider howar jonno amar GPA koto lagbe?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(""B"" grade in Physics & Mathematics),A-levels: ""C"" grade in Physics & Mathematics
Candidates for BSc in Computer Science and BSc in Mathematics: HSC/ Equivalent(""B"" grade in Mathematics),A-levels(""C"" grade in Mathematics)
Candidates for BSc in Electronic & Communication Engineering and Electrical & Electronic Engineering who had Physics and Mathematics but not Chemistry in HSC/A-level/Equivalent will have to take a remedial course on Chemistry in addition to the courses required for the program.","Medium (internal dataset, not independently re-verified)",No,val,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
57,Admission,International applicant der jonno application process ki shoman?,International Applicants must contact the scholarship@bracu.ac.bd and can apply only online for admission (admissions.bracu.ac.bd). The application process is the same for all applicants,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
58,Admission,"Jader English language e required level er proficiency nei, tader jonno ki provisional admission ache?","Many students willing to join the university might not have the required standard of proficiency in English language. If the students fail to attain the minimum standard of English proficiency required by the university, they may be asked to attend remedial English courses before the admission to the university. At the end of this course, they will have to take an English proficiency test and if qualified be admitted to BRACU.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
59,Admission,Join na korle amar application/admission fee ki refund pabo?,"The admission application fee at BRAC University is explicitly described as non-refundable (Tk. 1,500 for local applicants, US$20 for international applicants), so it is not returned if an applicant later decides not to enroll.",Medium (secondary/third-party source),Yes,train,"BRAC University - Admissions FAQs / International Applicants pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
60,Admission,Kono category er applicant er jonno ki written admission test skip kora hoy?,"Yes. BRACU graduates with a CGPA of 3.0 or above are generally exempted from the written admission test for further programs, though the interview stage remains mandatory for all applicants regardless of this exemption.",Medium (secondary/third-party source),No,train,"BRAC University - Undergraduate Admission Requirements pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
61,Admission,MBA program er jonno ki kono special admission requirement ache?,"Minimum 15 years of schooling with a Bachelor Degree from any discipline and 3 years of professional / executive experience after graduation or 14 years of schooling with 6 or more years of corporate experience having at least 2nd class or CGPA 2.5 out of 4.0 or equivalent (from any government authorized university).
Minimum GPA of 2.5 or 2nd Class in SSC/Equivalent and HSC/Equivalent separately (including additional subject).
Minimum GPA of 2.5 in O-Levels in five subjects and A-Levels in two subjects according to the scale (A=5, B=4, C=3, D=2 and E=1). Only one E is acceptable.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
