query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp
Q051,full_hybrid,0.5,Where can I find the male and female washrooms on the 1st Floor?,Beside the lift lobby(2nd escalator),"Where can I find the male and female washrooms on the 1st Floor?
Beside the lift lobby(2nd escalator)

Where is male washroom?
There are male washrooms in every floor from ground to 12th floor. 

Where is female washroom?
There are female washrooms in every floor from ground to 12th floor. 

How many restrooms are there?
There are restrooms on each floor: 1st to 12th floors have male and female restrooms.

What facilities are available on the 1st Floor?
Medical Center, Male Washroom, Female Washroom, Brac Bank, and Student Fee Collection Booth.",The male and female washrooms are beside the lift lobby (2nd escalator) on the 1st Floor.,0.0078,2.6106,2.6183,2026-07-24T06:51:32.157914+00:00
Q052,full_hybrid,0.5,What are the consequences of late payment of tuition and fees?,"At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status","What are the consequences of late payment of tuition and fees?
At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The uni

Are there any penalties for late payment?
BRAC University charges a late payment penalty if tuition fees are not paid by the specified deadline. The penalty is typically a percentage of the unpaid amount. For alternative payment plans, such as installments, students must apply before the deadlines to avoid these penalties. For detailed guidance, consult BRAC University's official policies

 thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status

What are the payment deadlines for tuition and fees?
At BRAC University, tuition and fees must be paid by the specified deadlines each semester.It's important to check specific dates each semester, as they may vary

Is there a grace period for late payments?
BRAC University does not provide a specific grace period for late tuition payments in its official guideline","At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status.",0.0074,3.8518,3.8592,2026-07-24T06:51:36.017369+00:00
Q053,full_hybrid,0.5,I am having lab clashes in my routine? What to do now?,Please look into this website for lab change form: https://cse.sds.bracu.ac.bd/advising,"I am having lab clashes in my routine? What to do now?
Please look into this website for lab change form: https://cse.sds.bracu.ac.bd/advising 


What should I do if a lab PC is not working or is unresponsive?
 If a lab PC is unresponsive or malfunctioning, inform the lab assistant immediately or contact IT support 

Can I change my password on the lab PC?
Yes, you can change your password when logged into a lab PC. Press Ctrl+Alt+Delete and select the ""Change Password"" option. Enter your current password and set a new one.

Can I save files on the lab PCs?
Files saved directly on lab PCs will typically be erased after restarting, as these computers are regularly wiped for security purposes. It’s recommended to save your work on a cloud storage service like Google Drive or an external USB drive.

What should students do if they have a scheduling conflict with their exams?
The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.",You need to fill out the lab change form found on this website: https://cse.sds.bracu.ac.bd/advising.,0.0087,2.7199,2.7287,2026-07-24T06:51:38.746241+00:00
Q054,full_hybrid,0.5,What documents are required to submit with the application?,"Submit account clearance, library clearance, previous academic certificates, and course waiver information (if any) along with the filled-up application form.","What documents are required to submit with the application?
Submit account clearance, library clearance, previous academic certificates, and course waiver information (if any) along with the filled-up application form.

What documents are required for the application?
verified/attested copies of previous academic documents from their Institute/Foreign Ministry (of the country that they studied in) and equivalence certificates from the Board of Intermediate and Secondary Education, Dhaka.

What documents are needed for a scholarship application?
For a merit-based scholarship application at BRAC University, students generally need to submit academic transcripts, a certificate of enrollment, and a completed scholarship application form. Some scholarships may also require recommendation letters and a personal statement detailing academic achievements and goals. Specific scholarships may have additional requirements, so it’s important to check the guidelines for each one

What documents are required for international students admission?
The academic and other related documents required for admission to BracU are as follows:

Completed admission application form
Original Copy of academic transcripts/certificates
Statement from your home institute which confirms medium of instruction is English
Police Clearance Certificate from your country of origin/No Objection Letter (NOC) from your home institute
Valid passport and Student visa
Health checkup/medical cer

What is the overall process for degree processing, provisional certificate, and convocation?
Complete all academic requirements, submit the Degree Application Form with necessary clearances and documents, pay the required fees, and get registered for convocation.","Submit account clearance, library clearance, previous academic certificates, and course waiver information (if any) along with the filled-up application form.",0.0074,2.7677,2.7751,2026-07-24T06:51:41.521519+00:00
Q055,full_hybrid,0.5,What's on the second floor?,"The 2nd floor houses the Student Information Centre, Exhibition Gallery, and Rehearsal Room.","What's on the second floor?
The 2nd floor houses the Student Information Centre, Exhibition Gallery, and Rehearsal Room.

Where can I find the Cafeteria?
6th Floor

What can I find on the 14th Floor?
Jogging Track and Greenhouse.

What unique features does the 3rd Floor have?
The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services.

Where can I find the Dressing Room for the two grounds?
Ground Floor","The 2nd floor houses the Student Information Centre, Exhibition Gallery, and Rehearsal Room.",0.0070,2.5735,2.5805,2026-07-24T06:51:44.102212+00:00
Q056,full_hybrid,0.5,What elective courses are recommended for students interested in Software Engineering?,"CSE391, CSE484 and CSE489 are recommended for people who are interested in Software Engineering.","What elective courses are recommended for students interested in Software Engineering?
CSE391, CSE484 and CSE489 are recommended for people who are interested in Software Engineering.

What elective courses are recommended for students interested in Data Science?
Elective courses like CSE437 and CSE438 can be beneficial for those who are interested in Data Science.

What elective courses are recommended for students interested in Cybersecurity?
CSE446, CSE447, CSE490 and CSE496 can be beneficial for students interested in Cyber Security.

What elective courses are recommended for students interested in Artificial Intelligence?
Students interested in Artificial Intelligence can go for CSE427 which focuses on traditional machine learning algorithms and then go for CSE425 which gives elaborate idea about Neural Networks. If they are interested in computer vision and image processing they can go for CSE439 and CSE428. Lastly, if they are interested in NLP they CSE440 and CSE442 can be sweet treats for them.

What elective courses are available for CSE students?
Different Elective courses are offered every semester.
CSE310 Object-Oriented Programming
CSE390 Technical Communication
CSE391 Programming for The Internet
CSE402 Optimization
CSE419 Programming Languages and Competitive Programming
CSE424 Pattern Recognition
CSE425 Neural Network
CSE426 Advanced Algorithms
CSE427 Machine Learning
CSE428 Image Processing
CSE435 Reinforcement Learning
CSE437 Data Science: Coding With Real-World Data
CSE440 Na","CSE391, CSE484 and CSE489.",0.0084,2.5959,2.6043,2026-07-24T06:51:46.706741+00:00
Q057,full_hybrid,0.5,What is the free structure for international students?,"Particulars	PHR	LLB (From Spring 2024)   ARC & CSE  Other Programs  Note
Admission fee	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	      One time
Course fee	Tk. 22,500/-	Tk. 24,000/-	Tk. 22,500/-	Tk. 22,500/-	     For One course
Semester fee	Tk. 12,750/-	Tk. 12,750/-	Tk. 11,500/-	Tk. 8,500/-	-
Library Membership fee	Tk. 2,500/-   Tk. 2,500/-   Tk. 2,500/-  Tk. 2,500/  One time","Does BRACU provide accomodation for international students?
Brac University provides international students accommodation facilities (need more info)

Which Scholarships are available for International Students?
Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.

What is the free structure for international students?
Particulars	PHR	LLB (From Spring 2024)   ARC & CSE  Other Programs  Note
Admission fee	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	      One time
Course fee	Tk. 22,500/-	Tk. 24,000/-	Tk. 22,500/-	Tk. 22,500/-	     For One course
Semester fee	Tk. 12,750/-	Tk. 12,750/-	Tk. 11,500/-	Tk. 8,500/-	-
Library Membership fee	Tk. 2,500/-   Tk. 2,500/-   Tk. 2,500/-  Tk. 2,500/  One time

How much it will cost for accomodation, food and transportation fee for international students?
Approximately US$ 400 per month will be charged for accommodation and food.

Are there scholarships specifically for international students?
BRAC University's revised International Scholarship/Financial Aid criteria, effective from Summer 2023, include two key scholarship options. The BRAC Scholarship offers a 100% waiver on tuition, fees, food, and accommodation for economically disadvantaged, meritorious students, provided they maintain a minimum CGPA of 3.00 and other","According to the retrieved context:

Particulars	PHR	LLB (From Spring 2024)   ARC & CSE  Other Programs  Note
Admission fee	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	Tk. 30,800/-	      One time
Course fee	Tk. 22,500/-	Tk. 24,000/-	Tk. 22,500/-	Tk. 22,500/-	     For One course
Semester fee	Tk. 12,750/-	Tk. 12,750/-	Tk. 11,500/-	Tk. 8,500/-	-
Library Membership fee	Tk. 2,500/-   Tk. 2,500/-   Tk. 2,500/-  Tk. 2,500/  One time",0.0078,4.7292,4.7370,2026-07-24T06:51:51.443907+00:00
Q058,full_hybrid,0.5,What is the process to withdraw from a course after I have done some classes in the semester?,"Collect the course withdrawal form from the office, and get your faculty's signature along with the attested medical docs from the medical center.","What is the process to withdraw from a course after I have done some classes in the semester?
Collect the course withdrawal form from the office, and get your faculty's signature along with the attested medical docs from the medical center.  

What is the process for withdrawal of admission? 
To withdraw from an admission, students must have to apply for admission withdrawal through email. Farzana apu (f.yeasmin@bracu.ac.bd) Office of the Registrar.

What is the overall process for withdrawing academic transcripts?
What is the overall process for withdrawing academic transcripts?	To withdraw academic transcripts, fill up the Document Request Form (available at the Controller’s Office), pay the required fees at the BRACU booth/bank, and take clearance from the Accounts Department. Submit the completed form at Level 2). The transcript will be issued after three working days. For an emergency transcript, pay an additional fee of BDT 800 to rece

What if a course is not offered?
If there are 20+ students requesting for a course and the department has the ability to provide a new section and there is also a faculty member who is free and also have the ability to take the course and after that if he agrees to take the course then a section might be opened or you have to wait until it is being offered. (If you find a course not being offered in your last semester, then you have to wait until it is being offered.)

What is the procedure of semester drop?
To drop a semester, students will have to apply through the Semester Drop From along with some sufficient documents.

A step-by-step guide:

1. Collect the Semester Drop form from the Office of the Registrar and fill it up accordingly.

2. If you are dropping the semester for medical reasons, you will have to verify your Medical Certificate/ Document along with your Health Card from Brac University's Medical Center.

3. Take approval from your course teach","Unfortunately, the retrieved context does not contain enough information on how to withdraw from a course after completing some classes in the semester. The context only mentions procedures for withdrawing from an admission, dropping a semester, and requesting academic transcripts.",0.0083,2.9730,2.9813,2026-07-24T06:51:54.425445+00:00
Q059,full_hybrid,0.5,Where are the BRAC Bank and ATMs?,ATM services are available on the ground and Brac Bank is on 1st floor/Level 1.,"Where are the BRAC Bank and ATMs?
ATM services are available on the ground and Brac Bank is on 1st floor/Level 1.

Where is the nearest ATM from the reception?
The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.

What services does Brac Bank provide on campus?
Brac Bank offers banking services, including cash withdrawals, deposits, and student fee collection.

rmation will be done automatically. Students do not have to submit the pay slip physically at Brac University.

 

BRAC Bank Internet Banking:

If a student or his/her guardian has an account with BRAC Bank, they can make payment through BRAC Bank online transactions. BRAC Bank online portal has the option to pay to BRAC University. Once the payment has been made, the confirmation will be done automatically. BRAC Bank online link: https://astha.bracbank.com/ib-retail-web/tenant/index 

 

Paymen

Where can I collect my student fees?
The Student Fee Collection Booth is located on the 1st Floor at Brac Bank.",ATM services are available on the ground and Brac Bank is on 1st floor/Level 1.,0.0072,2.6502,2.6574,2026-07-24T06:51:57.083100+00:00
Q060,full_hybrid,0.5,What is the deadline for scholarship applications?,The deadline for scholarship applications at BRAC University typically varies depending on the type of scholarship and the academic semester. It is important for students to check the university's official announcements or contact the admissions or financial aid office for the specific deadlines related to each semester or scholarship program.,"What is the deadline for scholarship applications?
The deadline for scholarship applications at BRAC University typically varies depending on the type of scholarship and the academic semester. It is important for students to check the university's official announcements or contact the admissions or financial aid office for the specific deadlines related to each semester or scholarship program.

When is the application deadline for financial aid?
The application deadline for financial aid at BRAC University typically aligns with the beginning of each semester. Students usually need to apply before the start of the semester to ensure their applications are processed in time.

on form by the specified deadline.

What are the important dates and deadlines for admission?
please visit bracu.ac.bd

a tuition fee waiver for up to two consecutive semesters. The student must regain the required CGPA within these semesters, or the scholarship will be discontinued unless special circumstances are recognized by the Scholarship Committee.
2. Merit Scholarship Based on BRACU Academic Results

Eligibility:
Undergraduate students must complete at least 30 credits, and postgraduate students must complete at least 1/4th of their program credits.
Undergraduate students must take a minimum of 12 credits",The deadline for scholarship applications typically varies depending on the type of scholarship and the academic semester. It is best to check the university's official announcements or contact the admissions or financial aid office for specific deadlines related to each semester or scholarship program.,0.0075,2.9055,2.9130,2026-07-24T06:51:59.996285+00:00
Q061,full_hybrid,0.5,What unique features does the 3rd Floor have?,"The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services.","What unique features does the 3rd Floor have?
The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services.

What's on the second floor?
The 2nd floor houses the Student Information Centre, Exhibition Gallery, and Rehearsal Room.

Where can I find the Cafeteria?
6th Floor

Where is the multi-purpose hall?
The multi-purpose hall is located on the ground floor.

What can I find on the 14th Floor?
Jogging Track and Greenhouse.","The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services.",0.0075,2.6805,2.6880,2026-07-24T06:52:02.684448+00:00
Q062,full_hybrid,0.5,What should I do if I want to access the Childcare Center?,The Childcare Center is located on the 2nd Floor (B3-03 Stair 08) and may have specific entry requirements.,"What should I do if I want to access the Childcare Center?
The Childcare Center is located on the 2nd Floor (B3-03 Stair 08) and may have specific entry requirements.

What unique features does the 3rd Floor have?
The 3rd Floor includes the Office of the Register, Center of Entrepreneurship Development (CED), Childcare Center, and various Student Life services.

How do I access the Learning Labs/Classrooms?
Learning Labs/Classrooms are located on multiple floors (7th to 12th), and access is usually through designated staircases or elevators.

Where is the DCO's office?
DCO's office are always connected with the department. So, go to your department and find your DCO. 

What facilities are available on the 1st Floor?
Medical Center, Male Washroom, Female Washroom, Brac Bank, and Student Fee Collection Booth.",The Childcare Center is located on the 2nd Floor (B3-03 Stair 08) and may have specific entry requirements. You should check with the Childcare Center directly for their current access policies and procedures.,0.0072,2.9165,2.9237,2026-07-24T06:52:05.608367+00:00
Q063,full_hybrid,0.5,Can you tell me the library time schedule?,"Sunday - Thursday : 9:00 am - 10:00 pm 
Friday : 2:30 pm - 9:00 pm 
Saturday : 1:00 pm - 9:00 pm","Can you tell me the library time schedule?
Sunday - Thursday : 9:00 am - 10:00 pm 
Friday : 2:30 pm - 9:00 pm 
Saturday : 1:00 pm - 9:00 pm

Tell me about the library user policies.

What is the daily time schedule of Tarc?
Tarc starts at morning 7:00 am and ends at 10:00pm.Dorm gate closes at pm.Also 6-8 is the study hour.Nobody is allowed to be in the field during this period.They can be only in the library,their rooms or the classrooms doing group study

How do I get to the Library?
The Library is located on the 8th Floor, accessible via elevators or stairs.

Is the library open on government holidays?
No.","Sunday - Thursday : 9:00 am - 10:00 pm 
Friday : 2:30 pm - 9:00 pm 
Saturday : 1:00 pm - 9:00 pm",0.0075,2.8619,2.8694,2026-07-24T06:52:08.477943+00:00
Q064,full_hybrid,0.5,Where is the Office of Academic Advising located?,"3rd Floor, Level 3 Zone D (B3-03 Stair 08) – access through B3-03 Stair 09.","What is the role of the Office of Academic Advising?
The Office of Academic Advising provides academic support, course selection, and guidance for the first year students.

Where is the Office of Academic Advising located?
3rd Floor, Level 3 Zone D (B3-03 Stair 08) – access through B3-03 Stair 09.

Can you give me the understanding of the overall advising process?
Firstly during pre advising the The advising procedures are different for every department. Example: For CSE department the advising is divided into 3 parts. Pre Advising(2 Slots for everyone), Discord Advising and On campus Advising. Pre Advising schedule will be uploaded at Brac University Website and you will also be emailed by the Office of the registrar beforehand. So, check your G-suite for updates.Discord advising happens 

How can I contact with my advisor during advising?
You should contact your advisor in his desired channel for advising. You can use wait queue to connect in voice with him. Then he/she will bring you in the main channel or will join you win the wait queue. It is not the right thing to Direct message him or email him. Because it is not in the procedure of advising. During on campus advising, you can easily meet him in person whenever he/she is in his office.

What is the function of the Proctor's Office?
The Proctor's Office oversees academic integrity and student conduct during examinations.","3rd Floor, Level 3 Zone D (B3-03 Stair 08) – access through B3-03 Stair 09.",0.0077,2.7139,2.7216,2026-07-24T06:52:11.199783+00:00
Q065,full_hybrid,0.5,What is the marking requirement to move from Pre-Thesis I to Pre-Thesis II?,At least 60% marks.,"What is the marking requirement to move from Pre-Thesis I to Pre-Thesis II?
At least 60% marks.

What prerequisites must be completed before the thesis defense?
Pre-Thesis I and Pre-Thesis II.

What is the penalty for absence in Pre-Thesis I or Pre-Thesis II without deferral?
2 marks deducte

Do students need to re-register for Pre-Thesis 2 or continue from Pre-Thesis 1?
No, they do not need to re-register for Pre-Thesis 2. Just check on these for further deadlines: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=760084043#gid=760084043

Is it necessary to register again for Pre-Thesis 2 or other phases of the thesis if already registered for Pre-Thesis 1?
No, they do not need to re-register for Pre-Thesis 2. Just check on these for further deadlines: https://docs.google.com/spreadsheets/d/1SkyO77YFde-N4bpxQ5lb07FH24hFINyR4JBgD47Xamk/edit?gid=115225515#gid=115225515",At least 60% marks.,0.0074,2.4784,2.4858,2026-07-24T06:52:13.685819+00:00
Q066,full_hybrid,0.5,What if someone mistakenly delete their information on USIS?,Students who accidentally deleted any information from their USIS account should contact at the Office of the Registrar using submit a request in the Help center or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email,"What if someone mistakenly delete their information on USIS?
Students who accidentally deleted any information from their USIS account should contact at the Office of the Registrar using submit a request in the Help center or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email

I forgot my usis ID, what should I do? 
Students who forgot their USIS account's Username should contact at the Office of the Registrar or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.

I forgot my usis ID password, what should I do? 
Students who forgot their USIS account’s Password should contact the Office of the Registrar or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.

What to do if usis shows 0 credit limit for some student IDs?
Probably they are instructed to contact registrar office.

Why my Usis is blocked durning advising?
You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing about your problem at usis-help@bracu.ac.bd",Students who accidentally deleted any information from their USIS account should contact at the Office of the Registrar using submit a request in the Help center or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.,0.0082,2.9766,2.9848,2026-07-24T06:52:16.670846+00:00
Q067,full_hybrid,0.5,My advising dashboard is not coming but my pre advising is still not going what to do?,Oh no! You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing at usis-help@bracu.ac.bd about you problem,"My advising dashboard is not coming but my pre advising is still not going what to do?
Oh no! You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing at usis-help@bracu.ac.bd about you problem

My pre advising schedule is not good, what to do?
Please try in the main advising or you can try by swapping your sections in the main advising.

Can you give me the understanding of the overall advising process?
Firstly during pre advising the The advising procedures are different for every department. Example: For CSE department the advising is divided into 3 parts. Pre Advising(2 Slots for everyone), Discord Advising and On campus Advising. Pre Advising schedule will be uploaded at Brac University Website and you will also be emailed by the Office of the registrar beforehand. So, check your G-suite for updates.Discord advising happens 

What is advising?
Advising is the procedure of taking courses for your next semester. It is divided into two parts. Firstly Pre-advising then main advising. Pre-advising usually happens few days before your cuurent semester's final starts and main advising usually begins 1 week before the class starts.

I missed my pre advising, what should I do now?
Please wait for the 2nd phrase of the pre advising. You may not get those sections you will have got in the 1st phrase. But you can try in the 2nd phrase and also try to get courses in the main advising through your advisor.","To resolve this issue, please log into https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 using your g-suit credentials or email usis-help@bracu.ac.bd about the problem.",0.0094,3.1087,3.1181,2026-07-24T06:52:19.789163+00:00
Q068,full_hybrid,0.5,Where can I find the Arabika Coffee shop?,Arabika Coffee is located on the Ground Floor.,"Where can I find the Arabika Coffee shop?
Arabika Coffee is located on the Ground Floor.

What food and beverage service is available on campus?
Arabika Coffee is located on the Ground Floor and also you can have meal, snacks or bevarage from 6th floor Cafeteria.

Where can I find the Cafeteria?
6th Floor

Where can I find the Dressing Room for the two grounds?
Ground Floor

Where is female washroom?
There are female washrooms in every floor from ground to 12th floor. ",Arabika Coffee is located on the Ground Floor.,0.0073,2.4412,2.4485,2026-07-24T06:52:22.237929+00:00
Q069,full_hybrid,0.5,Where can students find the exam schedule?,"The official BRAC University website often publishes the exam schedules under the academic or announcements section. Additionally, the university may send exam schedules directly to students' email addresses.Furthermore, course instructors sometimes share the exam schedule directly with students during classes or through the course management system.","Where can students find the exam schedule?
The official BRAC University website often publishes the exam schedules under the academic or announcements section. Additionally, the university may send exam schedules directly to students' email addresses.Furthermore, course instructors sometimes share the exam schedule directly with students during classes or through the course management system.

How early should students arrive at the exam hall?
Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

ubmitted to the Controller’s Office with sufficient documents within 10 days from the missed exam.

What is the procedure to apply for a make-up exam if a student misses an exam due to illness?
Students must apply for a makeup exam within 10 days from the day of the exam .To apply for a make-up exam at BRAC University, students should first collect the make-up exam request form from the Registrar’s Office. If the absence was due to illness, they need to have their medical certificate and health card verified at the BRACU Medical Center. Following this, students must obtain approval from the co

What is the academic calendar for BRAC University, including semester dates and exam schedules?
Here is the official link of the academic dates: https://www.bracu.ac.bd/news-events/academic-dates","The official BRAC University website often publishes the exam schedules under the academic or announcements section. Additionally, the university may send exam schedules directly to students' email addresses.Furthermore, course instructors sometimes share the exam schedule directly with students during classes or through the course management system.",0.0079,3.0602,3.0680,2026-07-24T06:52:25.306140+00:00
Q070,full_hybrid,0.5,Are there scholarships specifically for international students?,"BRAC University's revised International Scholarship/Financial Aid criteria, effective from Summer 2023, include two key scholarship options. The BRAC Scholarship offers a 100% waiver on tuition, fees, food, and accommodation for economically disadvantaged, meritorious students, provided they maintain a minimum CGPA of 3.00 and other","Are there scholarships specifically for international students?
BRAC University's revised International Scholarship/Financial Aid criteria, effective from Summer 2023, include two key scholarship options. The BRAC Scholarship offers a 100% waiver on tuition, fees, food, and accommodation for economically disadvantaged, meritorious students, provided they maintain a minimum CGPA of 3.00 and other

Which Scholarships are available for International Students?
Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.

Are there any merit-based scholarships available?
Yes, BRAC University offers merit-based scholarships to students with outstanding academic performance. These scholarships are awarded based on a student's CGPA, and recipients are often required to maintain a high academic standard throughout their studies to remain eligible for continued support.

Does BRACU provide accomodation for international students?
Brac University provides international students accommodation facilities (need more info)

What scholarships are offered by BRAC University?
BRAC University offers a range of scholarships that focus on academic excellence and specific groups of students. Merit-based scholarships are awarded to students with outstanding academic achievements. Performance scholarships recognize students who excel in their studies each semester. The university also provides quota-based scholarships for students from underrepresented communities, including ethnic minorities and those from disadvantaged re","Yes, two key scholarship options are available to international students: Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs-Based Scholarship).",0.0082,2.7340,2.7422,2026-07-24T06:52:28.048529+00:00
Q071,full_hybrid,0.5,How can I find out more about specific clubs?,You can visit this page for details: https://www.bracu.ac.bd/campus-life/office-co-curricular-activities/list-brac-university-clubsocietyforum,"How can I find out more about specific clubs?
You can visit this page for details: https://www.bracu.ac.bd/campus-life/office-co-curricular-activities/list-brac-university-clubsocietyforum

Are there any professional or academic clubs related to my major?
What is your major?

How to Apply to Organize Online club events?
Student Organizations (clubs/societies) may organize online events:

1. Clubs/Societies will plan student activities on online platforms

2. The official time of the programs will be: a. 11 am to 9 pm

3. Must submit the proposal by email before 10 working days of the event to student_org@bracu.ac.bd and cc to <club advisor/co-advisor>

4. In the proposal, club must provide the following information:

• Specific Topic or Objective
• Online Platform (F

Are there any costs associated with joining clubs or sports teams?
No there no costs associated with joining clubs or sports teams.

How to create a new club?
1. At least 50 student members and one advisor [from BRACU faculty] are expected to be interested to start a club.

2. An application to the director, co-curricular activities with goals, objectives, program calendar, and mode of operation, signed by the advisor/ co-advisor[s] should be submitted by the applicants intending to open the club.

3. The club should have a student Executive Committee comprised of the president, secretaries, and other positions depending ",You can visit this page for details: https://www.bracu.ac.bd/campus-life/office-co-curricular-activities/list-brac-university-clubsocietyforum,0.0077,2.8157,2.8234,2026-07-24T06:52:30.872199+00:00
Q072,full_hybrid,0.5,How do I contact the admissions office?,you can mail to admissions@bracu.ac.bd,"How do I contact the admissions office?
you can mail to admissions@bracu.ac.bd

How to contact with OCA?


Office of Co-curricular Activities (OCA)
Address: level 2
Website: Office of Co-Curricular Activities (OCA) 
Email: student_org@bracu.ac.bd

How can I check the status of my application?
Applicants can check their application status online any time at admissions.bracu.ac.bd 

I forgot my usis ID, what should I do? 
Students who forgot their USIS account's Username should contact at the Office of the Registrar or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.

I forgot my usis ID password, what should I do? 
Students who forgot their USIS account’s Password should contact the Office of the Registrar or email the Help desk at usis-help@bracu.ac.bd mentioning their Student ID in the email.",You can mail to admissions@bracu.ac.bd.,0.0071,2.4651,2.4722,2026-07-24T06:52:33.344547+00:00
