query_id,question,answer,category,proposed_split,source_question
GOV-AUG-003-0,I was wondering if you could tell me about this project called BRACU Dichari that's been going on – can you give an update on what they've managed to accomplish so far?,"BRACU Dichari is a BRAC University undergraduate robotics team that became the first Bangladeshi team to qualify for the European Robotics League (ERL). At the ERL Emergency Local Tournament in Poznan, Poland, the team won the 'Perseverance Award' and placed 4th in the tournament.",University Facts & Governance,val,"Before I forget to ask — what is BRACU Dichari, and what has the team achieved?"
GOV-AUG-003-1,I'm trying to get a sense of this BRACU project at Dichari - can you tell me a bit about it and what kind of results the researchers have gotten so far?,"BRACU Dichari is a BRAC University undergraduate robotics team that became the first Bangladeshi team to qualify for the European Robotics League (ERL). At the ERL Emergency Local Tournament in Poznan, Poland, the team won the 'Perseverance Award' and placed 4th in the tournament.",University Facts & Governance,test,"Before I forget to ask — what is BRACU Dichari, and what has the team achieved?"
GOV-AUG-003-2,Can you tell me more about BRAC University's Dichari project and its accomplishments so far?,"BRACU Dichari is a BRAC University undergraduate robotics team that became the first Bangladeshi team to qualify for the European Robotics League (ERL). At the ERL Emergency Local Tournament in Poznan, Poland, the team won the 'Perseverance Award' and placed 4th in the tournament.",University Facts & Governance,train,"Before I forget to ask — what is BRACU Dichari, and what has the team achieved?"
GOV-AUG-003-3,Can you tell me more about BRACU Dichari and the projects the team has completed so far?,"BRACU Dichari is a BRAC University undergraduate robotics team that became the first Bangladeshi team to qualify for the European Robotics League (ERL). At the ERL Emergency Local Tournament in Poznan, Poland, the team won the 'Perseverance Award' and placed 4th in the tournament.",University Facts & Governance,train,"Before I forget to ask — what is BRACU Dichari, and what has the team achieved?"
GOV-AUG-004-0,Are there any other organizations besides the University Grants Commission (UGC) and the Bar Council that BRAC University has formal connections with through accreditation or affiliation agreements?,"BRAC University's programs are recognized/accredited by bodies including the Bar Council (for LLB), the Institution of Engineers Bangladesh (IEB), the Pharmacy Council of Bangladesh (PCB), and the Institute of Architects Bangladesh (IAB). It also holds international affiliations and memberships including the Association to Advance Collegiate Schools of Business (AACSB) network, the Association of Commonwealth Universities (ACU), and the Association of Private Universities of Bangladesh (APUB), in addition to its core affiliation with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,val,"Besides UGC and the Bar Council, what other bodies is BRAC University affiliated with or accredited by?"
GOV-AUG-004-1,"What other organizations, aside from UGC and the Bar Council, recognize BRAC University as a legitimate educational institution?","BRAC University's programs are recognized/accredited by bodies including the Bar Council (for LLB), the Institution of Engineers Bangladesh (IEB), the Pharmacy Council of Bangladesh (PCB), and the Institute of Architects Bangladesh (IAB). It also holds international affiliations and memberships including the Association to Advance Collegiate Schools of Business (AACSB) network, the Association of Commonwealth Universities (ACU), and the Association of Private Universities of Bangladesh (APUB), in addition to its core affiliation with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,test,"Besides UGC and the Bar Council, what other bodies is BRAC University affiliated with or accredited by?"
GOV-AUG-004-2,Are there any other organizations that BRAC University has partnerships with besides the University Grants Commission and the Bangladesh Bar Council?,"BRAC University's programs are recognized/accredited by bodies including the Bar Council (for LLB), the Institution of Engineers Bangladesh (IEB), the Pharmacy Council of Bangladesh (PCB), and the Institute of Architects Bangladesh (IAB). It also holds international affiliations and memberships including the Association to Advance Collegiate Schools of Business (AACSB) network, the Association of Commonwealth Universities (ACU), and the Association of Private Universities of Bangladesh (APUB), in addition to its core affiliation with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,train,"Besides UGC and the Bar Council, what other bodies is BRAC University affiliated with or accredited by?"
GOV-AUG-004-3,What other institutions or organizations has BRAC University established partnerships or received recognition from outside of the University Grants Commission (UGC) and the Bangladesh Bar Council?,"BRAC University's programs are recognized/accredited by bodies including the Bar Council (for LLB), the Institution of Engineers Bangladesh (IEB), the Pharmacy Council of Bangladesh (PCB), and the Institute of Architects Bangladesh (IAB). It also holds international affiliations and memberships including the Association to Advance Collegiate Schools of Business (AACSB) network, the Association of Commonwealth Universities (ACU), and the Association of Private Universities of Bangladesh (APUB), in addition to its core affiliation with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,train,"Besides UGC and the Bar Council, what other bodies is BRAC University affiliated with or accredited by?"
GOV-AUG-005-0,I'm looking for information on how the Academic Council fits into our university's governance structure – what are its main areas of responsibility?,"The Academic Council, also chaired by the Vice-Chancellor, makes education policy recommendations and reviews curricula and academic progress across the university.",University Facts & Governance,val,Can someone help — what is the Academic Council responsible for?
GOV-AUG-005-1,What's the role of the Academic Council in university decision-making and policy-making processes?,"The Academic Council, also chaired by the Vice-Chancellor, makes education policy recommendations and reviews curricula and academic progress across the university.",University Facts & Governance,test,Can someone help — what is the Academic Council responsible for?
GOV-AUG-005-2,I was wondering about the role of the Academic Council - could you give me an idea of what they're supposed to be doing here at university?,"The Academic Council, also chaired by the Vice-Chancellor, makes education policy recommendations and reviews curricula and academic progress across the university.",University Facts & Governance,train,Can someone help — what is the Academic Council responsible for?
GOV-AUG-005-3,Is there any information available about what tasks or decisions are handled by the Academic Council within the university?,"The Academic Council, also chaired by the Vice-Chancellor, makes education policy recommendations and reviews curricula and academic progress across the university.",University Facts & Governance,train,Can someone help — what is the Academic Council responsible for?
GOV-AUG-006-0,I'm trying to understand more about the Onnesha initiative at BRAC University - can you tell me a bit about its background and importance to the university's mission?,"BRAC Onnesha was Bangladesh's first nanosatellite, a 10cm CubeSat designed, developed, and assembled by three BRAC University postgraduate students (Abdulla Hil Kafi, Raihana Shams Islam Antara, and Maisun Ibn Monowar) at Japan's Kyushu Institute of Technology (Kyutech). It made BRAC University the first Bangladeshi educational institution to have its own satellite.",University Facts & Governance,val,"Can someone help — what was BRAC Onnesha, and why is it significant for BRAC University?"
GOV-AUG-006-1,"What's the story behind BRAC Onnesha, and how does its history relate to BRAC University's mission?","BRAC Onnesha was Bangladesh's first nanosatellite, a 10cm CubeSat designed, developed, and assembled by three BRAC University postgraduate students (Abdulla Hil Kafi, Raihana Shams Islam Antara, and Maisun Ibn Monowar) at Japan's Kyushu Institute of Technology (Kyutech). It made BRAC University the first Bangladeshi educational institution to have its own satellite.",University Facts & Governance,test,"Can someone help — what was BRAC Onnesha, and why is it significant for BRAC University?"
GOV-AUG-006-2,Is there information about BRAC Onnesha or its importance to BRAC University that I could look at?,"BRAC Onnesha was Bangladesh's first nanosatellite, a 10cm CubeSat designed, developed, and assembled by three BRAC University postgraduate students (Abdulla Hil Kafi, Raihana Shams Islam Antara, and Maisun Ibn Monowar) at Japan's Kyushu Institute of Technology (Kyutech). It made BRAC University the first Bangladeshi educational institution to have its own satellite.",University Facts & Governance,train,"Can someone help — what was BRAC Onnesha, and why is it significant for BRAC University?"
GOV-AUG-006-3,I'm trying to get more information about BRAC Onnesha – can anyone tell me what it's all about and how it relates to the university?,"BRAC Onnesha was Bangladesh's first nanosatellite, a 10cm CubeSat designed, developed, and assembled by three BRAC University postgraduate students (Abdulla Hil Kafi, Raihana Shams Islam Antara, and Maisun Ibn Monowar) at Japan's Kyushu Institute of Technology (Kyutech). It made BRAC University the first Bangladeshi educational institution to have its own satellite.",University Facts & Governance,train,"Can someone help — what was BRAC Onnesha, and why is it significant for BRAC University?"
GOV-AUG-007-0,What are the colors that BRAC University uses as its logo and branding identity?,"BRAC University's official colours are blue, black, and gray.",University Facts & Governance,val,Can you tell me what BRAC University's official colours are?
GOV-AUG-007-1,What are the specific colors that represent BRAC University?,"BRAC University's official colours are blue, black, and gray.",University Facts & Governance,train,Can you tell me what BRAC University's official colours are?
GOV-AUG-007-2,What are the primary colors that represent BRAC University?,"BRAC University's official colours are blue, black, and gray.",University Facts & Governance,train,Can you tell me what BRAC University's official colours are?
GOV-AUG-007-3,What are the primary colour schemes used by BRAC University in its branding and marketing materials?,"BRAC University's official colours are blue, black, and gray.",University Facts & Governance,train,Can you tell me what BRAC University's official colours are?
GOV-AUG-008-0,What is the slogan or catchphrase that BRAC University uses to represent its values and mission?,BRAC University's official motto is 'Inspiring Excellence'.,University Facts & Governance,val,Can you tell me what BRAC University's official motto is?
GOV-AUG-008-1,What is the slogan or catchphrase that's officially used by Brac University?,BRAC University's official motto is 'Inspiring Excellence'.,University Facts & Governance,test,Can you tell me what BRAC University's official motto is?
GOV-AUG-008-2,What is the phrase that BRAC University uses to describe its values and mission?,BRAC University's official motto is 'Inspiring Excellence'.,University Facts & Governance,train,Can you tell me what BRAC University's official motto is?
GOV-AUG-008-3,What's the phrase that's officially used to represent BRAC University in terms of its core values and purpose?,BRAC University's official motto is 'Inspiring Excellence'.,University Facts & Governance,train,Can you tell me what BRAC University's official motto is?
GOV-AUG-009-0,Is there a specific student organization or club at BRAC University that's called The Syndicate that I should know about?,"The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.",University Facts & Governance,val,Can you tell me what the Syndicate at BRAC University is?
GOV-AUG-009-1,"What's the deal with this thing called the Syndicate at BRAC U, I've seen it mentioned but don't really know what it's all about.","The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.",University Facts & Governance,train,Can you tell me what the Syndicate at BRAC University is?
GOV-AUG-009-2,What's the deal with the Syndicate at BRAC University - I've heard it mentioned but I'm not really sure what it does.,"The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.",University Facts & Governance,train,Can you tell me what the Syndicate at BRAC University is?
GOV-AUG-009-3,What's the purpose and role of the Syndicate at BRAC University?,"The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.",University Facts & Governance,train,Can you tell me what the Syndicate at BRAC University is?
GOV-AUG-010-0,What is the name of the person serving as the chancellor for BRAC University right now?,"As with other Bangladeshi universities, the President of Bangladesh serves as Chancellor of BRAC University in an ex-officio capacity; day-to-day academic leadership rests with the Vice-Chancellor.",University Facts & Governance,val,Can you tell me who is the current Chancellor of BRAC University?
GOV-AUG-010-1,What is the name of the current head of administration at BRAC University?,"As with other Bangladeshi universities, the President of Bangladesh serves as Chancellor of BRAC University in an ex-officio capacity; day-to-day academic leadership rests with the Vice-Chancellor.",University Facts & Governance,test,Can you tell me who is the current Chancellor of BRAC University?
GOV-AUG-010-2,What's the name of the person currently holding the position of Chancellor at BRAC University?,"As with other Bangladeshi universities, the President of Bangladesh serves as Chancellor of BRAC University in an ex-officio capacity; day-to-day academic leadership rests with the Vice-Chancellor.",University Facts & Governance,train,Can you tell me who is the current Chancellor of BRAC University?
GOV-AUG-010-3,I'm trying to find out the name of the person currently serving as the head of BRAC University.,"As with other Bangladeshi universities, the President of Bangladesh serves as Chancellor of BRAC University in an ex-officio capacity; day-to-day academic leadership rests with the Vice-Chancellor.",University Facts & Governance,train,Can you tell me who is the current Chancellor of BRAC University?
GOV-AUG-011-0,What is the name of the person currently holding the position of Vice Chancellor at BRAC University?,"As of late 2024, Professor Syed Ferhat Anwar serves as Vice-Chancellor of BRAC University, having previously been Director of the Institute of Business Administration (IBA) at Dhaka University. He succeeded Vincent Chang, who served from 2019 to 2023.",University Facts & Governance,val,Can you tell me who is the current Vice-Chancellor of BRAC University?
GOV-AUG-011-1,"I'm trying to find out who the head of administration is at BRAC University right now, can you give me that person's name?","As of late 2024, Professor Syed Ferhat Anwar serves as Vice-Chancellor of BRAC University, having previously been Director of the Institute of Business Administration (IBA) at Dhaka University. He succeeded Vincent Chang, who served from 2019 to 2023.",University Facts & Governance,test,Can you tell me who is the current Vice-Chancellor of BRAC University?
GOV-AUG-011-2,What's the name of the person currently leading BRAC University as its top administrator?,"As of late 2024, Professor Syed Ferhat Anwar serves as Vice-Chancellor of BRAC University, having previously been Director of the Institute of Business Administration (IBA) at Dhaka University. He succeeded Vincent Chang, who served from 2019 to 2023.",University Facts & Governance,train,Can you tell me who is the current Vice-Chancellor of BRAC University?
GOV-AUG-011-3,What is the name of the person currently serving as the head of administration at BRAC University?,"As of late 2024, Professor Syed Ferhat Anwar serves as Vice-Chancellor of BRAC University, having previously been Director of the Institute of Business Administration (IBA) at Dhaka University. He succeeded Vincent Chang, who served from 2019 to 2023.",University Facts & Governance,train,Can you tell me who is the current Vice-Chancellor of BRAC University?
GOV-AUG-012-0,I'm trying to find out more about the launch details of BRAC Onnesha - specifically what dates it went up and how exactly that happened.,"BRAC Onnesha was launched on July 7, 2017, aboard a SpaceX Falcon 9 rocket as part of the CRS-11 resupply mission to the International Space Station, built in collaboration with Kyutech's Birds-1 program involving five countries.",University Facts & Governance,val,Curious about something: when and how was BRAC Onnesha launched into space?
GOV-AUG-012-1,"Can you tell me more about the launch details of the BRAC Onnesha mission, including the date it went up and what exactly that entailed?","BRAC Onnesha was launched on July 7, 2017, aboard a SpaceX Falcon 9 rocket as part of the CRS-11 resupply mission to the International Space Station, built in collaboration with Kyutech's Birds-1 program involving five countries.",University Facts & Governance,test,Curious about something: when and how was BRAC Onnesha launched into space?
GOV-AUG-012-2,What's the timeline for the launch of BRAC Onnesha and can you provide some info on its actual blast-off date?,"BRAC Onnesha was launched on July 7, 2017, aboard a SpaceX Falcon 9 rocket as part of the CRS-11 resupply mission to the International Space Station, built in collaboration with Kyutech's Birds-1 program involving five countries.",University Facts & Governance,train,Curious about something: when and how was BRAC Onnesha launched into space?
GOV-AUG-012-3,I couldn't find any info on when or how exactly the Onnesha satellite from BRAC was put into orbit - can someone tell me more about its launch?,"BRAC Onnesha was launched on July 7, 2017, aboard a SpaceX Falcon 9 rocket as part of the CRS-11 resupply mission to the International Space Station, built in collaboration with Kyutech's Birds-1 program involving five countries.",University Facts & Governance,train,Curious about something: when and how was BRAC Onnesha launched into space?
GOV-AUG-013-0,Are there any special perks or advantages available to us as BRAC University graduates on an ongoing basis?,"Yes, alumni benefits include a discount on pathological (lab) tests, in addition to continued access to career support and networking opportunities through OCSAR and the regional alumni networks.",University Facts & Governance,val,Do BRAC University alumni get any ongoing discounts or benefits after graduating?
GOV-AUG-013-1,What kind of support or perks can I expect from BRAC University as an alumnus once I've finished my degree?,"Yes, alumni benefits include a discount on pathological (lab) tests, in addition to continued access to career support and networking opportunities through OCSAR and the regional alumni networks.",University Facts & Governance,test,Do BRAC University alumni get any ongoing discounts or benefits after graduating?
GOV-AUG-013-2,Are there any perks or special deals for Brac University graduates even after they've finished their studies?,"Yes, alumni benefits include a discount on pathological (lab) tests, in addition to continued access to career support and networking opportunities through OCSAR and the regional alumni networks.",University Facts & Governance,train,Do BRAC University alumni get any ongoing discounts or benefits after graduating?
GOV-AUG-013-3,What kind of support or perks does BRAC University offer to its former students once they've finished their studies?,"Yes, alumni benefits include a discount on pathological (lab) tests, in addition to continued access to career support and networking opportunities through OCSAR and the regional alumni networks.",University Facts & Governance,train,Do BRAC University alumni get any ongoing discounts or benefits after graduating?
GOV-AUG-014-0,I checked out the university's website but I still can't seem to track down any information on a significant project that current or past graduates from the EEE department at BRAC University have worked on.,"EEE alumni designed and developed BRAC Onnesha, described as the first nanosatellite from Bangladesh, which the department highlights as a signature achievement of its graduates.",University Facts & Governance,val,I looked around the site but couldn't find it — what notable project have BRAC University EEE alumni been involved in?
GOV-AUG-014-1,I'm trying to figure out what's considered one of the most impressive projects that a former student from the EEE department at BRAC University has worked on.,"EEE alumni designed and developed BRAC Onnesha, described as the first nanosatellite from Bangladesh, which the department highlights as a signature achievement of its graduates.",University Facts & Governance,test,I looked around the site but couldn't find it — what notable project have BRAC University EEE alumni been involved in?
GOV-AUG-014-2,Can you tell me about any impressive projects that graduates from the EEE department at BRAC University have worked on since graduating?,"EEE alumni designed and developed BRAC Onnesha, described as the first nanosatellite from Bangladesh, which the department highlights as a signature achievement of its graduates.",University Facts & Governance,train,I looked around the site but couldn't find it — what notable project have BRAC University EEE alumni been involved in?
GOV-AUG-014-3,"I'm trying to figure out if there's some kind of notable project that any of the people who graduated from BRAC University with an EEE degree have worked on, and I was wondering if anyone could help me out.","EEE alumni designed and developed BRAC Onnesha, described as the first nanosatellite from Bangladesh, which the department highlights as a signature achievement of its graduates.",University Facts & Governance,train,I looked around the site but couldn't find it — what notable project have BRAC University EEE alumni been involved in?
GOV-AUG-015-0,I've searched the website but can't seem to track down that info – does anyone know what orbital range BRAC Onnesha worked within and what kind of tasks it could accomplish?,"BRAC Onnesha orbited about 400 km above Earth, completing one orbit roughly every 90 minutes and passing over Bangladesh 4-6 times a day; it was designed to capture imagery useful for studying vegetation, urbanization, flooding, water resources, and forestry.",University Facts & Governance,val,"I looked around the site but couldn't find it — what orbit did BRAC Onnesha operate in, and what was it capable of?"
GOV-AUG-015-1,I'm having trouble tracking down some info on BRAC Onnesha - can you tell me its orbital path and what kind of missions it handled?,"BRAC Onnesha orbited about 400 km above Earth, completing one orbit roughly every 90 minutes and passing over Bangladesh 4-6 times a day; it was designed to capture imagery useful for studying vegetation, urbanization, flooding, water resources, and forestry.",University Facts & Governance,test,"I looked around the site but couldn't find it — what orbit did BRAC Onnesha operate in, and what was it capable of?"
GOV-AUG-015-2,"I'm trying to research BRAC Onnesha, but I've had trouble finding info on its specific orbital path and capabilities.","BRAC Onnesha orbited about 400 km above Earth, completing one orbit roughly every 90 minutes and passing over Bangladesh 4-6 times a day; it was designed to capture imagery useful for studying vegetation, urbanization, flooding, water resources, and forestry.",University Facts & Governance,train,"I looked around the site but couldn't find it — what orbit did BRAC Onnesha operate in, and what was it capable of?"
GOV-AUG-015-3,"I'm trying to figure out where on your website I could have found this info, but it seems to be nowhere – can you tell me about BRAC Onnesha's orbital position and capabilities?","BRAC Onnesha orbited about 400 km above Earth, completing one orbit roughly every 90 minutes and passing over Bangladesh 4-6 times a day; it was designed to capture imagery useful for studying vegetation, urbanization, flooding, water resources, and forestry.",University Facts & Governance,train,"I looked around the site but couldn't find it — what orbit did BRAC Onnesha operate in, and what was it capable of?"
GOV-AUG-016-0,Can you give me an idea of how big the student body and faculty size are at BRAC University?,"As of recent figures, BRAC University has over 20,000 students in total (around 17,000+ undergraduates and 3,000+ postgraduates) and roughly 649 academic staff.",University Facts & Governance,val,"Just wondering, roughly how many students and academic staff does BRAC University have?"
GOV-AUG-016-1,What's the approximate headcount of students and faculty members at BRAC University?,"As of recent figures, BRAC University has over 20,000 students in total (around 17,000+ undergraduates and 3,000+ postgraduates) and roughly 649 academic staff.",University Facts & Governance,test,"Just wondering, roughly how many students and academic staff does BRAC University have?"
GOV-AUG-016-2,Can you give me an idea of how big the student body is at BRAC University and also roughly how many teachers or lecturers they have on staff?,"As of recent figures, BRAC University has over 20,000 students in total (around 17,000+ undergraduates and 3,000+ postgraduates) and roughly 649 academic staff.",University Facts & Governance,train,"Just wondering, roughly how many students and academic staff does BRAC University have?"
GOV-AUG-016-3,I'm trying to get an idea of the scale - what's the approximate student-to-staff ratio at Brac university?,"As of recent figures, BRAC University has over 20,000 students in total (around 17,000+ undergraduates and 3,000+ postgraduates) and roughly 649 academic staff.",University Facts & Governance,train,"Just wondering, roughly how many students and academic staff does BRAC University have?"
GOV-AUG-017-0,Can you tell me the name of the person who held the position of Vice-Chancellor at BRAC University when it first started?,"Dr. Jamilur Reza Choudhury served as BRAC University's first Vice-Chancellor, from the university's founding in 2001 until 2010.",University Facts & Governance,val,"Just wondering, who was BRAC University's first Vice-Chancellor?"
GOV-AUG-017-1,Can you tell me who held the position of Vice-Chancellor at BRAC University right from its inception?,"Dr. Jamilur Reza Choudhury served as BRAC University's first Vice-Chancellor, from the university's founding in 2001 until 2010.",University Facts & Governance,test,"Just wondering, who was BRAC University's first Vice-Chancellor?"
GOV-AUG-017-2,"I'm trying to find out who served as the first Vice-Chancellor of BRAC University, could you please tell me their name?","Dr. Jamilur Reza Choudhury served as BRAC University's first Vice-Chancellor, from the university's founding in 2001 until 2010.",University Facts & Governance,train,"Just wondering, who was BRAC University's first Vice-Chancellor?"
GOV-AUG-017-3,I'm trying to find out who held the position of Vice-Chancellor at BRAC University when it first started operating.,"Dr. Jamilur Reza Choudhury served as BRAC University's first Vice-Chancellor, from the university's founding in 2001 until 2010.",University Facts & Governance,train,"Just wondering, who was BRAC University's first Vice-Chancellor?"
GOV-AUG-018-0,"I'm new to BRAC University, can you tell me what year it started up and who actually set it all in motion?","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,val,"New student here, when was BRAC University established and who founded it?"
GOV-AUG-018-1,"I'm a new student here, can you tell me what year Brac University was set up and by whom?","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,train,"New student here, when was BRAC University established and who founded it?"
GOV-AUG-018-2,I'm new to BRAC University - can you tell me what year the university started and who is behind its founding?,"BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,train,"New student here, when was BRAC University established and who founded it?"
GOV-AUG-018-3,"I'm new to BU, can you tell me what year BRAC University started up and who actually started it?","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",University Facts & Governance,train,"New student here, when was BRAC University established and who founded it?"
GOV-AUG-019-0,I'm trying to get an estimate of the total number of people who've graduated from BRAC University across all locations and countries.,"BRAC University has a community of over 26,000 alumni around the world, spanning graduates from all its undergraduate and postgraduate programs since the university's founding in 2001.",University Facts & Governance,val,Roughly how many BRAC University alumni are there worldwide?
GOV-AUG-019-1,Can you give me an estimate of how many people around the globe have graduated from BRAC University?,"BRAC University has a community of over 26,000 alumni around the world, spanning graduates from all its undergraduate and postgraduate programs since the university's founding in 2001.",University Facts & Governance,test,Roughly how many BRAC University alumni are there worldwide?
GOV-AUG-019-2,Can you give me an estimate of the total number of people who've graduated from BRAC University and live all over the world?,"BRAC University has a community of over 26,000 alumni around the world, spanning graduates from all its undergraduate and postgraduate programs since the university's founding in 2001.",University Facts & Governance,train,Roughly how many BRAC University alumni are there worldwide?
GOV-AUG-019-3,Can you give me an approximate figure for the total number of BRAC University graduates globally?,"BRAC University has a community of over 26,000 alumni around the world, spanning graduates from all its undergraduate and postgraduate programs since the university's founding in 2001.",University Facts & Governance,train,Roughly how many BRAC University alumni are there worldwide?
GOV-AUG-020-0,What is the timeline for when the management system at Brac University got its current setup?,"BRAC University's current governance structure (Board of Trustees, Syndicate, and Academic Council as currently organized) was established in 2011, a decade after the university's 2001 founding.",University Facts & Governance,test,When was BRAC University's current administrative/governance structure established?
GOV-AUG-020-1,Can you tell me when the existing organizational setup at Brac University got set up?,"BRAC University's current governance structure (Board of Trustees, Syndicate, and Academic Council as currently organized) was established in 2011, a decade after the university's 2001 founding.",University Facts & Governance,train,When was BRAC University's current administrative/governance structure established?
GOV-AUG-020-2,What's the timeline for when the governance system at BRAC University got revamped to its current setup?,"BRAC University's current governance structure (Board of Trustees, Syndicate, and Academic Council as currently organized) was established in 2011, a decade after the university's 2001 founding.",University Facts & Governance,train,When was BRAC University's current administrative/governance structure established?
GOV-AUG-020-3,Can you tell me when they set up their present system of running the university?,"BRAC University's current governance structure (Board of Trustees, Syndicate, and Academic Council as currently organized) was established in 2011, a decade after the university's 2001 founding.",University Facts & Governance,train,When was BRAC University's current administrative/governance structure established?
GOV-AUG-021-0,What department at BRAC University is in charge of connecting with and organizing events for past students?,"The Office of Career Services and Alumni Relations (OCSAR) is responsible for facilitating BRAC University's alumni community, including career consultations and staying updated on job market requirements.",University Facts & Governance,test,Which office manages BRAC University's alumni community?
GOV-AUG-021-1,Who's in charge of looking after the old students from BRAC University?,"The Office of Career Services and Alumni Relations (OCSAR) is responsible for facilitating BRAC University's alumni community, including career consultations and staying updated on job market requirements.",University Facts & Governance,train,Which office manages BRAC University's alumni community?
GOV-AUG-021-2,What department at BRAC University is in charge of looking after and staying in touch with its former students?,"The Office of Career Services and Alumni Relations (OCSAR) is responsible for facilitating BRAC University's alumni community, including career consultations and staying updated on job market requirements.",University Facts & Governance,train,Which office manages BRAC University's alumni community?
GOV-AUG-021-3,Is there a specific department on campus that looks after the alumni association for BRAC University students?,"The Office of Career Services and Alumni Relations (OCSAR) is responsible for facilitating BRAC University's alumni community, including career consultations and staying updated on job market requirements.",University Facts & Governance,train,Which office manages BRAC University's alumni community?
