query_id,base_query_id,variant,is_entity_heavy,query,reference_answer
Q092-p2,Q092,paraphrase2,False,"Is there a fee for applying, and how much does it cost?","Admission Application Fee Tk. 1,500/- Non-Refundable [Through Bkash, Rocket, Nagod, Visa cards, Dhaka Bank Ltd., One Bank Ltd., Southeast Bank Ltd., Brac Bank Ltd. And Prime Bank Ltd]"
Q050-orig,Q050,original,False,Do lab-based or design-based programs pay an additional fee beyond regular tuition?,"Yes, programs with laboratory or studio components (such as CSE, Architecture, and Pharmacy) typically carry an additional lab/studio fee per semester on top of standard tuition and semester fees."
Q050-p1,Q050,paraphrase1,False,Are there extra charges for lab or design-based programs on top of tuition?,"Yes, programs with laboratory or studio components (such as CSE, Architecture, and Pharmacy) typically carry an additional lab/studio fee per semester on top of standard tuition and semester fees."
Q050-p2,Q050,paraphrase2,False,"Besides regular tuition, do lab/design programs cost more?","Yes, programs with laboratory or studio components (such as CSE, Architecture, and Pharmacy) typically carry an additional lab/studio fee per semester on top of standard tuition and semester fees."
Q016-orig,Q016,original,False,How to contact with BRACU Finance and Accounts Department?,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd"
Q016-p1,Q016,paraphrase1,False,What's the best way to get in touch with the Finance and Accounts Department at BRACU?,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd"
Q016-p2,Q016,paraphrase2,False,How can I reach BRACU's Finance and Accounts office?,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd"
Q094-orig,Q094,original,False,Does ENH offer a minor for students outside the department?,"Yes, ENH offers a Minor in History, open to students from any department, letting them take history courses to help contextualize their main field of study."
Q094-p1,Q094,paraphrase1,False,Can non-department students take a minor under ENH?,"Yes, ENH offers a Minor in History, open to students from any department, letting them take history courses to help contextualize their main field of study."
Q094-p2,Q094,paraphrase2,False,Is a minor with ENH available to students from other departments?,"Yes, ENH offers a Minor in History, open to students from any department, letting them take history courses to help contextualize their main field of study."
Q072-orig,Q072,original,False,How is the Joint PhD program with SOAS structured over time?,"Students typically spend their first months building a literature review and research plan, aiming to upgrade from MPhil to PhD status within 9 months of starting. Year 2 is generally dedicated to field research, and Year 3 to analysis and writing up, with the final award being a Joint PhD from SOAS University of London and BRAC University."
Q072-p1,Q072,paraphrase1,False,What does the timeline look like for the Joint PhD program with SOAS?,"Students typically spend their first months building a literature review and research plan, aiming to upgrade from MPhil to PhD status within 9 months of starting. Year 2 is generally dedicated to field research, and Year 3 to analysis and writing up, with the final award being a Joint PhD from SOAS University of London and BRAC University."
Q072-p2,Q072,paraphrase2,False,Can you explain how the SOAS Joint PhD program is organized across its duration?,"Students typically spend their first months building a literature review and research plan, aiming to upgrade from MPhil to PhD status within 9 months of starting. Year 2 is generally dedicated to field research, and Year 3 to analysis and writing up, with the final award being a Joint PhD from SOAS University of London and BRAC University."
Q087-orig,Q087,original,False,Before I forget to ask — what are the consequences of violating TARC rules and regulations?,"Violating rules and regulations can get one ousted from tarc.Eventually on severe violation the authority will call their parents and send them home.On minor violation,students are given warning.Also after 3 warnings if they cannot bring changes in themselves their tarc will also be cancelled"
Q087-p1,Q087,paraphrase1,False,What happens if someone breaks the TARC rules and regulations?,"Violating rules and regulations can get one ousted from tarc.Eventually on severe violation the authority will call their parents and send them home.On minor violation,students are given warning.Also after 3 warnings if they cannot bring changes in themselves their tarc will also be cancelled"
Q087-p2,Q087,paraphrase2,False,What penalties are there for violating TARC's rules?,"Violating rules and regulations can get one ousted from tarc.Eventually on severe violation the authority will call their parents and send them home.On minor violation,students are given warning.Also after 3 warnings if they cannot bring changes in themselves their tarc will also be cancelled"
Q023-orig,Q023,original,False,I'm an EEE student minoring in Physics. Do I need to separately meet the Physics minor's prerequisites even though I'm not a Physics major?,"Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently."
Q023-p1,Q023,paraphrase1,False,"As an EEE student doing a Physics minor, do I still have to satisfy the Physics minor's own prerequisite requirements?","Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently."
Q023-p2,Q023,paraphrase2,False,"If I'm majoring in EEE and minoring in Physics, are the Physics minor's prerequisites still required for me?","Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently."
