query_id,query,hypothetical_answer
Q011,"Does BRAC University have a digital student ID card, or only a physical one?","BRAC University issues both physical and digital student ID cards to its students, with the digital version being accessible through the university's online portal. The digital ID card can be used for various purposes such as accessing library facilities, attending events, and verifying identity on campus."
Q012,What is the contact number for Route-05 (Jatrabari)?,"I'm happy to help with your question, but I need to clarify that BRAC University academic advising and contact numbers are not directly related to public transportation routes. However, if you're looking for information on how to get to the university from Jatrabari, I can suggest checking the official website of BRAC University or contacting their administration office for assistance.

But since you specifically asked about Route-05 (Jatrabari), I found that it's a bus route operated by Dhaka Transport Coordination Agency. The contact number for this specific route is +880 2 9122200, but please note that this information may be subject to change and might not be directly related to BRAC University academic advising."
Q013,"Random question, what should I do if I miss my mid/final?","If you miss a midterm or final exam at BRAC University, you should immediately contact your instructor to discuss the circumstances surrounding your absence and to determine whether there is any possibility of making up the missed assessment. Your instructor may also require you to provide documentation, such as a doctor's note or a university-approved excuse form, to support your request for a makeup opportunity."
Q014,How to do advising as my advising is blocked but my payment is clear?,"According to our university's policies, if your advising session is blocked due to administrative reasons, you can try contacting the Advising Office directly via phone or email to resolve the issue and schedule a new appointment. In the meantime, you may also want to check with the Student Affairs department to see if there are any alternative arrangements that can be made for payment clearance."
Q015,What elective courses are recommended for students interested in Cybersecurity?,"Students interested in Cybersecurity at BRAC University may consider taking electives such as ""Network Security"", ""Cryptography and Data Protection"", and ""Cyber Law and Ethics"" to gain a comprehensive understanding of the field. These courses can provide a solid foundation for students looking to pursue careers in cybersecurity or related fields."
Q016,How to contact with BRACU Finance and Accounts Department?,"To contact the BRAC University Finance and Accounts Department, students can reach out via email at [finance@bracu.ac.bd](mailto:finance@bracu.ac.bd) or visit the department's office located on campus."
Q017,"Hey, for further information regarding Admission who should I contact?","For further information regarding admission at BRAC University, you can contact the Admissions Office directly by phone or email to speak with an admissions counselor who will be able to provide you with detailed information and answer any specific questions you may have."
Q018,"I wanted to ask, what are BRAC University's official colours?",BRAC University's official colors are blue and white. These colors are prominently featured in the university's branding and logo.
Q019,How are students informed about changes to the transport service?,"Students at BRAC University are typically informed about changes to the transport service through email notifications sent by the university's transportation department, as well as announcements posted on the university's website and social media channels. Additionally, students may also receive updates from their student union or resident advisors who have been notified of any changes to the transport schedule."
Q020,What is checked at the Security Supervisor Office?,"At the Security Supervisor Office of BRAC University, students' ID cards and other university documents are verified to ensure authenticity before being issued or updated. Additionally, any security-related incidents or concerns reported by students or staff members are also investigated and addressed by the office."
Q021,What support does the Center of Entrepreneurship Development (CED) provide?,"The Center for Entrepreneurship Development (CED) at BRAC University provides support to students through various programs and resources, including mentorship, business plan competitions, and access to funding opportunities. Additionally, CED offers workshops and training sessions on entrepreneurship skills, such as market research, financial planning, and leadership development."
Q022,Before I forget to ask — whats the procedure for changing my section?,"To change your section in a course at BRAC University, students typically need to submit a request through the university's online portal, where they can select their preferred section and wait for approval from the relevant department. Once approved, the student will receive an email notification with instructions on how to proceed with the section change."
Q023,I'm an EEE student minoring in Physics. Do I need to separately meet the Physics minor's prerequisites even though I'm not a Physics major?,"As an Electrical and Electronics Engineering (EEE) student with a declared minor in Physics, you will typically be required to complete the prerequisite courses for the Physics minor as part of your overall coursework, regardless of your major. This is because many universities require students pursuing a minor to meet all the specific requirements associated with that minor, even if they are not majoring in the same field."
Q024,"Does every undergraduate program require a thesis, or can students choose a project/internship instead?","At BRAC University, the majority of undergraduate programs do offer an optional thesis component, but some programs, such as those in the School of Business and Economics, may require a research-based project or internship as an alternative to a traditional thesis. Students should consult with their academic advisor to determine which option is available for their specific program."
Q025,Can you tell me what the difference in focus between the BSEEE and BSECE programs is?,"The Bachelor of Science in Electrical and Electronic Engineering (BSEEE) program at BRAC University focuses on the design, development, and application of electrical systems, including electronics, control systems, and computer engineering. In contrast, the Bachelor of Science in Electronics and Communication Engineering (BSECE) program emphasizes the principles and practices of electronic communication systems, including telecommunications, signal processing, and networking."
Q026,What is BRAC University's general contact information?,"BRAC University's main campus is located in Dhaka, Bangladesh, and its general contact information can be found on the university's official website, which includes a contact page with phone numbers, email addresses, and physical address for various departments. The university's main office can also be reached at +880 2 9831060-64."
Q027,What amenities and facilities are provided for students at TARC?,"I'm happy to help with your question about BRAC University's academic advising, but I think there may be some confusion - the question seems to be asking about TARC (Tribhuvan University Institute of Science and Technology) instead. However, assuming you meant to ask about BRAC University, I can provide an answer for that institution. 

BRAC University provides various amenities and facilities for its students, including a state-of-the-art library, modern classrooms, a cafeteria serving international cuisine, a gymnasium, and a sports complex with indoor and outdoor facilities.

However, if you are indeed asking about TARC, I would need more information to provide an accurate answer."
Q028,How many stoppages are there for each route?,"BRAC University's transportation services provide multiple routes connecting the university campus to various locations in Dhaka, with a total of 12 designated stops along these routes. The exact number and frequency of stops may vary depending on the specific route and time of day."
Q029,"This might be a silly question, but what services do library provide?","The library at BRAC University provides a range of services to support students' research and academic success, including access to a vast collection of print and digital resources, quiet study spaces, and assistance from librarians who can help with research skills and database searching. Additionally, the library also offers interlibrary loan services, allowing students to borrow materials not available in their own collections."
Q030,What is the second outbound timing for Route-04 (Azimpur)?,I'm happy to help with your question about BRAC University's transportation schedule! The second outbound timing for Route-04 (Azimpur) at BRAC University is 5:30 PM.
Q031,"New student here, could you please provide details about the tuition fee structure at BRAC University?","BRAC University's tuition fee structure consists of a combination of semester-based fees and other charges, with undergraduate students typically paying around 1.5 to 2 million Bangladeshi Taka per semester, depending on their program and residency status. The university also offers various scholarships and financial aid options to help eligible students cover these costs."
Q032,From where does the bus leave on campus?,The bus for off-campus transportation typically departs from the main entrance of the university's Academic Complex building. Students can check with the Transportation Office for the most up-to-date information and schedules.
Q033,Where are the designated bus stops for Route-03 (Jigatola)?,"The designated bus stops for Route-03 at BRAC University in Jigatola are located near the main entrance of the university and also outside the campus's east gate, where students can board buses heading towards various destinations."
Q034,Can you tell me what 'Freshman Enrollment and Class Sign' at BRAC University is?,"At BRAC University, Freshman Enrollment and Class Sign refers to the process of registering new first-year students into their respective classes after they have been admitted to the university. This typically involves verifying student information, assigning class schedules, and ensuring that students are properly enrolled in their required courses for the semester."
Q035,What facilities are available on the 5th Floor?,"The 5th floor of BRAC University's campus houses the university's library and computer lab, providing students with access to a wide range of academic resources and technology. Additionally, there is also a student lounge area on this floor where students can relax and socialize during their breaks."
Q036,Can students reserve seats in advance?,"Yes, students at BRAC University can reserve seats in advance for advising sessions through the university's online portal or by contacting the academic advising office directly. This allows them to ensure a spot with their assigned advisor and plan their schedule accordingly."
Q037,How can I stay updated on upcoming games and events?,"To stay updated on upcoming games and events at BRAC University, students can check the university's official website or mobile app for announcements and schedules, which are typically posted in advance to keep everyone informed. Additionally, many student organizations and clubs also post updates on their social media accounts, so it may be worth following them as well."
Q038,Can students receive visitors while at the Savar campus?,"Yes, students can receive visitors on the BRAC University Savar campus, as there are designated areas for guests and a visitor policy in place to ensure a safe and secure environment. The university's administration recommends that students inform their advisors or security personnel prior to receiving any visitors."
Q039,Why is it advised not to select unnecessary courses in the Wishlist?,"At BRAC University, students are advised not to select unnecessary courses in their Wishlist because doing so can lead to an overload of credits and potentially impact their ability to graduate within the expected timeframe. This is due to the university's credit requirements for graduation, which necessitate a careful selection of relevant courses to ensure timely completion of degree programs."
Q040,Can you tell me what the deadline to change the thesis title before the final defense is?,"According to our university's guidelines, students typically have a one-month window prior to their final defense to make any necessary changes to their thesis title. This allows them sufficient time to finalize their research and ensure that all relevant stakeholders are aware of the updated title."
Q041,Where do MPH faculty members at BRAC JPGSPH come from?,"MPH faculty members at the James P. Grant School of Public Health (JPGSPH) at BRAC University are drawn from a diverse pool of experts in public health, including local and international academics with advanced degrees and extensive experience in their fields, as well as professionals who have transitioned into academia after successful careers in government, non-profit organizations, or private industry. Many faculty members also hold appointments at other institutions, both within Bangladesh and abroad, reflecting the university's commitment to collaboration and knowledge exchange."
Q042,What is the BRAC University Students' Transport Service?,"The BRAC University Students' Transport Service is a convenient and safe transportation system provided by the university to its students, offering bus services that connect various locations in Dhaka city with the university campus. This service aims to facilitate easy access to the university for students from different parts of the city."
Q043,What are the pickup times for Route-01 (Abdullahpur)?,"According to our records, Route-01 of the university's shuttle service, which serves Abdullahpur, typically operates with pickups at 8:00 AM and 12:30 PM from the BRAC University campus."
Q044,"New student here, do international students need to submit any medical reports?","According to the university's policies and procedures, all new students, including international students, must submit a medical report as part of their admission requirements. This report is used to ensure that students are in good health and able to participate fully in academic activities on campus."
Q045,"My advisor is not responding, what to do?","If your advisor is not responding, you can try contacting the Academic Advising Office directly by phone or email to report the issue and seek assistance with finding an alternative advisor or resolving any academic concerns. Additionally, you may also want to check the university's website or student portal for contact information of other advisors in your department who may be able to provide guidance."
Q046,What sports teams does the university have?,"BRAC University has a strong athletic program and fields teams in various sports, including cricket, football, basketball, and badminton, which compete in the Bangladesh University Grants Commission (UGC) Inter-University Sports Tournament. The university's sports teams are known for their competitive spirit and have won several championships over the years."
Q047,I looked around the site but couldn't find it — what opportunities are there for student leadership in volunteer organizations?,"BRAC University offers various opportunities for students to engage in leadership roles within its volunteer organizations, including the BRAC University Volunteer Program and the Student Leadership Development Program, which provide training and mentorship to help students develop their leadership skills while contributing to community service projects. These programs are designed to foster a sense of social responsibility among students and equip them with the skills necessary to make a positive impact in their communities."
Q048,"Kind of urgent, but can students appeal their grades if they believe there has been a mistake?","Yes, students at BRAC University have the right to appeal their grades if they believe an error has occurred in the grading process. The university's academic policies typically outline the procedures for grade appeals, which may involve submitting a written request to the relevant department or faculty member."
Q049,"Hey, what subjects are tested for BSS in Anthropology, BA in English, and LLB admission?","For the Bachelor of Social Sciences (BSS) program at BRAC University, the entrance exam typically tests students' knowledge in subjects such as Mathematics, English, and General Knowledge. For the BA in English and LLB programs, the admission process may also include a written test or interview to assess applicants' proficiency in English language skills and their aptitude for the respective fields of study."
Q050,Do lab-based or design-based programs pay an additional fee beyond regular tuition?,"At BRAC University, students enrolled in lab-based and design-based programs, such as the School of Engineering and Applied Sciences' programs, are required to pay a special laboratory or studio fee in addition to their regular tuition. This fee covers the costs associated with providing specialized equipment, materials, and facilities for these hands-on learning experiences."
Q051,Curious about something: what items are prohibited in the exam hall?,"According to the university's examination policies, students are not allowed to bring any electronic devices, including mobile phones and laptops, into the exam hall. Additionally, food and drink items, as well as any written or printed materials that may be used for cheating, are also strictly prohibited in the exam hall."
Q052,"How many semesters does BRAC University run per year, and when do they start?","BRAC University typically operates on a trimester system, with three semesters running from January to March, April to June, and July to September. The exact dates may vary slightly from year to year, but the university generally follows this schedule for its academic programs."
Q053,Does BRAC University have any separate exam for awarding Scholarship/Financial Aid?,"BRAC University has a merit-based scholarship program that awards financial aid to students based on their academic performance and other criteria, but it does not require a separate exam for eligibility. The university's scholarship committee reviews applicants' academic records and other factors to determine the recipients of these awards."
Q054,What does the Counseling and Wellness Centre at BRAC University offer?,"The Counseling and Wellness Centre at BRAC University offers a range of services to support students' academic and personal well-being, including individual counseling sessions, group therapy, and workshops on stress management, time management, and study skills. Additionally, the centre provides referrals for off-campus mental health resources as needed."
Q055,Can you tell me what the CGPA requirement for eligibility to start a thesis is?,"According to the BRAC University academic policies, students must have a minimum Cumulative Grade Point Average (CGPA) of 3.00 to be eligible to start a thesis in their respective programs. This policy ensures that students have demonstrated a strong academic foundation before embarking on advanced research work."
Q056,"New student here, when was BRAC University established and who founded it?","BRAC University was established in 2008 by the BRAC Education Trust, a non-profit organization that aims to provide quality education to students from diverse backgrounds. The university is named after BRAC, one of the largest NGOs in the world, which was founded by Sir Fazle Abed in 1972 with the goal of alleviating poverty and empowering communities through sustainable development programs."
Q057,Who must participate in the Wishlist event?,"All first-year students at BRAC University are required to participate in the Wishlist event as part of their orientation program, which helps them get familiar with the university's academic and extracurricular opportunities. The event is designed to be a mandatory part of the new student experience, allowing them to connect with peers and advisors before the start of classes."
Q058,"New student here, I already did ENG102 in Badda campus which course I will be given in TARC?","At BRAC University, students who have completed a similar course at another campus are eligible for advanced standing and may receive exemptions from certain courses. In your case, if you've already taken ENG 102 at the Badda campus, you'll likely be exempted from taking it again in TARC, but I recommend checking with the academic advising office to confirm the specific course exemption policy."
Q059,Curious about something: what are the basic requirements and application process to start a new club at BRAC University?,"To start a new club at BRAC University, students typically need to submit an application form to the Student Affairs Office, which includes providing information about the club's purpose, goals, and expected activities. Once the application is approved, the student leaders must also obtain signatures from a minimum of 10 interested members and meet with the Student Affairs Office to discuss further details and finalize the club's registration."
Q060,Before I forget to ask — has BRAC University ever won the World Universities Debating Championship (WUDC)?,"BRAC University's debating team has indeed achieved significant success in international competitions, including winning several regional and national championships. In fact, BRAC University's debating team has been a consistent performer at the World Universities Debating Championship (WUDC) over the years, with multiple teams qualifying for the tournament and achieving top rankings."
Q061,How do I access the Multipurpose Hall?,"To access the Multipurpose Hall at BRAC University, students can check with the university's facilities management department for a map or directions to the hall, which is likely located in one of the main campus buildings. The hall may also be listed on the university's website or in student orientation materials as a venue for various events and activities."
Q062,Can you tell me what the formula BRAC University uses to calculate GPA is?,"BRAC University calculates a student's cumulative Grade Point Average (GPA) based on a 4-point scale, where A grades are awarded 4 points, B grades receive 3 points, C grades earn 2 points, and D grades are given 1 point. The university then uses a weighted average formula to calculate the overall GPA, taking into account the credit hours earned for each course."
Q063,I looked around the site but couldn't find it — whats the procedure to pay my fees in installment?,"According to our university's policies, students can pay their fees in installments through the online payment portal on the BRAC University website, where they can select the installment plan option and make payments accordingly. Additionally, students can also visit the university's Cash Office or contact the Accounts Department for assistance with making installment payments."
Q064,"Hi, what exactly does the Office of the Proctor handle at BRAC University?","The Office of the Proctor at BRAC University is responsible for overseeing and managing student conduct and discipline, ensuring that students adhere to the university's code of conduct and academic integrity policies. They also provide support in maintaining a safe and respectful campus environment."
Q065,Can non-students use the BRAC University transport service?,"Non-students can use the BRAC University transport service on a case-by-case basis, but typically require prior approval from the university's administration and may be subject to certain restrictions. The university's transportation policy allows for occasional use by authorized personnel or guests of students, faculty, and staff."
Q066,Can you tell me what the prerequisites for the Cse program are?,"To be eligible for admission into the Computer Science and Engineering (CSE) program at BRAC University, students typically need to have a strong foundation in mathematics and science, with a minimum GPA of 3.5 or higher in their previous academic record, particularly in subjects such as calculus, physics, and computer programming. Additionally, they must also meet the university's general admission requirements, which may include taking a standardized entrance exam like SAT or A-levels."
Q067,I looked around the site but couldn't find it — how to submit report after a club event?,"According to our university's policies and procedures, students can typically submit reports for club events through the Student Organizations portal on the BRAC University website, where they can log in with their credentials and upload their reports. Additionally, some clubs may also have designated advisors or faculty members who can provide guidance on submitting event reports."
Q068,Can you tell me what the Syndicate at BRAC University is?,"The Syndicate at BRAC University is a student-led governing body that oversees various aspects of university life, including academic and extracurricular activities. It serves as a platform for students to engage in decision-making processes and contribute to the development of university policies and programs."
Q069,Can you tell me what the eligibility criteria for receiving financial aid are?,"At BRAC University, students who wish to receive financial aid must demonstrate a strong academic record and meet specific income requirements, which typically include having an annual family income below a certain threshold. Additionally, they must also be enrolled in a full-time undergraduate or graduate program at the university."
Q070,For a friend who's asking — do I need to pay any fee to collect my degree certificate at Convocation?,"According to the BRAC University academic policies, students are required to clear all outstanding dues and fees before they can receive their degree certificates during the Convocation ceremony. Typically, this includes payment of a small processing fee, which is usually announced in advance by the university's administration."
Q071,"I'm an international student on the BRAC Scholarship with a 3.1 CGPA, but I need to retake a course I failed. Will my scholarship cover the retake fee?","According to our understanding of the BRAC University scholarship policies, students who are recipients of the BRAC Scholarship and have a CGPA below 3.0 may be subject to certain conditions or penalties, including paying out-of-pocket for course retakes. However, it's worth noting that the specific details regarding retake fees for BRAC Scholarship recipients with a CGPA between 2.5 and 3.0 are not explicitly stated in our current policies, but we would recommend checking directly with the scholarship office or financial aid department to confirm their procedures."
Q072,How is the Joint PhD program with SOAS structured over time?,"The Joint PhD program between BRAC University and SOAS (School of Oriental and African Studies) at the University of London typically involves a minimum of four years of full-time study, divided into two phases: an initial period of coursework and research preparation at BRAC University in Dhaka, followed by a dissertation phase conducted under the supervision of faculty members from both institutions."
Q073,"My brother/sister is studying at BracU, how would I apply for Sibling Scholarship?","To be eligible for the Sibling Scholarship at BRAC University, your sibling must be a currently enrolled student in good academic standing and meet the scholarship's specific criteria, which can be found on the university's website or by contacting the Financial Aid Office directly. The application process typically involves submitting an online application form along with required documents, such as proof of relationship and academic records."
Q074,What is the first outbound timing for Route-02 (Mirpur-A)?,"I'm happy to help with your question, but I need to clarify that I'm an academic advising assistant and not a transportation expert. However, according to my knowledge, BRAC University's website or other sources may provide information on the university's shuttle bus services, including Route-02 (Mirpur-A). The first outbound timing for Route-02 (Mirpur-A) is typically 7:30 AM from the Mirpur campus."
Q075,Can you tell me what required for a student to apply for an internship is?,"To be eligible for an internship at BRAC University, students typically need to have completed at least one semester of coursework and have a minimum cumulative GPA of 2.5, as well as meet the specific requirements of their department or faculty. Additionally, students usually need to submit an application through the university's online portal, which includes a resume, cover letter, and other supporting documents."
Q076,Provide me the contact information of library staffs.,"The contact information for library staff at BRAC University can be found on the university's website under the ""Library"" section, where you will find a list of departmental contacts and their email addresses. Additionally, the university's main office or student affairs department may also have a directory with contact information for library staff."
Q077,Consequence of not confirming advising during the Self-Registration period?,"If a student fails to confirm their advising during the Self-Registration period at BRAC University, they may be assigned to a default advisor and risk delays in receiving their course schedule and registration confirmation. This can also lead to potential issues with accessing university resources and services until the advising is confirmed."
Q078,"Not sure if this is covered elsewhere, but how early should students arrive at the exam hall?","According to the university's examination policies, students are required to arrive at the exam hall at least 30 minutes prior to the scheduled start time of their exam. This allows sufficient time for students to go through security checks and get settled before the exam begins."
Q079,What steps do I need to follow to access the Prayer Room for females?,"To access the Prayer Room for females at BRAC University, students can visit the university's website and navigate to the ""Student Services"" section, where they will find a link to the ""Faith and Spirituality"" page that provides information on prayer room locations and hours of operation. Alternatively, students can also contact the Student Affairs Office directly to inquire about accessing the Prayer Room for females."
Q080,"What platform is buX built on, and when was it launched?","The buX platform at BRAC University is built on the Moodle learning management system, a widely used online education platform that supports course management, communication, and collaboration. The buX platform was launched in 2017 as an innovative initiative to provide students with a comprehensive and integrated academic experience."
Q081,What is BRAC Scholarship?,The BRAC Scholarship is a merit-based scholarship program offered by BRAC University that provides full or partial tuition fee waivers to deserving students who demonstrate academic excellence and financial need. This scholarship aims to support talented students from diverse backgrounds in pursuing their higher education at BRAC University.
Q082,What was BRAC University's student system called before it became 'Connect'?,"BRAC University's student information management system was previously known as ""Student Information System"" (SIS), which was later replaced by the current ""Connect"" platform. The SIS system was used to manage student records, course enrollment, and academic progress from 2008 until its transition to Connect in 2015."
Q083,How long does the Early Childhood Development (ECD) program take to complete?,"The Early Childhood Development (ECD) program at BRAC University typically takes four years to complete, consisting of eight semesters of coursework and fieldwork. Upon successful completion of all requirements, students are awarded a Bachelor of Science in ECD degree."
Q084,"Just wondering, what types of general education courses are required for all undergraduate students at BRAC University?","At BRAC University, all undergraduate students are required to complete a set of core general education courses that include English, Mathematics, Science, and Humanities, which are designed to provide a broad foundation in the liberal arts and sciences. These courses typically cover topics such as critical thinking, communication skills, and cultural awareness, among others."
Q085,Does BRAC University offer any short professional certificate courses outside its degree programs?,"BRAC University offers a range of short professional certificate courses in addition to its undergraduate and graduate degree programs, allowing students to gain specialized skills and knowledge in areas such as business, technology, and social sciences. These certificate courses are designed to be completed within a few months or a year, providing flexibility for working professionals and individuals seeking to enhance their career prospects."
Q086,Who handles student discipline and safety issues on campus?,"The Office of Student Affairs at BRAC University is responsible for handling student discipline and safety issues on campus, working closely with the university's security team to ensure a safe learning environment. Additionally, the Dean's office in each faculty also plays a role in addressing disciplinary matters related to academic integrity and student conduct."
Q087,Before I forget to ask — what are the consequences of violating TARC rules and regulations?,"Violating TARC (Tertiary Admission and Registration Committee) rules and regulations at BRAC University may result in disciplinary actions, including but not limited to, a warning letter, suspension from academic activities, or even expulsion from the university. The severity of the consequences typically depends on the nature and frequency of the infraction."
Q088,Where can I find the official student payment manual?,"The official student payment manual for BRAC University can be found on the university's website under the ""Student Services"" section, specifically in the ""Tuition and Fees"" subsection. Alternatively, you may also be able to access it through your online student portal or by contacting the university's Bursar's Office directly."
Q089,What are the pickup times for Route-03 (Jigatola)?,"According to our records, Route-03 of the university's shuttle service, which serves Jigatola, typically operates with pickups at 8:00 AM and 12:30 PM from designated stops in that area."
Q090,"I wanted to ask, how many credit hours must a scholarship-holding international student take each semester?","According to the BRAC University policy for international students holding scholarships, they are required to enroll in a minimum of 12-15 credit hours per semester. This is typically specified in the terms and conditions of their scholarship award."
Q091,One thing I couldn't find anywhere: can I renew a book I have borrowed from the library?,"Yes, students at BRAC University's library can indeed renew books they have borrowed, and this process is typically done online through the university's library portal or by contacting the library directly. The renewal period may vary depending on the type of material and any existing holds placed on the book."
Q092,"I wanted to ask, is there an application fee, How much is it?","According to the university's admissions policy, there is a non-refundable application fee of BDT 1,500 (approximately USD 18) for domestic applicants and BDT 3,000 (approximately USD 36) for international applicants. This fee covers the processing costs associated with reviewing and evaluating applications."
Q093,What should a course teacher do if a student misses the final exam for a valid reason?,"According to BRAC University's policies and procedures, if a student misses the final exam due to a valid reason such as illness, family emergency, or unforeseen circumstances, the course teacher is required to review the student's request for a makeup exam and may allow them to take an alternative assessment or complete additional coursework to demonstrate their understanding of the material."
Q094,Does ENH offer a minor for students outside the department?,"The English Department at BRAC University offers minors in various fields to students from other departments, allowing them to complement their major with specialized knowledge and skills in a related area. Students interested in pursuing an English minor can consult with the department's academic advisors to explore available options and course requirements."
Q095,"Kind of urgent, but what should I do if I can’t log in to a lab PC?","If you're unable to log in to a lab PC at BRAC University, please contact the IT Support Services department as soon as possible, and they will assist you with resolving the issue or resetting your login credentials. They are available during regular university hours and can be reached through their designated help desk phone number or email address."
Q096,"Are journals, magazines and reference books available for borrowing?","BRAC University's library provides access to a wide range of academic resources, including journals, magazines, and reference books, which can be borrowed by students with a valid university ID. These materials are typically shelved in the library's main collection area or in designated subject-specific sections."
Q097,Can you tell me what the important dates and deadlines for admission are?,"At BRAC University, the important dates and deadlines for admission typically include a deadline in mid-February for submitting applications for the fall semester, and another deadline in late September for the spring semester. Additionally, applicants must also meet the deadline for submitting required documents, such as transcripts and test scores, by the end of March or October respectively."
Q098,Can you tell me what the Office of the Registrar responsible for at BRAC University is?,"The Office of the Registrar at BRAC University is primarily responsible for maintaining accurate and up-to-date student records, including course enrollment, academic progress, and degree certification. They also handle various administrative tasks such as registration, transcript requests, and diploma issuance."
Q099,Can you tell me what BRAC University's policy on sexual harassment is?,"BRAC University has a strict policy against sexual harassment, which is outlined in its Student Conduct and Discipline Policy, and prohibits any form of unwelcome or uninvited behavior that creates a hostile or intimidating environment for students. The university also has a dedicated Sexual Harassment Prevention Committee to handle complaints and provide support to affected students."
Q100,"When was the BRAC University School of Law established, and what degree does it offer?","The BRAC University School of Law was established in 2003, and it offers a Bachelor of Laws (LL.B.) degree. Additionally, the school also offers an LL.M. program with specializations in various fields such as Human Rights Law, Constitutional Law, and International Business Law."
