query_id,config,query,reference_answer,generated_answer,abstained,bleu,rougeL,meteor,bertscore
Q011,ordering_on,"Does BRAC University have a digital student ID card, or only a physical one?","Yes, BRAC University introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option). Both the physical and digital ID have been usable, and students are advised to keep the app updated to generate their digital card.","Yes, BRAC University introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option). Both the physical and digital ID have been usable, and students are advised to keep the app updated to generate their digital card.",False,1.0,1.0,0.9999971528790087,1.0
Q012,ordering_on,What is the contact number for Route-05 (Jatrabari)?,Route-05 (Jatrabari) Service Assistant contact: 01700-877297.,The contact number for Route 5 (Jatrabari) is 01700-877297.,False,0.11094660471566163,0.4444444444444445,0.5514705882352942,0.9511365294456482
Q013,ordering_on,"Random question, what should I do if I miss my mid/final?","You should inform your course instructor as soon as possible with a valid reason (such as medical emergencies). In some cases, you may need to provide documentation like medical certificates to appeal.","You should inform your course instructor as soon as possible with a valid reason (such as medical emergencies). In some cases, you may need to provide documentation like medical certificates to appeal.",False,1.0,1.0,0.9999901289163524,0.9999999403953552
Q014,ordering_on,How to do advising as my advising is blocked but my payment is clear?,You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing at sic@bracu.ac.bd,You have logged into these pages using your g-suit to get help. The links are https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or you can try emailing at sic@bracu.ac.bd.,False,0.5502042119161773,0.9189189189189189,0.9103655179492921,0.9847798943519592
Q015,ordering_on,What elective courses are recommended for students interested in Cybersecurity?,"CSE446, CSE447, CSE490 and CSE496 can be beneficial for students interested in Cyber Security.","CSE446, CSE447, CSE490 and CSE496 can be beneficial for students interested in Cyber Security.",False,1.0,1.0,0.999898229187869,0.9999999403953552
Q016,ordering_on,How to contact with BRACU Finance and Accounts Department?,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd","To contact the BRACU Finance and Accounts Department, you can visit BRAC University at Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda, Dhaka 1212, Bangladesh, or call them at +88 09638464646 Ext: 1220, 1221. Alternatively, you can email them at queries-accounts@bracu.ac.bd.",False,0.3760603093086394,0.6944444444444445,0.7666206579250058,0.9355009198188782
Q017,ordering_on,"Hey, for further information regarding Admission who should I contact?","For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.","For more queries about admission, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.",False,0.9024521756077707,0.9666666666666666,0.9943898779073733,0.9948424100875854
Q018,ordering_on,"I wanted to ask, what are BRAC University's official colours?","BRAC University's official colours are blue, black, and gray.",I don't have enough information in the retrieved context to answer your question.,False,0.013217947626377298,0.0,0.03787878787878788,0.8315325379371643
Q019,ordering_on,How are students informed about changes to the transport service?,Students are informed through official BRAC University notices and announcements.,Students are informed through official BRAC University notices and announcements.,False,1.0,1.0,0.9996243425995492,1.0000001192092896
Q020,ordering_on,What is checked at the Security Supervisor Office?,"Student ID Check, All workers In out","Student ID Check, All workers In out.",False,0.8633400213704505,1.0,0.9866898148148149,0.9849658012390137
Q021,ordering_on,What support does the Center of Entrepreneurship Development (CED) provide?,"The Center for Entrepreneurship Development (CED) at BRAC University supports students and alumni in developing entrepreneurial skills and launching their own ventures. It offers various services, including:
Training and mentorship programs for aspiring entrepreneurs.
Workshops and seminars on business development and innovation.
Networking opportunities with industry professionals.
Resources and guidance for business planning and startup funding.
CED aims to foster a culture of entrepreneurship and innovation within the university community, providing both theoretical knowledge and practical experience to help students succeed in their entrepreneurial endeavors.Visit more for details: https://ced.bracu.ac.bd/","The Center of Entrepreneurship Development (CED) provides various services, including training and mentorship programs for aspiring entrepreneurs, workshops and seminars on business development and innovation, networking opportunities with industry professionals, resources and guidance for business planning and startup funding.",False,0.2022323807385231,0.556390977443609,0.3910911619971881,0.9292603135108948
Q022,ordering_on,Before I forget to ask — whats the procedure for changing my section?,If you are already enrolled in a section then your request will be rejected by DCO due to the policies set by department.,"The procedure for changing your section is that if you are already enrolled in a section, then your request will be rejected by DCO due to the policies set by the department.",False,0.6009379398317186,0.8363636363636363,0.9556597222222222,0.967647910118103
Q023,ordering_on,I'm an EEE student minoring in Physics. Do I need to separately meet the Physics minor's prerequisites even though I'm not a Physics major?,"Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.","Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.",False,1.0,1.0,0.9999981793354574,0.9999998807907104
Q024,ordering_on,"Does every undergraduate program require a thesis, or can students choose a project/internship instead?","It depends on the program and department; in CSE, for example, students can fulfill the CSE400 capstone requirement through a Thesis, a Project, or an Internship track, each with its own supervision and marking rubric, rather than thesis being the only option.","It depends on the program and department; in CSE, for example, students can fulfill the CSE400 capstone requirement through a Thesis, a Project, or an Internship track, each with its own supervision and marking rubric, rather than thesis being the only option.",False,1.0,1.0,0.999996,1.0
Q025,ordering_on,Can you tell me what the difference in focus between the BSEEE and BSECE programs is?,"BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.","BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.",False,1.0,1.0,0.9999954788773148,0.9999999403953552
Q026,ordering_on,What is BRAC University's general contact information?,"The university can be reached at +88 09638464646 (extension 1001 for the operator), and general queries can be emailed to info@bracu.ac.bd.","The university can be reached at +88 09638464646 (extension 1001 for the operator), and general queries can be emailed to info@bracu.ac.bd.",False,1.0,1.0,0.9999745973682873,1.0
Q027,ordering_on,What amenities and facilities are provided for students at TARC?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates. Tarc also provides students the importance of time dynamics, punctuality, and basic manners like respecting others' work. Tarc also tries to make students do their own work by themselves.",False,0.7116691743715989,0.989247311827957,0.9208786428882123,0.9837590456008911
Q028,ordering_on,How many stoppages are there for each route?,Each route has between 5 and 12 designated stoppages.,Each route has between 5 and 12 designated stoppages.,False,1.0,1.0,0.9995,0.9999998807907104
Q029,ordering_on,"This might be a silly question, but what services do library provide?","The library offers a variety of study facilities to suit different preferences. If you enjoy studying in a group, you can reserve a study room in advance, providing a dedicated space for collaboration. For those who prefer studying alone, there are single seats and study capsules available on a first-come, first-served basis. Additionally, the library features various other quiet and comfortable areas where you can focus on your studies.","The library provides a variety of study facilities to suit different preferences. If you enjoy studying in a group, you can reserve a study room in advance, providing a dedicated space for collaboration. For those who prefer studying alone, there are single seats and study capsules available on a first-come, first-served basis. Additionally, the library features various other quiet and comfortable areas where you can focus on your studies.",False,0.9703687241718227,0.9859154929577465,0.9871708378201884,0.9996280670166016
Q030,ordering_on,What is the second outbound timing for Route-04 (Azimpur)?,Route-04 (Azimpur): Second trip departs at 5:10 PM.,The second outbound timing for Route 4 (Azimpur) is 5:10 PM.,False,0.1235622127262679,0.45454545454545453,0.5511876881900302,0.9323900938034058
Q031,ordering_on,"New student here, could you please provide details about the tuition fee structure at BRAC University?","For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?","For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?",False,1.0,1.0,0.999999514704926,1.0
Q032,ordering_on,From where does the bus leave on campus?,The bus leave campus from the Basement-1,The bus leaves on campus from the Basement-1.,False,0.3549481056010053,0.9411764705882353,0.9608843537414966,0.9667501449584961
Q033,ordering_on,Where are the designated bus stops for Route-03 (Jigatola)?,"The designated stops are: Jigatola Bus Stand, City College, Science Lab, Kataban, Shahbagh, High Court, Press Club, Motsho Bhaban, Bijoynagar, Kakrail Mosque, Shantinagar, Malibagh Railgate, Rampura TV Centre, Badda Link Road, BRAC University.","The designated bus stops for Route-03 (Jigatola) are Jigatola Bus Stand, City College, Science Lab, Kataban, Shahbagh, High Court, Press Club, Motsho Bhaban, Bijoynagar, Kakrail Mosque, Shantinagar, Malibagh Railgate, Rampura TV Centre, Badda Link Road, BRAC University.",False,0.8319955011875247,0.9295774647887324,0.9694163860830529,0.9700445532798767
Q034,ordering_on,Can you tell me what 'Freshman Enrollment and Class Sign' at BRAC University is?,"This is the official process new/incoming ('freshman') students go through after being admitted, to confirm their enrollment and get registered into their first semester's classes; details and instructions are published on the Admissions section of the university website.","This is the official process new/incoming ('freshman') students go through after being admitted, to confirm their enrollment and get registered into their first semester's classes; details and instructions are published on the Admissions section of the university website.",False,1.0,1.0,0.9999945130315501,1.0
Q035,ordering_on,What facilities are available on the 5th Floor?,"School of General Education, ENH, ESS, School of Pharmacy, MNS, School of Architecture and Design, BRAC Business School, and BRAC Institute of Languages.","The facilities available on the 5th Floor include School of General Education, ENH, ESS, School of Pharmacy, MNS, School of Architecture and Design, BRAC Business School, and BRAC Institute of Languages.",False,0.7864509426659901,0.8518518518518519,0.974826405931976,0.9713631868362427
Q036,ordering_on,Can students reserve seats in advance?,"No, seating is strictly first-come, first-served.","No, seating is strictly first-come, first-served.",False,1.0,1.0,0.9993141289437586,0.9999998211860657
Q037,ordering_on,How can I stay updated on upcoming games and events?,"Check BRACU Events Page. As the website is not fully functional yet, keep an eye on clubs’ Facebook pages or BRACU Facebook groups for updates.
 and you can also go to this page for detailed updates : https://www.bracu.ac.bd/news-events/upcoming-events","Check the BRACU Events Page. As the website is not fully functional yet, keep an eye on clubs' Facebook pages or BRACU Facebook groups for updates, and you can also go to this page for detailed updates : https://www.bracu.ac.bd/news-events/upcoming-events.",False,0.8267889227185861,0.989010989010989,0.9707521982042393,0.9819017648696899
Q038,ordering_on,Can students receive visitors while at the Savar campus?,"Only nominated visitors, usually parents, are allowed to visit on designated Parents' Days, which are announced each semester. Visiting hours are typically in the afternoon on specific Fridays.","Only nominated visitors, usually parents, are allowed to visit on designated Parents' Days, which are announced each semester. Visiting hours are typically in the afternoon on specific Fridays.",False,1.0,1.0,0.9999872786484836,0.9999999403953552
Q039,ordering_on,Why is it advised not to select unnecessary courses in the Wishlist?,"Course demand influences planning, and unnecessary selections may misrepresent actual needs","It is advised not to select unnecessary courses in the Wishlist because course demand influences planning, and unnecessary selections may misrepresent actual needs.",False,0.44476301781818156,0.6470588235294118,0.9019945697577276,0.9467499852180481
Q040,ordering_on,Can you tell me what the deadline to change the thesis title before the final defense is?,The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.,The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.,False,1.0,1.0,0.9999772230320699,0.9999999403953552
Q041,ordering_on,Where do MPH faculty members at BRAC JPGSPH come from?,"MPH faculty are drawn from a mix of BRAC University, icddr,b, and BRAC itself, along with international partner institutions such as the University of Heidelberg, Harvard, Johns Hopkins, George Washington University, the Karolinska Institute, and the London School of Hygiene & Tropical Medicine.","MPH faculty are drawn from a mix of BRAC University, icddr,b, and BRAC itself, along with international partner institutions such as the University of Heidelberg, Harvard, Johns Hopkins, George Washington University, the Karolinska Institute, and the London School of Hygiene & Tropical Medicine.",False,1.0,1.0,0.9999968246710359,0.9999998807907104
Q042,ordering_on,What is the BRAC University Students' Transport Service?,"BRAC University provides an affordable, safe, and comfortable transport service with air-conditioned buses covering nine routes across Dhaka city.","The BRAC University Students' Transport Service is a transport service provided by BRAC University that offers affordable, safe, and comfortable transportation to its students.",False,0.2082376263771737,0.3636363636363636,0.5117686823992134,0.9108158946037292
Q043,ordering_on,What are the pickup times for Route-01 (Abdullahpur)?,"1st Trip: 6:40 AM, 2nd Trip: 8:50 AM.","The pickup times for Route-01 (Abdullahpur) are 1st Trip: 6:40 AM, 2nd Trip: 8:50 AM.",False,0.5362721716524187,0.7142857142857143,0.9299633936261844,0.9373241662979126
Q044,ordering_on,"New student here, do international students need to submit any medical reports?","Yes, Health checkup/medical certificates are needed to be submitted.","Yes, Health checkup/medical certificates are needed to be submitted.",False,1.0,1.0,0.9996243425995492,1.0
Q045,ordering_on,"My advisor is not responding, what to do?","Please wait, your advisor is maybe busy with other students response. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get request done by the advisor.","Please wait, your advisor is maybe busy with other students' response. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get the request done by the advisor.",False,0.8921877278718924,0.988235294117647,0.995633233843061,0.9907087087631226
Q046,ordering_on,What sports teams does the university have?,"BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.","The university has BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.",False,0.8720290467146479,0.923076923076923,0.9865007597376125,0.9778074622154236
Q047,ordering_on,I looked around the site but couldn't find it — what opportunities are there for student leadership in volunteer organizations?,"BRAC University Leadership Development Forum (BULDF) is a club working on training and grooming leadership traits. The club mainly focuses on young students in enhancing their leadership qualities and bringing out their hidden talents, which will help them in the future. The club has always been there for assisting the official events and programs of BRAC University as volunteers besides its own activities, which mainly include Accession, Love for Humanity, and Saving Tomorrow.

Contact: club.buldf@g.bracu.ac.bd","The opportunities for student leadership in volunteer organizations at BRAC University include membership in the BRAC University Leadership Development Forum (BULDF) club, which trains and grooms leadership traits among young students. The club focuses on enhancing their leadership qualities and bringing out their hidden talents to help them in the future, and has assisted official events and programs of BRAC University as volunteers besides its own activities, including Accession, Love for Humanity, and Saving Tomorrow. Contact: club.buldf@g.bracu.ac.bd",False,0.5653644593244006,0.7530864197530863,0.8322628433665502,0.9511595368385315
Q048,ordering_on,"Kind of urgent, but can students appeal their grades if they believe there has been a mistake?","A student may apply to the Chair of Department or the Dean for the re-checking of an examination script. Such a request may be made on the grounds of evidence of procedural errors, arbitrariness or prejudice. The student must make any request within Seven (07) calendar days of the publication of the mark. The Chair of Department or the Dean may, after checking with the original grader, arrange for the evaluation of an examination script to be conducted by two members of the faculty not previously involved in the examination and marking process, supported by a member of the Examination Controller’s office. The rechecking process and submission of any revised grade to the Examinations Controller should be completed within 15 calendar days.","Yes, students may appeal their grades if they believe there has been a mistake. A student may apply to the Chair of Department or the Dean for the re-checking of an examination script on the grounds of evidence of procedural errors, arbitrariness or prejudice. The student must make any request within Seven (07) calendar days of the publication of the mark.",False,0.27997627098694416,0.5161290322580645,0.29839235850132023,0.9292649626731873
Q049,ordering_on,"Hey, what subjects are tested for BSS in Anthropology, BA in English, and LLB admission?","Applicants to BSS in Anthropology, BA in English, and LLB (Hons) are tested only in English as part of the admission test.","Applicants to BSS in Anthropology, BA in English, and LLB (Hons) are tested only in English as part of the admission test.",False,1.0,1.0,0.9999745973682873,0.9999999403953552
Q050,ordering_on,Do lab-based or design-based programs pay an additional fee beyond regular tuition?,"Yes, programs with laboratory or studio components (such as CSE, Architecture, and Pharmacy) typically carry an additional lab/studio fee per semester on top of standard tuition and semester fees.","Yes, programs with laboratory or studio components (such as CSE, Architecture, and Pharmacy) typically carry an additional lab/studio fee per semester on top of standard tuition and semester fees.",False,1.0,1.0,0.9999883381924198,1.0
Q051,ordering_on,Curious about something: what items are prohibited in the exam hall?,"Mobile phones, tablets, smartwatches, and other electronic gadgets are not allowed. Bringing textbooks, notes, or any other written materials is prohibited unless explicitly allowed by the instructor.Bags, backpacks, and personal belongings should be left outside the exam hall or in designated areas.","Mobile phones, tablets, smartwatches, and other electronic gadgets are not allowed. Bringing textbooks, notes, or any other written materials is prohibited unless explicitly allowed by the instructor. Bags, backpacks, and personal belongings should be left outside the exam hall or in designated areas.",False,0.9118021019905903,1.0,0.9763124999999999,0.9960983991622925
Q052,ordering_on,"How many semesters does BRAC University run per year, and when do they start?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively.",False,0.5209121273117441,0.7346938775510204,0.5590801978403294,0.9622127413749695
Q053,ordering_on,Does BRAC University have any separate exam for awarding Scholarship/Financial Aid?,There is no separate exam for Scholarship/Financial Aid.,There is no separate exam for awarding Scholarship/Financial Aid.,False,0.6580370064762462,0.9473684210526316,0.9835843169176502,0.9855319261550903
Q054,ordering_on,What does the Counseling and Wellness Centre at BRAC University offer?,"The Counseling and Wellness Centre is a dedicated student-life office providing psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.","The Counseling and Wellness Centre at BRAC University offers psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.",False,0.7342674617715381,0.8,0.8051360924683074,0.970806896686554
Q055,ordering_on,Can you tell me what the CGPA requirement for eligibility to start a thesis is?,CGPA equal to or above 3.0.,The CGPA requirement for eligibility to start a thesis is CGPA equal to or above 3.0.,False,0.34823528327578535,0.5833333333333334,0.8737244897959183,0.9289388656616211
Q056,ordering_on,"New student here, when was BRAC University established and who founded it?","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",False,1.0,1.0,0.9999772230320699,1.0
Q057,ordering_on,Who must participate in the Wishlist event?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","All undergraduate students attending the upcoming semester, excluding RS-eligible students and LLB, PHR students.",False,0.641975224568211,0.9285714285714286,0.9742043670615098,0.9644516706466675
Q059,ordering_on,Curious about something: what are the basic requirements and application process to start a new club at BRAC University?,"To start a new club, you need at least 50 interested student members and one BRACU faculty advisor. The applicants then submit an application to the Director of Co-Curricular Activities, including the club's goals, objectives, a program calendar, and mode of operation, signed by the advisor. The new club's Executive Committee follows the same eligibility rules as any club's committee (see the Executive Committee CGPA/credit requirements). One faculty member can advise only one club at a time, but can additionally co-advise up to one more; a faculty member who isn't an advisor of any club can co-advise up to two.","To start a new club, you need at least 50 interested student members and one BRACU faculty advisor. The applicants then submit an application to the Director of Co-Curricular Activities, including the club's goals, objectives, a program calendar, and mode of operation, signed by the advisor.",False,0.31807930342445107,0.6153846153846153,0.37473900722863035,0.9424859285354614
Q060,ordering_on,Before I forget to ask — has BRAC University ever won the World Universities Debating Championship (WUDC)?,"Yes, twice. In 2013, BRAC Bangladesh A (Ratib Murtaza Ali and Aaqib Farhan Hossain) won the English-as-a-Second-Language (ESL) category at WUDC in Berlin - Bangladesh's first such win. In 2022, BRAC University students Sourodip Paul and Sajid Asbat Khandaker won the WUDC open category outright in Belgrade, becoming the first Asian team ever to win the tournament's top title.","Yes, twice. In 2013, BRAC Bangladesh A (Ratib Murtaza Ali and Aaqib Farhan Hossain) won the English-as-a-Second-Language (ESL) category at WUDC in Berlin - Bangladesh's first such win. In 2022, BRAC University students Sourodip Paul and Sajid Asbat Khandaker won the WUDC open category outright in Belgrade, becoming the first Asian team ever to win the tournament's top title.",False,1.0,1.0,0.9999986604080933,0.9999998807907104
Q061,ordering_on,How do I access the Multipurpose Hall?,"Ground Floor, Find the lift lobby(2nd escalator); go straight to the West Side, where you will find some seats next to the Multipurpose Hall.","To access the Multipurpose Hall, go to the Ground Floor and find the lift lobby (2nd escalator), then proceed straight to the West Side, where you will find some seats next to the hall.",False,0.5839256668078058,0.7796610169491526,0.9344653430860327,0.9674851894378662
Q062,ordering_on,Can you tell me what the formula BRAC University uses to calculate GPA is?,"GPA is calculated as the sum of (grade points x credits) for all courses, divided by the sum of credits attempted - i.e., a credit-weighted average, so a 4-credit course affects the GPA more than a 1-credit course.","The formula BRAC University uses to calculate GPA is the sum of (grade points x credits) for all courses, divided by the sum of credits attempted - i.e., a credit-weighted average, so a 4-credit course affects the GPA more than a 1-credit course.",False,0.8255633389251636,0.8965517241379309,0.9661280619344803,0.9771098494529724
Q063,ordering_on,I looked around the site but couldn't find it — whats the procedure to pay my fees in installment?,A form will be shared by gsuite if the facility is available for that particular semester and you can fill up the form and apply for installment payment.,"The procedure to pay your fees in installment is as follows: A form will be shared by gsuite if the facility is available for that particular semester, and you can fill up the form and apply for installment payment.",False,0.6398349592149982,0.835820895522388,0.9569387378690307,0.9690490961074829
Q064,ordering_on,"Hi, what exactly does the Office of the Proctor handle at BRAC University?","The Office of the Proctor is responsible for student discipline and campus safety, acting as an intermediary for complaints about harassment, bullying, or intimidation involving anyone affiliated with BRACU - students, faculty, staff, or security personnel.","The Office of the Proctor is responsible for student discipline and campus safety, acting as an intermediary for complaints about harassment, bullying, or intimidation involving anyone affiliated with BRACU - students, faculty, staff, or security personnel.",False,1.0,1.0,0.9999937112455507,1.0
Q065,ordering_on,Can non-students use the BRAC University transport service?,"No, the service is exclusively for BRAC University students.","No, the service is exclusively for BRAC University students.",False,1.0,1.0,0.9996243425995492,1.0
Q066,ordering_on,Can you tell me what the prerequisites for the Cse program are?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics","The prerequisites for the CSE program are Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics.",False,0.8116191409089194,0.8679245283018869,0.9782503858024691,0.971659779548645
Q067,ordering_on,I looked around the site but couldn't find it — how to submit report after a club event?,"After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events.","After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.",False,0.2741735727190625,0.6262626262626263,0.3911732314511414,0.9389051198959351
Q068,ordering_on,Can you tell me what the Syndicate at BRAC University is?,"The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.","The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.",False,1.0,1.0,0.999898229187869,0.9999998211860657
