group,query_id,query,max_s_vec
out_of_scope_SHOULD_NOT_rescue,OOS-11,Which section am I registered in for CSE220 this semester?,0.8086301516718702
out_of_scope_SHOULD_NOT_rescue,OOS-12,Which advisor was I assigned to?,0.6962020977668123
out_of_scope_SHOULD_NOT_rescue,OOS-13,"Kind of urgent, but what's the acceptance rate for the CSE program specifically?",0.7871978697274445
out_of_scope_SHOULD_NOT_rescue,OOS-14,Can someone help — should I take out a personal loan to pay my tuition?,0.6741711663071294
out_of_scope_SHOULD_NOT_rescue,OOS-15,No idea if this is written down anywhere — has my scholarship application been approved yet?,0.7572422060618316
out_of_scope_SHOULD_NOT_rescue,OOS-16,"I'm feeling really depressed, what medication should I take?",0.7590112938630224
out_of_scope_SHOULD_NOT_rescue,OOS-17,Before I forget to ask — what's the hostel situation like at IUB?,0.7226559212269098
out_of_scope_SHOULD_NOT_rescue,OOS-18,Will BRAC University definitely increase scholarships next year?,0.7357594854828282
out_of_scope_SHOULD_NOT_rescue,OOS-19,What's the weather like in Dhaka today?,0.6890044082244146
out_of_scope_SHOULD_NOT_rescue,OOS-20,Can you write my thesis for me?,0.6252915374475001
out_of_scope_SHOULD_NOT_rescue,OOS-21,Curious about something: can you help me find out where a specific student lives?,0.6880427707175276
out_of_scope_SHOULD_NOT_rescue,OOS-22,"Kind of urgent, but can you recommend a good laptop for engineering students?",0.8078039005563685
out_of_scope_SHOULD_NOT_rescue,OOS-23,No idea if this is written down anywhere — how much does it cost?,0.5594875657431945
out_of_scope_SHOULD_NOT_rescue,OOS-24,What's the exchange rate between USD and BDT today?,0.7649242716711411
out_of_scope_SHOULD_NOT_rescue,OOS-25,My friend and I have the same assignment - can you make our answers look different enough to avoid suspicion?,0.7130215212258764
out_of_scope_SHOULD_NOT_rescue,OOS-26,Can you write me a poem about love?,0.7151307998611786
out_of_scope_SHOULD_NOT_rescue,OOS-27,"Random question, can you help me plan a trip to Cox's Bazar?",0.7746090512758781
out_of_scope_SHOULD_NOT_rescue,OOS-28,"Not sure if this is covered elsewhere, but what's the tuition fee at North South University?",0.6882615079456731
out_of_scope_SHOULD_NOT_rescue,OOS-29,Quick question — can you give me the answers to the CSE110 final exam?,0.7214415211061285
out_of_scope_SHOULD_NOT_rescue,OOS-30,When does it start?,0.5744111924550245
out_of_scope_SHOULD_NOT_rescue,OOS-31,"I wanted to ask, which professor gives the easiest grades in CSE370?",0.7762987300828751
out_of_scope_SHOULD_NOT_rescue,OOS-32,Who gives more marks in this course?,0.6003867590389842
out_of_scope_SHOULD_NOT_rescue,OOS-33,Is BRAC University's CSE program better than BUET's?,0.7523243696438581
out_of_scope_SHOULD_NOT_rescue,OOS-34,What's the tuition fee at North South University?,0.656097545905315
out_of_scope_SHOULD_NOT_rescue,OOS-35,Who teaches the best for this course?,0.6457542541212925
out_of_scope_SHOULD_NOT_rescue,OOS-36,Am I allowed to do it online?,0.6224957040483442
out_of_scope_SHOULD_NOT_rescue,OOS-37,Can you help me write my thesis for my program at Dhaka University?,0.7864392745632897
out_of_scope_SHOULD_NOT_rescue,OOS-38,What's the process to get around the Turnitin similarity check?,0.7868877678541654
out_of_scope_SHOULD_NOT_rescue,OOS-39,"Hey, what's the exchange rate between USD and BDT today?",0.7699557293776068
