query_id,is_entity_heavy,recall@1,recall@5,recall@10,mrr,correct_chunk_present_but_not_rank1
Q160,True,1.0,1.0,1.0,1.0,False
Q161,True,1.0,1.0,1.0,1.0,False
Q162,True,1.0,1.0,1.0,1.0,False
Q163,True,1.0,1.0,1.0,1.0,False
Q164,True,1.0,1.0,1.0,1.0,False
Q165,True,1.0,1.0,1.0,1.0,False
Q166,True,1.0,1.0,1.0,1.0,False
Q167,True,1.0,1.0,1.0,1.0,False
Q168,True,1.0,1.0,1.0,1.0,False
Q169,True,1.0,1.0,1.0,1.0,False
Q170,True,1.0,1.0,1.0,1.0,False
Q171,True,1.0,1.0,1.0,1.0,False
Q172,True,1.0,1.0,1.0,1.0,False
Q173,True,1.0,1.0,1.0,1.0,False
Q174,True,1.0,1.0,1.0,1.0,False
Q175,True,1.0,1.0,1.0,1.0,False
Q176,True,1.0,1.0,1.0,1.0,False
Q177,True,1.0,1.0,1.0,1.0,False
Q178,True,1.0,1.0,1.0,1.0,False
Q179,True,1.0,1.0,1.0,1.0,False
Q180,True,1.0,1.0,1.0,1.0,False
Q181,True,1.0,1.0,1.0,1.0,False
Q182,True,0.0,0.0,0.0,0.0,False
Q183,True,1.0,1.0,1.0,1.0,False
Q184,True,0.0,0.0,0.0,0.0,False
Q185,True,0.0,0.0,0.0,0.0,False
Q186,True,1.0,1.0,1.0,1.0,False
Q187,True,1.0,1.0,1.0,1.0,False
Q188,True,1.0,1.0,1.0,1.0,False
Q189,True,0.0,0.0,0.0,0.0,False
Q190,True,0.0,0.0,0.0,0.0,False
Q191,True,1.0,1.0,1.0,1.0,False
Q192,True,1.0,1.0,1.0,1.0,False
Q193,True,0.0,0.0,0.0,0.0,False
Q194,True,1.0,1.0,1.0,1.0,False
Q195,True,1.0,1.0,1.0,1.0,False
Q196,True,0.0,0.0,0.0,0.0,False
Q197,True,1.0,1.0,1.0,1.0,False
Q198,True,1.0,1.0,1.0,1.0,False
Q199,True,0.0,0.0,0.0,0.0,False
Q200,True,1.0,1.0,1.0,1.0,False
