id,QuestionBanglish,cluster_id,cluster_size
91,Advising er shomoy amar advisor ke ami kivabe contact korbo?,90,1
92,Advising er shomoy amar Connect keno blocked?,91,1
93,Advising er shomoy course selection finalize hoye gele ki action nite hobe?,92,1
95,"Amake ekhono advisor assign kora hoyni, ki korbo?",94,1
96,"Amar advising block kora ache kintu payment clear, tahole advising kivabe korbo?",95,1
97,"Amar advising dashboard ashche na kintu pre advising o hocche na, ki korbo?",96,1
98,"Amar advisor campus e nei, ki korbo?",97,1
99,Amar advisor ke ta kivabe jante parbo?,98,1
100,"Amar advisor response korche na, ki korbo?",99,1
101,"Amar Connect ID mone nei, ki korbo?",100,1
102,"Amar Connect ID password mone nei, ki korbo?",101,1
103,"Amar discord verification kaj korche na, ki korbo? Advising kivabe korbo?",102,1
104,"Amar pre advising schedule bhalo na, ki korbo?",103,1
105,"Amar pre registration miss hoye geche, ekhon ki korbo?",104,1
106,Amar program er recommended course sequence/flowchart follow kora keno important?,105,1
107,"Amar routine e lab clash hocche, ekhon ki korbo?",106,1
108,"Ami ei department er, age kichu course koreche, porer semester e ki course nibo?",107,1
109,Ami koto credit nite parbo?,108,1
110,Ami probation student hisebe koto credit nite parbo?,109,1
111,"Ami probation student, amar advising rules ki?",110,1
112,Ami taratari semester drop korle ki tuition refund pabo?,111,1
113,"BRAC University student services er jonno notun system introduce koreche, er naam ki?",112,1
114,BRAC University te onno department ba program e transfer howar jonno ami kivabe apply korbo?,113,1
115,Class er first week er por course change korar policy ki?,114,1
116,Connect e kivabe log in korte hoy bolben?,115,1
117,Connect e personal information kivabe update korbo?,116,1
118,Connect er madhome student ra ki ki course-related schedule access korte pare?,117,1
119,Connect system e Course Wishlist feature er purpose ki?,118,1
120,Connect ta ki?,119,1
121,"Drop, transfer, ar waiver niye BRAC University er official policy page shob ekshathe ami kothay pabo?",120,1
122,EEE/ECE student ra kon elective course nibe eta kivabe plan korbe?,121,1
123,EEE/ECE student ra tader program er official course listing ar prerequisite sequence kothay pabe?,122,1
124,Eki credit course tinbar ba tar beshi fail kora student der jonno advising restriction ki?,123,1
125,Eki non-credit course duibar fail kora student der jonno advising restriction ki?,124,1
126,Ekjon student ki 9 credit er kom nite pare?,125,1
127,"Ekta course multiple bar Repeat dile, latest grade count hobe naki best ta?",126,1
128,Ekta course offer na hole ki hoy?,127,1
129,Ke Wishlist event e participate korte hobe?,128,1
130,Kon group er student der Wishlist event e participate korar requirement nei?,129,1
131,Kon undergraduate program gula Wishlist event theke excluded?,130,1
132,Kono kichur deadline miss korle ekjon student er ki korte hobe?,131,1
133,Kono student ID er jonno Connect e 0 credit limit dekhale ki korbo?,132,1
134,Main advising er shomoy kono course e extra seat kivabe pabo?,133,1
135,"Main advising kivabe korbo, (Department Wise)?",134,1
137,Notun admitted student der jonno self-registration requirement ki?,136,1
138,Notun Student Lifecycle Management System (Connect) self-registration er jonno kobe theke live hobe?,137,1
139,"Notun system e academic details, upcoming activities, ar attendance access deyar feature ta ki?",138,1
140,Notun system e ei migration er main purpose ki?,139,1
141,Notun system ki apply na kore installment payment allow korbe? Korle kivabe?,140,1
142,Notun system niye question ba concern er jonno official contact platform ta ki?,141,1
143,Notun system semester event ar deadline shomporke student der informed thakte kivabe help korbe?,142,1
144,Notun system use korar age ki type er instruction deya hobe?,143,1
145,Onno advisor ra ki amar advising korte pare?,144,1
146,"Onno university theke credit transfer korle, shei course gula ki amar BRACU transcript e dekhabe?",145,1
147,Overall advising process ta ektu bujhiye diben?,146,1
148,Porer semester er actual advising schedule ta amake diben?,147,1
149,"Pre advising e ekta particular course nite parchi na, kintu prerequisite complete kora ache, ekhon ki korbo?",148,1
150,Pre advising kivabe korbo?,149,1
151,Pre-Registration Phase 1 ba Phase 2 e ki kono confirmation button ache?,150,1
152,Pre-Registration Phase 2 er jonno kon group er student ra eligible?,151,1
153,Pre-Registration Phase 2 er starting date ta kobe?,152,1
154,Pre-Registration Phase er por course registration er final opportunity ta ki?,153,1
155,Pre-Registration phase er por course selection kobe confirm korte hobe?,154,1
156,Pre-registration ta ki?,155,1
157,Prerequisite course e fail kora student der jonno advising requirement ki?,156,1
158,Probation e thaka student ke kivabe identify korbo?,157,1
159,Protita semester e advising phase shuru kora event er naam ki?,158,1
160,Repeat r retake er modhye difference ta ki?,159,1
161,Repeat vs Retake er modhye difference ki?,160,1
162,RS-eligible student der course registration er dayittwo ki?,161,1
163,Scholarship pawa student der pay slip e 29 June 2025 er por late fee keno ashe?,162,1
164,Scholarship policy details er source ta ki?,163,1
165,Self-Registration period e advising confirm na korle ki consequence hoy?,164,1
166,Self-Service for Document feature use kore student ra ki type er documents request korte pare?,165,1
167,Semester drop er procedure ta ki?,166,1
168,Semester e kichu class kora howar por course theke withdraw korar process ta ki?,167,1
169,Shomoy moto Wishlist confirm korte na parle student er ki hoy?,168,1
170,Slot time er modhye Wishlist confirm korar impact ki?,169,1
171,Student CSE110 retake korte chay ar CSE111 o korte chay. Eta ki allowed?,170,1
172,Student department er baire course e extra seat chaile ki korte hobe?,171,1
173,Student ra ki Connect er madhome semester drop ba course drop er jonno apply korte pare? Parle kivabe?,172,1
174,"Student ta CSE220 pass kore nai kintu pre-advising e CSE221 add koreche. CSE220 pass na kore ki CSE221 continue korte parbe? Na parle, eki semester e CSE220 ar CSE221 duitai ki continue korte parbe?",173,1
175,Summer 2025 e advising confirm korar result ki?,174,1
176,Summer 2025 er Wishlist event er purpose ki?,175,1
177,TBA kobe reveal hoy?,176,1
178,"TBA mane ki, ar TBA bolte asholei ke bujhay?",177,1
179,Wishlist confirm korar por ki change kora jay?,178,1
180,Wishlist course select korar age student ra tader curriculum kothay review korbe?,179,1
181,Wishlist e unnecessary course select na korte keno bola hoy?,180,1
182,Wishlist event e course select korar por ki korte hobe?,181,1
183,Wishlist event e participate na korle ki consequence hoy?,182,1
184,"Wishlist event e participation kora keno eto important, seta ektu bujhiye bolben?",183,1
185,Wishlist event ekta course er offer kora section shonkha ke kivabe influence kore?,184,1
186,Wishlist participation miss korle ekjon student ki register korte parbe?,185,1
187,Wishlist ta ki?,186,1
188,11th Floor e ki type er laboratory available?,187,1
190,14th Floor e ami ki pabo?,189,1
191,14th Floor er Greenhouse e ami ki pabo?,190,1
192,1st Floor e ki ki facility ache?,191,1
194,1st Floor e ki ki health service available?,193,1
195,1st Floor e male ar female washroom ami kothay pabo?,194,1
196,3rd Floor er unique feature ki ki?,195,1
197,4th Floor e ki obosthito?,196,1
199,Alumni Talk Series ta ki?,198,1
200,Amar student fee ami kothay collect korbo?,199,1
201,"Ami ki nijei Counseling and Wellness Centre e refer korte pari, naki kaw ke refer korte hobe?",200,1
202,Arabika Coffee shop ami kothay pabo?,201,1
203,Auditorium Upper Gallery ami kothay pabo?,202,1
204,BBA Department kothay?,203,1
205,BRAC Bank ar ATM gula kothay?,204,1
206,BRAC e ki gymnasium ache?,205,1
207,BRAC University campus building ki environmentally sustainable?,206,1
208,BRAC University campus e face covering niye ki kono restriction ache?,207,1
209,BRAC University campus e ki designated prayer space ache?,208,1
211,BRAC University er Counseling and Wellness Centre ki offer kore?,210,1
212,BRAC University er Fabrication Laboratory kis jonno use kora hoy?,211,1
213,BRAC University er GDLN Centre ta ki?,212,1
214,BRAC University er general contact information ta ki?,213,1
215,BRAC University er ki kono healthcare partnership ache je student der discount offer kore?,214,1
216,BRAC University er ki official university anthem ar logo usage guidance ache?,215,1
217,BRAC University er main campus address ta ki?,216,1
218,"BRAC University er main campus building koto boro, ar koto student dhorte pare?",217,1
219,BRAC University er main campus roughly koto boro?,218,1
220,BRAC University Institutional Repository ta ki?,219,1
221,BRAC University ki actual employer der shathe on-campus recruitment event host kore?,220,1
222,BRAC University ki kono notable university ranking peyeche?,221,1
223,BRAC University ki nijer alumni association ba event chalay?,222,1
224,BRAC University ki specifically job interview er jonno student der prepare korte help kore?,223,1
225,BRAC University main campus building er ground floor e ami ki pabo?,224,1
226,BRAC University Medical Center ki ki service provide kore?,225,1
227,BRAC University Medical Center koto shomoy khola thake?,226,1
228,BRAC University te cafeteria ar catering service ke manage kore?,227,1
229,BRAC University te ki dress code policy ache?,228,1
230,BRAC University te ki smoke-free campus policy ache?,229,1
231,BRAC University te student der jonno ki medical center ache?,230,1
232,Cafeteria ami kothay pabo?,231,1
233,Cafeteria din er kototuku shomoy khola thake?,232,1
234,Campus e ami kothay yoga practice korte pari?,233,1
235,Campus e ATM ami kothay pabo?,234,1
236,Campus e Brac Bank ki ki service provide kore?,235,1
237,Campus e ki food ar beverage service available?,236,1
238,Campus e lecture theater ami kothay pabo?,237,1
239,Campus e social interaction er jonno jaiga kothay pabo?,238,1
240,Campus e social interaction space ami kothay pabo?,239,1
241,Campus e student discipline ar safety issue ke handle kore?,240,1
242,Campus ta ke design koreche?,241,1
245,Central Control Room er pashe ki obosthito?,244,1
246,Central Control Room kothay obosthito?,245,1
247,Chancellery te ki type er event hote pare?,246,1
248,Childcare Center access korte chaile ki korbo?,247,1
249,Clubroom gula kothay obosthito?,248,1
250,Counseling and Wellness Centre ki tar service er jonno charge kore?,249,1
251,Counseling Unit ke ami kivabe contact korbo?,250,1
252,Counseling Unit ki type er counseling service provide kore?,251,1
253,Cricket ar football er field gula kothay obosthito?,252,1
254,CSE Department kothay?,253,1
255,CSE Lab gula kothay obosthito?,254,1
256,CSE/CS department er printing lab kothay?,255,1
257,Cycle Garage kothay obosthito?,256,1
258,DCO er office kothay?,257,1
259,Duita ground er Dressing Room ami kothay pabo?,258,1
260,EEE department er printing Lab kothay?,259,1
261,EEE Department kothay?,260,1
262,"Ekhonkar BRAC University campus building ke design koreche, ar construction kobe shuru hoyechilo?",261,1
263,ENH Department kothay?,262,1
264,Entrepreneurship Center kothay?,263,1
265,Female der Prayer Room ami kivabe access korbo?,264,1
266,Female der Prayer Room ami kothay pabo?,265,1
269,Field e (Cricket ar Football) ki ki activity available?,268,1
270,Finance & Accounts Office ki ki service offer kore?,269,1
271,Generator Room e ki ki amenities available?,270,1
272,Generator Room kothay obosthito?,271,1
273,Guardian ra ashle kothay wait korte parben?,272,1
274,Gym user der jonno changing room ami kothay pabo?,273,1
275,Indoor game room kothay obosthito?,274,1
276,Information desk ta kothay?,275,1
277,Kon floor e Office of Co-Curricular Activities ar Student Life offices ache?,276,1
278,Kon kon room ke lecture theatre hisebe bebohar kora hoy?,277,1
279,Koyta restroom ache?,278,1
280,Learning Labs ar Classroom gula kothay obosthito?,279,1
281,Learning Labs/Classrooms ami kivabe access korbo?,280,1
282,Library te ami kivabe jabo?,281,1
283,Main campus building er modhye Medical Center kothay obosthito?,282,1
286,Medical Center ki pregnant student ba family planning er jonno support offer kore?,285,1
287,Medical Centre kothay?,286,1
288,Multi-purpose hall kothay?,287,1
289,Multipurpose Hall ami kivabe access korbo?,288,1
290,Multipurpose Hall e ki type er event hote pare?,289,1
291,"OCSAR ta ki, ar eta student der jonno ki kore?",290,1
292,Office of Academic Advising (OAA) er dayittwo ki?,291,1
293,Office of Academic Advising er role ta ki?,292,1
294,Office of Academic Advising kothay obosthito?,293,1
295,Print korar jonno jaiga gula thik kon kon jaygay ache?,294,1
296,Proctor's Office er function ta ki?,295,1
297,Professional Skills Development Program (PSDP) ta ki?,296,1
298,Reception kothay obosthito?,297,1
299,Reception theke shobcheye kach er ATM kothay?,298,1
300,Roof/13th Floor e ki ki activity kora jay?,299,1
301,Rooftop ta thik kobe theke khule debe?,300,1
302,Second floor e ki ache?,301,1
303,Security Supervisor Office e ki check kora hoy?,302,1
304,Security Supervisor Office er function ta ki?,303,1
305,Social Interaction Space e ami ki type er activity korte pari?,304,1
306,"Student Information Centre kothay obosthito, ar shei floor e ar ki ache?",305,1
307,Student Life services er operating hour koto?,306,1
308,Student Life services shomporke amar ki jana uchit?,307,1
309,Student Life Store e student der jonno ki ki facility available?,308,1
310,Student ra club ar activity te kothay participate korte pare?,309,1
311,Student ra Gymnasium kivabe use korte pare?,310,1
312,University er madhome internship ba job opening ami kivabe khuje pabo?,311,1
313,"'Incomplete' (I) grade ta ki, ar Retake theke eta kivabe different?",312,1
314,"'W' grade ta ki, ar eta ki amar CGPA ke affect kore?",313,1
315,B- ba tar niche paile course repeat korle maximum ki grade pete pari?,314,1
316,BRAC University kon grading scale use kore?,315,1
317,BRAC University te 'Retake' ar 'Repeat' er modhye difference ta ki?,316,1
318,BRACU te koto ghono ghono exam hoy?,317,1
319,BRACU te pass ar fail grade gula ki ki?,318,1
320,CGPA er upor base kore undergraduate student ra graduation e ki ki academic honor pete pare?,319,1
321,CGPA ta thik kon niyome calculate kora hoy?,320,1
322,Chancellor's Gold Medal ar Vice-Chancellor's Gold Medal ta ki?,321,1
323,"Dean's List ar Vice-Chancellor's (VC's) List ta ki, ar ami kivabe qualify korbo?",322,1
324,Ekta class e teacher er grading fair kina ta check kora hoy ki?,323,1
325,Ekta course er final grade e attendance theke koto ashe?,324,1
326,"Exam e 'unfair means' bole ki count hoy, ar dhora porle ki hoy?",325,1
327,Exam er modhye cheating dhora porle student er upor ki byabostha neya hoy?,326,1
328,Exam er scheduling e conflict thakle student der ki korte hoy?,327,1
329,Exam hall e ki ki jinish prohibited?,328,1
330,Exam hall e student der koto age ashte hobe?,329,1
331,F grade paile ekta student koyti bar course retake korte parbe?,330,1
332,Final exam e boste hole minimum koto class attendance lagbe?,331,1
333,"Good academic standing e thakte amar CGPA koto lagbe, ar kobe amake probation e felbe?",332,1
334,GPA calculate korte BRAC University kon formula use kore?,333,1
335,Grade e bhul mone hole student ra ki appeal korte pare?,334,1
336,Grade Point Average (GPA) kivabe calculate kora hoy?,335,1
337,Illness er jonno exam miss korle make-up exam er jonno apply korar procedure ta ki?,336,1
338,Letter grade er bodole ami ki course ta Pass/Fail basis e nite parbo?,337,1
339,Make-up exam dile ki extra fee lage?,338,1
340,Official drop deadline pero gele o ami ki course drop korte parbo?,339,1
341,Officially withdraw na kore course chere dile ki hoy?,340,1
342,Onno university theke credit transfer kora student ra ki Gold Medal er eligible?,341,1
343,Original exam date er por make-up exam koto taratari schedule hoy?,342,1
344,Pass/Fail ba Satisfactory/Unsatisfactory grade ki Dean's List ba VC's List er eligibility credit e count hoy?,343,1
345,Prothom semester er por amar CGPA 1.0 er niche thakle ki hoy?,344,1
346,"Repeat/retake exam er jonno fee keno lage, ar keno eta regular rate e charge kora hoy?",345,1
347,Retake ba repeat kora course amar final transcript e dekhabe?,346,1
348,Semester e student er grade kon kon assessment diye toiri hoy?,347,1
349,"Shob quiz, test ar assignment e attend korte hobe, naki kichu skip kora jay?",348,1
350,Shuru er semester gula te student der jonno ki kono CGPA cushion ache?,349,1
351,Student ra exam schedule ta thik kothay theke pete pare?,350,1
352,Summer 2026 er moto refund window e course withdraw korle ami ki refund pabo?,351,1
353,Valid reason e student final exam miss korle course teacher er ki korte hoy?,352,1
354,Withdrawal face korar age koto din student minimum CGPA er niche thakte pare?,353,1
355,Withdrawal hisebe na dekhiye course drop korar deadline ta kobe?,354,1
356,2022 er BRAC University WUDC-jeta team final e kake hariyechilo?,355,1
357,Academic workload er shathe extracurricular activity kivabe balance korbo?,356,1
358,Amar major er shathe related professional ba academic club ki ache?,357,1
359,Ami ki nijer club shuru korte pari? Process ta ki?,358,1
360,Ami kivabe ekta club ba organization e join korbo?,359,1
361,BRAC Masters Invitational ta ki?,360,1
362,BRAC University Community Service Club (BUCSC) ta kis niye?,361,1
363,BRAC University Computer Club (BUCC) ki kaj kore?,362,1
364,BRAC University er club gula ki inter-university cultural competition e compete koreche?,363,1
365,BRAC University er debate team recently inter-university tournament e success peyeche ki?,364,1
366,BRAC University er football team ki kono major inter-university tournament jiteche?,365,1
367,BRAC University Football League (BUFL) ta ki?,366,1
368,BRAC University ki kokhono World Universities Debating Championship (WUDC) jitteche?,367,1
369,"BRAC University Multicultural Club (BUMC) ta ki, ar eta ki type er event chalay?",368,1
370,BRAC University niyomito inter-university sports tournament e part nay ki?,369,1
371,BRAC University protita semester e notun student der jonno official orientation event kore ki?,370,1
372,BRAC University Savar Residential Campus e cultural performance kore ki?,371,1
373,BRAC University student ra university er baire academic/cultural conference e compete kore ki?,372,1
374,BRAC University te club ar society kon office dekhashona kore?,373,1
375,BRAC University te club ba society te join kora ki mandatory?,374,1
376,BRAC University te mote koto club ar society ache?,375,1
377,BRAC University te notun club shuru korte basic requirement ar application process ta ki?,376,1
378,BRAC University te student ra join korte pare emon club er kichu example ki ki?,377,1
379,Club Activities theke Certificate kivabe pabo,378,1
380,Club ba sports team e join korte ki kono cost lage?,379,1
381,Club event er por report kivabe submit korbo?,380,1
382,"Club Executive Committee election, membership ar term niye ar ki ki rules ache?",381,1
383,Club Executive Committee member der jonno ki CGPA ar credit requirement lage?,382,1
384,Club outdoor activity ba study tour organize korar process ta ki?,383,1
385,Club outdoor activity ba tour er jonno kivabe apply korbo?,384,1
