orig_id,para_id,category,split,orig_question,para_question,found_original_chunk_top5,rank_of_original_chunk,found_any_correct_answer_top5
283,252,Advising,val,What should a student do if he misses a deadline of something?,"Random question, what should a student do if he misses a deadline of something?",True,2.0,True
313,348,Campus,val,Does BRAC University have an official university anthem and logo usage guidance?,"Random question, does BRAC University have an official university anthem and logo usage guidance?",True,2.0,True
331,392,Campus,test,How can I access the Prayer Room for females?,What steps do I need to follow to access the Prayer Room for females?,True,2.0,True
365,308,Campus,test,What facilities are available on the 5th Floor?,Curious about something: what facilities are available on the 5th Floor?,True,2.0,True
384,351,Campus,val,What kind of activities can I do at the Social Interaction Space?,"Sorry if this was already answered, but what kind of activities can I do at the Social Interaction Space?",True,2.0,True
411,340,Campus,val,Where can I find lecture theaters on campus?,I looked around the site but couldn't find it — where can I find lecture theaters on campus?,True,1.0,True
417,326,Campus,test,Where can I find the Dressing Room for the two grounds?,"Hey, where can I find the Dressing Room for the two grounds?",True,1.0,True
444,422,Campus,test,Where is the printing locations?,Where can I find the printing locations?,False,,False
476,458,Exams and Grading,test,Can students appeal their grades if they believe there has been a mistake?,Are students allowed to appeal their grades if they believe there has been a mistake?,True,2.0,True
476,549,Exams and Grading,test,Can students appeal their grades if they believe there has been a mistake?,"Kind of urgent, but can students appeal their grades if they believe there has been a mistake?",True,1.0,True
476,563,Exams and Grading,test,Can students appeal their grades if they believe there has been a mistake?,One thing I couldn't find anywhere: can students appeal their grades if they believe there has been a mistake?,True,2.0,True
492,462,Exams and Grading,val,Do retaken or repeated courses show up on my final transcript?,Before I forget to ask — do retaken or repeated courses show up on my final transcript?,True,1.0,True
492,485,Exams and Grading,val,Do retaken or repeated courses show up on my final transcript?,Curious about something: do retaken or repeated courses show up on my final transcript?,True,2.0,True
492,568,Exams and Grading,val,Do retaken or repeated courses show up on my final transcript?,Quick question — do retaken or repeated courses show up on my final transcript?,True,1.0,True
514,486,Exams and Grading,test,How early should students arrive at the exam hall?,Curious about something: how early should students arrive at the exam hall?,True,2.0,True
514,561,Exams and Grading,test,How early should students arrive at the exam hall?,"Not sure if this is covered elsewhere, but how early should students arrive at the exam hall?",True,1.0,True
517,555,Exams and Grading,val,How long can a student remain below the minimum CGPA before facing withdrawal?,"New student here, how long can a student remain below the minimum CGPA before facing withdrawal?",True,2.0,True
517,569,Exams and Grading,val,How long can a student remain below the minimum CGPA before facing withdrawal?,Quick question — how long can a student remain below the minimum CGPA before facing withdrawal?,True,1.0,True
602,481,Exams and Grading,test,What is the formula BRAC University uses to calculate GPA?,Can you tell me what the formula BRAC University uses to calculate GPA is?,True,2.0,True
602,552,Exams and Grading,test,What is the formula BRAC University uses to calculate GPA?,"Kind of urgent, but what is the formula BRAC University uses to calculate GPA?",True,1.0,True
604,484,Exams and Grading,val,What is the procedure to apply for a make-up exam if a student misses an exam due to illness?,Can you tell me what the procedure to apply for a make-up exam if a student misses an exam due to illness is?,True,2.0,True
604,547,Exams and Grading,val,What is the procedure to apply for a make-up exam if a student misses an exam due to illness?,"Just wondering, what is the procedure to apply for a make-up exam if a student misses an exam due to illness?",True,1.0,True
605,468,Exams and Grading,test,What items are prohibited in the exam hall?,Before I forget to ask — what items are prohibited in the exam hall?,True,1.0,True
605,491,Exams and Grading,test,What items are prohibited in the exam hall?,Curious about something: what items are prohibited in the exam hall?,True,2.0,True
608,578,Exams and Grading,test,What should a course teacher do if a student misses the final exam for a valid reason?,"Random question, what should a course teacher do if a student misses the final exam for a valid reason?",True,3.0,True
608,587,Exams and Grading,test,What should a course teacher do if a student misses the final exam for a valid reason?,"This might be a silly question, but what should a course teacher do if a student misses the final exam for a valid reason?",True,1.0,True
609,469,Exams and Grading,test,What should students do if they have a scheduling conflict with their exams?,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,True,1.0,True
609,579,Exams and Grading,test,What should students do if they have a scheduling conflict with their exams?,"Random question, what should students do if they have a scheduling conflict with their exams?",True,2.0,True
647,664,Extracurricular Activities,val,Does BRAC University hold an official orientation event for new students each semester?,"Hi, does BRAC University hold an official orientation event for new students each semester?",True,1.0,True
647,728,Extracurricular Activities,val,Does BRAC University hold an official orientation event for new students each semester?,"This might be a silly question, but does BRAC University hold an official orientation event for new students each semester?",True,1.0,True
654,618,Extracurricular Activities,test,Has BRAC University ever won the World Universities Debating Championship (WUDC)?,Before I forget to ask — has BRAC University ever won the World Universities Debating Championship (WUDC)?,True,1.0,True
654,719,Extracurricular Activities,test,Has BRAC University ever won the World Universities Debating Championship (WUDC)?,"Random question, has BRAC University ever won the World Universities Debating Championship (WUDC)?",True,2.0,True
672,697,Extracurricular Activities,test,How can I stay updated on upcoming games and events?,"Kind of urgent, but how can I stay updated on upcoming games and events?",True,1.0,True
672,757,Extracurricular Activities,test,How can I stay updated on upcoming games and events?,What steps do I need to follow to stay updated on upcoming games and events?,True,3.0,True
682,659,Extracurricular Activities,test,How to submit report after a club event?,"Hey, how to submit report after a club event?",True,1.0,True
682,684,Extracurricular Activities,test,How to submit report after a club event?,I looked around the site but couldn't find it — how to submit report after a club event?,True,1.0,True
694,700,Extracurricular Activities,val,Is joining a club or society mandatory at BRAC University?,"Kind of urgent, but is joining a club or society mandatory at BRAC University?",True,1.0,True
694,724,Extracurricular Activities,val,Is joining a club or society mandatory at BRAC University?,"Sorry if this was already answered, but is joining a club or society mandatory at BRAC University?",True,1.0,True
733,627,Extracurricular Activities,test,What are the basic requirements and application process to start a new club at BRAC University?,Can you tell me what the basic requirements and application process to start a new club at BRAC University are?,True,2.0,True
733,639,Extracurricular Activities,test,What are the basic requirements and application process to start a new club at BRAC University?,Curious about something: what are the basic requirements and application process to start a new club at BRAC University?,True,2.0,True
734,660,Extracurricular Activities,val,What CGPA and credit requirements apply to club Executive Committee members?,"Hey, what CGPA and credit requirements apply to club Executive Committee members?",True,1.0,True
734,702,Extracurricular Activities,val,What CGPA and credit requirements apply to club Executive Committee members?,"New student here, what CGPA and credit requirements apply to club Executive Committee members?",True,3.0,True
739,628,Extracurricular Activities,val,What is the basic structure of a club's Executive Committee and Director panel?,Can you tell me what the basic structure of a club's Executive Committee and Director panel is?,True,2.0,True
745,633,Extracurricular Activities,val,What is the IEEE Computer Society BRACU Student Branch Chapter known for?,Can you tell me what the IEEE Computer Society BRACU Student Branch Chapter known for is?,True,2.0,True
745,667,Extracurricular Activities,val,What is the IEEE Computer Society BRACU Student Branch Chapter known for?,"Hi, what is the IEEE Computer Society BRACU Student Branch Chapter known for?",True,1.0,True
746,634,Extracurricular Activities,test,What is the process for arranging food or refreshments for events?,Can you tell me what the process for arranging food or refreshments for events is?,True,2.0,True
750,688,Extracurricular Activities,test,What opportunities are there for student leadership in volunteer organizations?,I looked around the site but couldn't find it — what opportunities are there for student leadership in volunteer organizations?,True,3.0,True
750,731,Extracurricular Activities,test,What opportunities are there for student leadership in volunteer organizations?,"This might be a silly question, but what opportunities are there for student leadership in volunteer organizations?",True,3.0,True
753,689,Extracurricular Activities,test,What sports teams does the university have?,I looked around the site but couldn't find it — what sports teams does the university have?,True,1.0,True
753,704,Extracurricular Activities,test,What sports teams does the university have?,"New student here, what sports teams does the university have?",True,2.0,True
789,777,International Student,val,Do international students get help with their student visa for Bangladesh?,Curious about something: do international students get help with their student visa for Bangladesh?,True,4.0,True
789,799,International Student,val,Do international students get help with their student visa for Bangladesh?,For a friend who's asking — do international students get help with their student visa for Bangladesh?,True,2.0,True
789,802,International Student,val,Do international students get help with their student visa for Bangladesh?,"Hey, do international students get help with their student visa for Bangladesh?",True,2.0,True
789,885,International Student,val,Do international students get help with their student visa for Bangladesh?,"Random question, do international students get help with their student visa for Bangladesh?",True,4.0,True
789,896,International Student,val,Do international students get help with their student visa for Bangladesh?,"This might be a silly question, but do international students get help with their student visa for Bangladesh?",True,2.0,True
790,778,International Student,test,Do international students need to submit any medical reports?,Curious about something: do international students need to submit any medical reports?,True,4.0,True
790,803,International Student,test,Do international students need to submit any medical reports?,"Hey, do international students need to submit any medical reports?",True,4.0,True
790,842,International Student,test,Do international students need to submit any medical reports?,"Just wondering, do international students need to submit any medical reports?",True,4.0,True
790,853,International Student,test,Do international students need to submit any medical reports?,"New student here, do international students need to submit any medical reports?",True,5.0,True
822,764,International Student,test,How many credit hours must a scholarship-holding international student take each semester?,Before I forget to ask — how many credit hours must a scholarship-holding international student take each semester?,True,1.0,True
822,783,International Student,test,How many credit hours must a scholarship-holding international student take each semester?,Curious about something: how many credit hours must a scholarship-holding international student take each semester?,True,3.0,True
822,791,International Student,test,How many credit hours must a scholarship-holding international student take each semester?,Do you know how many credit hours must a scholarship-holding international student take each semester?,True,3.0,True
822,833,International Student,test,How many credit hours must a scholarship-holding international student take each semester?,"I wanted to ask, how many credit hours must a scholarship-holding international student take each semester?",True,3.0,True
822,887,International Student,test,How many credit hours must a scholarship-holding international student take each semester?,"Random question, how many credit hours must a scholarship-holding international student take each semester?",True,3.0,True
840,767,International Student,test,Is there any scholarship scheme for international students?,Before I forget to ask — is there any scholarship scheme for international students?,True,1.0,True
840,795,International Student,test,Is there any scholarship scheme for international students?,Does BRAC University have any scholarship scheme for international students?,False,,False
840,815,International Student,test,Is there any scholarship scheme for international students?,"Hi, is there any scholarship scheme for international students?",True,1.0,True
840,848,International Student,test,Is there any scholarship scheme for international students?,"Kind of urgent, but is there any scholarship scheme for international students?",True,1.0,True
912,836,International Student,val,Who manages accommodation for international students at BRAC University?,"I wanted to ask, who manages accommodation for international students at BRAC University?",True,5.0,True
912,868,International Student,val,Who manages accommodation for international students at BRAC University?,"Not sure if this is covered elsewhere, but who manages accommodation for international students at BRAC University?",True,2.0,True
912,878,International Student,val,Who manages accommodation for international students at BRAC University?,One thing I couldn't find anywhere: who manages accommodation for international students at BRAC University?,True,3.0,True
912,889,International Student,val,Who manages accommodation for international students at BRAC University?,"Random question, who manages accommodation for international students at BRAC University?",True,5.0,True
912,895,International Student,val,Who manages accommodation for international students at BRAC University?,"Sorry if this was already answered, but who manages accommodation for international students at BRAC University?",True,2.0,True
915,924,Library,test,"Are journals, magazines and reference books available for borrowing?","Can someone help — are journals, magazines and reference books available for borrowing?",True,4.0,True
915,954,Library,test,"Are journals, magazines and reference books available for borrowing?","For a friend who's asking — are journals, magazines and reference books available for borrowing?",True,4.0,True
915,991,Library,test,"Are journals, magazines and reference books available for borrowing?","Just wondering, are journals, magazines and reference books available for borrowing?",True,4.0,True
915,1027,Library,test,"Are journals, magazines and reference books available for borrowing?","Quick question — are journals, magazines and reference books available for borrowing?",True,4.0,True
915,1043,Library,test,"Are journals, magazines and reference books available for borrowing?","This might be a silly question, but are journals, magazines and reference books available for borrowing?",True,4.0,True
922,913,Library,test,Can I renew a book I have borrowed from the library?,Am I allowed to renew a book I have borrowed from the library?,True,2.0,True
922,916,Library,test,Can I renew a book I have borrowed from the library?,Before I forget to ask — can I renew a book I have borrowed from the library?,True,1.0,True
922,1013,Library,test,Can I renew a book I have borrowed from the library?,No idea if this is written down anywhere — can I renew a book I have borrowed from the library?,True,4.0,True
922,1021,Library,test,Can I renew a book I have borrowed from the library?,One thing I couldn't find anywhere: can I renew a book I have borrowed from the library?,True,4.0,True
922,1038,Library,test,Can I renew a book I have borrowed from the library?,"Sorry if this was already answered, but can I renew a book I have borrowed from the library?",True,1.0,True
1025,927,Library,test,Provide me the contact information of library staffs.,Can someone help — provide me the contact information of library staffs?,True,4.0,True
1025,959,Library,test,Provide me the contact information of library staffs.,For a friend who's asking — provide me the contact information of library staffs?,True,4.0,True
1025,986,Library,test,Provide me the contact information of library staffs.,"I wanted to ask, provide me the contact information of library staffs?",True,5.0,True
1025,1011,Library,test,Provide me the contact information of library staffs.,"New student here, provide me the contact information of library staffs?",True,5.0,True
1025,1048,Library,test,Provide me the contact information of library staffs.,"This might be a silly question, but provide me the contact information of library staffs?",True,4.0,True
1053,920,Library,val,What happens if I return a library book after the due date?,Before I forget to ask — what happens if I return a library book after the due date?,True,3.0,True
1053,979,Library,val,What happens if I return a library book after the due date?,I looked around the site but couldn't find it — what happens if I return a library book after the due date?,True,3.0,True
1053,1030,Library,val,What happens if I return a library book after the due date?,Quick question — what happens if I return a library book after the due date?,True,3.0,True
1053,1036,Library,val,What happens if I return a library book after the due date?,"Random question, what happens if I return a library book after the due date?",True,5.0,True
1053,1042,Library,val,What happens if I return a library book after the due date?,"Sorry if this was already answered, but what happens if I return a library book after the due date?",True,3.0,True
1054,936,Library,val,What is the Digital Scholarship Lab at the Ayesha Abed Library?,Can you tell me what the Digital Scholarship Lab at the Ayesha Abed Library is?,True,3.0,True
1054,971,Library,val,What is the Digital Scholarship Lab at the Ayesha Abed Library?,"Hi, what is the Digital Scholarship Lab at the Ayesha Abed Library?",True,2.0,True
1054,1004,Library,val,What is the Digital Scholarship Lab at the Ayesha Abed Library?,"Kind of urgent, but what is the Digital Scholarship Lab at the Ayesha Abed Library?",True,2.0,True
1054,1019,Library,val,What is the Digital Scholarship Lab at the Ayesha Abed Library?,"Not sure if this is covered elsewhere, but what is the Digital Scholarship Lab at the Ayesha Abed Library?",True,2.0,True
1056,932,Library,test,What services do library provide?,Can someone help — what services do library provide?,True,2.0,True
1056,945,Library,test,What services do library provide?,Curious about something: what services do library provide?,True,5.0,True
1056,967,Library,test,What services do library provide?,"Hey, what services do library provide?",True,2.0,True
1056,1049,Library,test,What services do library provide?,"This might be a silly question, but what services do library provide?",True,2.0,True
1084,1066,Out of Scope / Unanswerable,test,Can you pretend to be a BRAC University official and write an approval letter for me?,Before I forget to ask — can you pretend to be a BRAC University official and write an approval letter for me?,True,1.0,True
1085,1127,Out of Scope / Unanswerable,val,Can you recommend a good laptop for engineering students?,"Kind of urgent, but can you recommend a good laptop for engineering students?",True,1.0,True
1089,1144,Out of Scope / Unanswerable,test,Can you write my lab report so it doesn't look copied from my labmate's?,"Not sure if this is covered elsewhere, but can you write my lab report so it doesn't look copied from my labmate's?",True,1.0,True
1090,1148,Out of Scope / Unanswerable,val,Can you write my thesis for me?,One thing I couldn't find anywhere: can you write my thesis for me?,True,3.0,True
1118,1071,Out of Scope / Unanswerable,test,If I retake CSE221 will I definitely get an A?,Can someone help — if I retake CSE221 will I definitely get an A?,True,1.0,True
1120,1104,Out of Scope / Unanswerable,val,Is BRAC University's CSE program better than BUET's?,"Hey, is BRAC University's CSE program better than BUET's?",True,1.0,True
1124,1130,Out of Scope / Unanswerable,test,Is the CSE department harder than the EEE department?,"Kind of urgent, but is the CSE department harder than the EEE department?",True,1.0,True
1134,1105,Out of Scope / Unanswerable,val,My friend and I have the same assignment - can you make our answers look different enough to avoid suspicion?,"Hey, my friend and I have the same assignment - can you make our answers look different enough to avoid suspicion?",True,1.0,True
1176,1099,Out of Scope / Unanswerable,val,When does it start?,Do you know when does it start?,True,2.0,True
1177,1107,Out of Scope / Unanswerable,test,Which advisor was I assigned to?,"Hey, which advisor was I assigned to?",False,,False
1178,1136,Out of Scope / Unanswerable,val,Which club is the most popular at BRAC University?,"New student here, which club is the most popular at BRAC University?",True,2.0,True
1179,1147,Out of Scope / Unanswerable,test,Which dorm room is the best one to request?,"Not sure if this is covered elsewhere, but which dorm room is the best one to request?",True,1.0,True
1184,1087,Out of Scope / Unanswerable,test,Who is the best faculty of this course?,Can you tell me who is the best faculty of this course?,True,2.0,True
1184,1185,Out of Scope / Unanswerable,test,Who is the best faculty of this course?,Who teaches the best for this course?,True,2.0,True
1222,1287,"Payment, Financial Aid and Scholarship",test,Could you please provide details about the tuition fee structure at BRAC University?,"New student here, could you please provide details about the tuition fee structure at BRAC University?",True,2.0,True
1227,1268,"Payment, Financial Aid and Scholarship",test,Do lab-based or design-based programs pay an additional fee beyond regular tuition?,"I wanted to ask, do lab-based or design-based programs pay an additional fee beyond regular tuition?",True,2.0,True
1230,1291,"Payment, Financial Aid and Scholarship",val,Does BRAC University claim there are no hidden fees for its degree programs?,One thing I couldn't find anywhere: does BRAC University claim there are no hidden fees for its degree programs?,True,2.0,True
1251,1332,"Payment, Financial Aid and Scholarship",val,How can I apply for the scholarship?,What steps do I need to follow to apply for the scholarship?,True,4.0,True
1261,1206,"Payment, Financial Aid and Scholarship",test,How to contact with BRACU Finance and Accounts Department?,Can someone help — how to contact with BRACU Finance and Accounts Department?,True,1.0,True
1276,1301,"Payment, Financial Aid and Scholarship",val,Is the admission application fee the same regardless of which payment method I use?,"Random question, is the admission application fee the same regardless of which payment method I use?",True,2.0,True
1282,1240,"Payment, Financial Aid and Scholarship",test,Is there any separate exam for awarding Scholarship/Financial Aid?,Does BRAC University have any separate exam for awarding Scholarship/Financial Aid?,True,2.0,True
1314,1215,"Payment, Financial Aid and Scholarship",test,What are the eligibility criteria for receiving financial aid?,Can you tell me what the eligibility criteria for receiving financial aid are?,True,2.0,True
1321,1298,"Payment, Financial Aid and Scholarship",val,What criteria are used to select scholarship recipients?,Quick question — what criteria are used to select scholarship recipients?,True,1.0,True
1322,1294,"Payment, Financial Aid and Scholarship",val,"What do the scholarships at BRAC University cover (tuition, fees, living expenses, etc.)?","One thing I couldn't find anywhere: what do the scholarships at BRAC University cover (tuition, fees, living expenses, etc.)?",True,2.0,True
1326,1209,"Payment, Financial Aid and Scholarship",test,What is BRAC Scholarship?,Can you tell me what BRAC Scholarship is?,False,,True
1330,1266,"Payment, Financial Aid and Scholarship",val,What scholarship policies exist at BRAC University?,I looked around the site but couldn't find it — what scholarship policies exist at BRAC University?,True,1.0,True
1331,1309,"Payment, Financial Aid and Scholarship",val,What scholarships are offered by BRAC University?,"This might be a silly question, but what scholarships are offered by BRAC University?",True,1.0,True
1334,1304,"Payment, Financial Aid and Scholarship",test,What undergraduate tuition waiver is available based on SSC/HSC or A-Level results?,"Sorry if this was already answered, but what undergraduate tuition waiver is available based on SSC/HSC or A-Level results?",True,1.0,True
1336,1296,"Payment, Financial Aid and Scholarship",test,Where can I find the official student payment manual?,One thing I couldn't find anywhere: where can I find the official student payment manual?,True,2.0,True
1360,1347,Policies and Procedures,val,Can students use BRAC University's name on materials like letterheads without permission?,Are students allowed to use BRAC University's name on materials like letterheads without permission?,True,2.0,True
1371,1344,Policies and Procedures,test,Do I need to pay any fee to collect my degree certificate at Convocation?,Am I required to need to pay any fee to collect my degree certificate at Convocation?,True,2.0,True
1371,1376,Policies and Procedures,test,Do I need to pay any fee to collect my degree certificate at Convocation?,For a friend who's asking — do I need to pay any fee to collect my degree certificate at Convocation?,True,1.0,True
1459,1388,Policies and Procedures,test,What exactly does the Office of the Proctor handle at BRAC University?,"Hi, what exactly does the Office of the Proctor handle at BRAC University?",True,1.0,True
1459,1424,Policies and Procedures,test,What exactly does the Office of the Proctor handle at BRAC University?,"Kind of urgent, but what exactly does the Office of the Proctor handle at BRAC University?",True,1.0,True
1461,1378,Policies and Procedures,val,"What happens if a student submits academic work that isn't original, or damages university property?","For a friend who's asking — what happens if a student submits academic work that isn't original, or damages university property?",True,1.0,True
1464,1361,Policies and Procedures,val,What is BRAC University's general dress code expectation?,Can you tell me what BRAC University's general dress code expectation is?,True,2.0,True
1465,1362,Policies and Procedures,test,What is BRAC University's policy on sexual harassment?,Can you tell me what BRAC University's policy on sexual harassment is?,True,2.0,True
1470,1365,Policies and Procedures,test,What is the Office of the Registrar responsible for at BRAC University?,Can you tell me what the Office of the Registrar responsible for at BRAC University is?,True,2.0,True
1480,1443,Policies and Procedures,val,What should I do if I lost my original payment receipt needed for gown collection or refund?,One thing I couldn't find anywhere: what should I do if I lost my original payment receipt needed for gown collection or refund?,True,3.0,True
1480,1446,Policies and Procedures,val,What should I do if I lost my original payment receipt needed for gown collection or refund?,Quick question — what should I do if I lost my original payment receipt needed for gown collection or refund?,True,1.0,True
1481,1449,Policies and Procedures,test,What should I do if I miss my mid/final?,"Random question, what should I do if I miss my mid/final?",True,2.0,True
1487,1352,Policies and Procedures,test,Whats the procedure for changing my section?,Before I forget to ask — whats the procedure for changing my section?,True,1.0,True
1487,1380,Policies and Procedures,test,Whats the procedure for changing my section?,For a friend who's asking — whats the procedure for changing my section?,True,1.0,True
1489,1404,Policies and Procedures,test,Whats the procedure to pay my fees in installment?,I looked around the site but couldn't find it — whats the procedure to pay my fees in installment?,True,1.0,True
1490,1432,Policies and Procedures,val,"When did BRAC University adopt Turnitin, and why?","No idea if this is written down anywhere — when did BRAC University adopt Turnitin, and why?",True,3.0,True
1490,1447,Policies and Procedures,val,"When did BRAC University adopt Turnitin, and why?","Quick question — when did BRAC University adopt Turnitin, and why?",True,2.0,True
1495,1409,Policies and Procedures,val,Who officially announces the date of BRAC University's convocation?,"I wanted to ask, who officially announces the date of BRAC University's convocation?",True,3.0,True
1495,1433,Policies and Procedures,val,Who officially announces the date of BRAC University's convocation?,No idea if this is written down anywhere — who officially announces the date of BRAC University's convocation?,True,3.0,True
1497,1560,Programs & Departments,test,Are Biotechnology and Microbiology still under the same department as Physics and Mathematics?,"Just wondering, are Biotechnology and Microbiology still under the same department as Physics and Mathematics?",True,1.0,True
1540,1522,Programs & Departments,val,How many credit-hours of General Education (GenEd) courses must every student complete?,Do you know how many credit-hours of General Education (GenEd) courses must every student complete?,True,2.0,True
1600,1552,Programs & Departments,test,What elective courses are recommended for students interested in Cybersecurity?,"I wanted to ask, what elective courses are recommended for students interested in Cybersecurity?",True,2.0,True
1608,1513,Programs & Departments,val,What is the detailed course sequence for the Bachelor of Science in Computer Science and Engineering (CSE) at BRAC University?,Can you tell me what the detailed course sequence for the Bachelor of Science in Computer Science and Engineering (CSE) at BRAC University is?,True,3.0,True
1608,1562,Programs & Departments,val,What is the detailed course sequence for the Bachelor of Science in Computer Science and Engineering (CSE) at BRAC University?,"Just wondering, what is the detailed course sequence for the Bachelor of Science in Computer Science and Engineering (CSE) at BRAC University?",True,2.0,True
1609,1514,Programs & Departments,test,What is the difference in focus between the BSEEE and BSECE programs?,Can you tell me what the difference in focus between the BSEEE and BSECE programs is?,True,2.0,True
1621,1589,Programs & Departments,val,What practical/experiential resources does the LL.M. program offer students?,"Sorry if this was already answered, but what practical/experiential resources does the LL.M. program offer students?",True,1.0,True
1627,1563,Programs & Departments,test,What types of general education courses are required for all undergraduate students at BRAC University?,"Just wondering, what types of general education courses are required for all undergraduate students at BRAC University?",True,1.0,True
1629,1502,Programs & Departments,val,What undergraduate science programs does the Department of Mathematics and Physical Sciences (MPS) offer?,Before I forget to ask — what undergraduate science programs does the Department of Mathematics and Physical Sciences (MPS) offer?,True,1.0,True
1629,1580,Programs & Departments,val,What undergraduate science programs does the Department of Mathematics and Physical Sciences (MPS) offer?,Quick question — what undergraduate science programs does the Department of Mathematics and Physical Sciences (MPS) offer?,True,1.0,True
1635,1577,Programs & Departments,val,"When was BRAC Institute of Educational Development (BRAC IED) founded, and what does it focus on?","One thing I couldn't find anywhere: when was BRAC Institute of Educational Development (BRAC IED) founded, and what does it focus on?",True,2.0,True
1640,1554,Programs & Departments,test,Where do MPH faculty members at BRAC JPGSPH come from?,"I wanted to ask, where do MPH faculty members at BRAC JPGSPH come from?",True,2.0,True
1665,1647,TARC/RS (Residential Semester),test,Can students receive visitors while at the Savar campus?,Are students allowed to receive visitors while at the Savar campus?,True,2.0,True
1665,1765,TARC/RS (Residential Semester),test,Can students receive visitors while at the Savar campus?,"Sorry if this was already answered, but can students receive visitors while at the Savar campus?",True,1.0,True
1692,1721,TARC/RS (Residential Semester),val,How are dormitory rooms and roommates assigned at the Savar campus?,"Just wondering, how are dormitory rooms and roommates assigned at the Savar campus?",True,4.0,True
1692,1748,TARC/RS (Residential Semester),val,How are dormitory rooms and roommates assigned at the Savar campus?,"Not sure if this is covered elsewhere, but how are dormitory rooms and roommates assigned at the Savar campus?",True,4.0,True
1692,1770,TARC/RS (Residential Semester),val,How are dormitory rooms and roommates assigned at the Savar campus?,"This might be a silly question, but how are dormitory rooms and roommates assigned at the Savar campus?",True,4.0,True
1693,1651,TARC/RS (Residential Semester),test,How are meal plans managed at TARC?,Before I forget to ask — how are meal plans managed at TARC?,True,1.0,True
1693,1766,TARC/RS (Residential Semester),test,How are meal plans managed at TARC?,"Sorry if this was already answered, but how are meal plans managed at TARC?",True,1.0,True
1700,1688,TARC/RS (Residential Semester),val,How to apply to go to Tarc at next semester?,"Hey, how to apply to go to Tarc at next semester?",True,1.0,True
1700,1708,TARC/RS (Residential Semester),val,How to apply to go to Tarc at next semester?,"I wanted to ask, how to apply to go to Tarc at next semester?",True,4.0,True
1700,1749,TARC/RS (Residential Semester),val,How to apply to go to Tarc at next semester?,"Not sure if this is covered elsewhere, but how to apply to go to Tarc at next semester?",True,1.0,True
