query_id,condition,query,label
AMB349,flat_notice,What is Tahsin's office room?,merged
AMB349,conditioning,What is Tahsin's office room?,merged
AMB354,no_notice,What is Tanjim's office room?,merged
AMB354,flat_notice,What is Tanjim's office room?,merged
AMB354,conditioning,What is Tanjim's office room?,merged
AMB364,no_notice,What is Tasnim's office room?,partial
AMB364,flat_notice,What is Tasnim's office room?,partial
AMB364,conditioning,What is Tasnim's office room?,partial
AMB372,no_notice,What is Upoma's office room?,merged
AMB372,flat_notice,What is Upoma's office room?,complete
AMB372,conditioning,What is Upoma's office room?,partial
AMB385,no_notice,What is Zaman's office room?,partial
AMB385,flat_notice,What is Zaman's office room?,partial
AMB385,conditioning,What is Zaman's office room?,partial
AMB387,no_notice,What is Zayed's office room?,merged
AMB387,flat_notice,What is Zayed's office room?,partial
AMB387,conditioning,What is Zayed's office room?,partial
