query_id,config,query,reference_answer,generated_answer,abstained,graph_augmented
QGX011,graph_on,What is the full prerequisite chain for CSE422?,The full prerequisite chain for CSE422 is CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE422 is CSE221-CSE220-CSE111-CSE230-CSE110.,False,True
QGX012,graph_on,What is the full prerequisite chain for CSE423?,The full prerequisite chain for CSE423 is MAT216-MAT120-MAT110.,The full prerequisite chain for CSE423 is MAT216-MAT120-MAT110.,False,True
QGX013,graph_on,What is the full prerequisite chain for CSE430?,The full prerequisite chain for CSE430 is MAT120-MAT110.,The full prerequisite chain for CSE430 is MAT120-MAT110.,False,True
QGX014,graph_on,What is the full prerequisite chain for CSE461?,The full prerequisite chain for CSE461 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE461 is CSE260-CSE251-CSE250-PHY112-PHY111.,False,True
QGX015,graph_on,What is the full prerequisite chain for CSE470?,The full prerequisite chain for CSE470 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE470 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True
QGX016,graph_on,What is the full prerequisite chain for CSE489?,The full prerequisite chain for CSE489 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE489 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True
QGX017,graph_on,What is the full prerequisite chain for ENG103?,The full prerequisite chain for ENG103 is ENG102-ENG101.,The full prerequisite chain for ENG103 is ENG102-ENG101.,False,True
QGX018,graph_on,What is the full prerequisite chain for MAT120?,The full prerequisite chain for MAT120 is MAT110.,The full prerequisite chain for MAT120 is MAT110.,False,True
QGX019,graph_on,What is the full prerequisite chain for MAT215?,The full prerequisite chain for MAT215 is MAT216-MAT120-MAT110.,The full prerequisite chain for MAT215 is MAT216-MAT120-MAT110.,False,True
Q105,graph_off,What is the full prerequisite chain for PHY112?,The full prerequisite chain for PHY112 is PHY111.,The full prerequisite chain for PHY112 is PHY111.,False,False
Q107,graph_off,What is the full prerequisite chain for CSE310?,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
Q109,graph_off,What is the full prerequisite chain for MAT216?,The full prerequisite chain for MAT216 is MAT120-MAT110.,The full prerequisite chain for MAT216 is MAT120-MAT110.,False,False
Q110,graph_off,What is the full prerequisite chain for CSE460?,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,False,False
Q113,graph_off,What is the full prerequisite chain for ENG102?,The full prerequisite chain for ENG102 is ENG101.,The full prerequisite chain for ENG102 is ENG101.,False,False
Q120,graph_off,What is the full prerequisite chain for CSE340?,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,False,False
Q121,graph_off,What is the full prerequisite chain for CSE471?,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
Q122,graph_off,What is the full prerequisite chain for CSE260?,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,"The full prerequisite chain for CSE260 is not explicitly stated in the retrieved context, as it only lists courses that have CSE260 as a prerequisite.",False,False
Q124,graph_off,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE341 is CSE340-CSE321.,False,False
Q127,graph_off,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,False,False
Q129,graph_off,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,The full prerequisite chain for CSE421 is CSE320.,False,False
Q130,graph_off,What is the full prerequisite chain for CSE221?,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,"The full prerequisite chain for CSE221 is not explicitly stated in the retrieved context, as it only lists courses that have CSE221 as a prerequisite.",False,False
QGX001,graph_off,What is the full prerequisite chain for CSE251?,The full prerequisite chain for CSE251 is CSE250-PHY112-PHY111.,The full prerequisite chain for CSE251 is CSE250-PHY112-PHY111.,False,False
QGX002,graph_off,What is the full prerequisite chain for CSE321?,The full prerequisite chain for CSE321 is CSE221-CSE220-CSE111-CSE230-CSE110.,"The full prerequisite chain for CSE321 is not explicitly listed in the retrieved context, as it only shows that CSE321 has prerequisites of its own (CSE340 and CSE331), but does not provide a chain leading up to it.",False,False
QGX003,graph_off,What is the full prerequisite chain for CSE330?,The full prerequisite chain for CSE330 is MAT216-MAT120-MAT110.,The full prerequisite chain for CSE330 is MAT216-MAT120-MAT110.,False,False
QGX004,graph_off,What is the full prerequisite chain for CSE331?,The full prerequisite chain for CSE331 is CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE331 is CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
QGX005,graph_off,What is the full prerequisite chain for CSE350?,The full prerequisite chain for CSE350 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE350 is CSE251-CSE250-PHY112-PHY111.,False,False
QGX006,graph_off,What is the full prerequisite chain for CSE360?,The full prerequisite chain for CSE360 is CSE341-CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE360 is CSE341-CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,False,False
QGX007,graph_off,What is the full prerequisite chain for CSE370?,The full prerequisite chain for CSE370 is CSE221-CSE220-CSE111-CSE230-CSE110.,"The full prerequisite chain for CSE370 is not explicitly stated in the retrieved context, as it only lists courses that have CSE370 as a prerequisite.",False,False
QGX008,graph_off,What is the full prerequisite chain for CSE391?,The full prerequisite chain for CSE391 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE391 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
QGX009,graph_off,What is the full prerequisite chain for CSE410?,The full prerequisite chain for CSE410 is CSE321-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE410 is CSE321-CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
QGX010,graph_off,What is the full prerequisite chain for CSE420?,The full prerequisite chain for CSE420 is CSE321-CSE331-CSE340-CSE221-CSE260-CSE220-CSE251-CSE111-CSE230-CSE250-CSE110-PHY112-PHY111.,The full prerequisite chain for CSE420 is CSE321-CSE331-CSE340-CSE221-CSE260-CSE220-CSE251-CSE111-CSE230-CSE250-CSE110-PHY112-PHY111.,False,False
QGX011,graph_off,What is the full prerequisite chain for CSE422?,The full prerequisite chain for CSE422 is CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE422 is CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
QGX012,graph_off,What is the full prerequisite chain for CSE423?,The full prerequisite chain for CSE423 is MAT216-MAT120-MAT110.,The full prerequisite chain for CSE423 is MAT216-MAT120-MAT110.,False,False
QGX013,graph_off,What is the full prerequisite chain for CSE430?,The full prerequisite chain for CSE430 is MAT120-MAT110.,The full prerequisite chain for CSE430 is MAT120-MAT110.,False,False
QGX014,graph_off,What is the full prerequisite chain for CSE461?,The full prerequisite chain for CSE461 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE461 is CSE260-CSE251-CSE250-PHY112-PHY111.,False,False
QGX015,graph_off,What is the full prerequisite chain for CSE470?,The full prerequisite chain for CSE470 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE470 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
QGX016,graph_off,What is the full prerequisite chain for CSE489?,The full prerequisite chain for CSE489 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE489 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,False
QGX017,graph_off,What is the full prerequisite chain for ENG103?,The full prerequisite chain for ENG103 is ENG102-ENG101.,The full prerequisite chain for ENG103 is ENG102-ENG101.,False,False
QGX018,graph_off,What is the full prerequisite chain for MAT120?,The full prerequisite chain for MAT120 is MAT110.,The full prerequisite chain for MAT120 is MAT110.,False,False
QGX019,graph_off,What is the full prerequisite chain for MAT215?,The full prerequisite chain for MAT215 is MAT216-MAT120-MAT110.,The full prerequisite chain for MAT215 is MAT216-MAT120-MAT110.,False,False
