query_id,condition,query,field_asked,answer,avoids_false_confidence,asks_for_clarification,offers_disambiguator,parse_failed,avoids_false_confidence_OLD_holistic
AMBX004,conditioning_v2,What is Abdullah's employment status?,status,Which one do you mean: C. Lecturer (Contractual) or Lecturer (Full Time)?,1,1,0,False,0
AMBX005,no_notice,What is Abid's office room?,office_room,Abid's office room is 4M116.,0,0,0,False,0
AMBX005,flat_notice,What is Abid's office room?,office_room,Abid's office room is 4M116.,0,0,0,False,0
AMBX005,conditioning,What is Abid's office room?,office_room,Abid's office room is 4M116.,0,0,0,False,0
AMBX005,conditioning_v2,What is Abid's office room?,office_room,Abid's office room is 4M116.,0,0,0,False,0
AMBX006,no_notice,What is Abid's email address?,email,I cannot provide personal information about a specific individual. Is there anything else I can help you with?,1,0,0,False,0
AMBX006,flat_notice,What is Abid's email address?,email,I cannot provide personal information about a specific individual. Is there anything else I can help you with?,1,0,0,False,0
AMBX006,conditioning,What is Abid's email address?,email,I don't have enough information to answer your question. The retrieved context does not mention a person named Abid or provide any details about their email address.,1,0,0,False,1
AMBX006,conditioning_v2,What is Abid's email address?,email,"I'm unable to answer that question as there is no information in the retrieved context about a person named Abid, including their designation or any details that would allow me to determine their email address.",1,0,0,False,1
AMBX007,no_notice,What is Abid's designation?,designation,"Abid Hossain Ashik's designation is C. Lecturer, and Mr. Abid Jahan Apon's designation is Lecturer.",1,0,1,False,0
AMBX007,flat_notice,What is Abid's designation?,designation,"Abid Jahan Apon's designation is a Lecturer, and Abid Hossain Ashik's designation is a C. Lecturer; please specify which Abid you are referring to in order to provide a more accurate answer.",1,1,1,False,0
AMBX007,conditioning,What is Abid's designation?,designation,"Abid Jahan Apon is a Lecturer, and Abid Hossain Ashik is a C. Lecturer; could you please clarify which specific person you are referring to?",1,1,1,False,0
AMBX007,conditioning_v2,What is Abid's designation?,designation,"Which one do you mean: Mr. Abid Jahan Apon, a Lecturer, or Abid Hossain Ashik, a C. Lecturer?",1,1,1,False,0
AMBX008,no_notice,What is Abid's employment status?,status,There is not enough information in the retrieved context to determine Abid's employment status.,1,0,0,False,1
AMBX008,flat_notice,What is Abid's employment status?,status,I'm unable to determine Abid's employment status as the retrieved context does not contain any information about a person named Abid.,1,0,0,False,0
AMBX008,conditioning,What is Abid's employment status?,status,I'm unable to determine Abid's employment status as the retrieved context does not contain any information about a person named Abid.,1,0,0,False,0
AMBX008,conditioning_v2,What is Abid's employment status?,status,"I don't have enough information in the retrieved context to answer your question about Abid's employment status, as there is no mention of a person named Abid.",1,1,0,False,0
AMBX009,no_notice,What is Ahmed's office room?,office_room,"The office room for individuals with the surname ""Ahmed"" varies, but some of them can be found in rooms 4K72, 4P197, 4M107, 4K77, 4P174, 4M130, 4L93, 4L87, and 4G12.",1,0,1,False,1
AMBX009,flat_notice,What is Ahmed's office room?,office_room,"There are multiple individuals with the name ""Ahmed"" in the knowledge base, and without knowing which specific person you mean, I cannot provide a definitive answer to your question about their office room. However, here are the matching names:

1. Sadif Ahmed
2. Md. Sabbir Ahmed
3. Ateya Ahmed Subarna
4. Sheikh Iftekhar Ahmed
5. Nazmus Sakib Ahmed
6. Bijoy Ahmed Saiem
7. Mr. Ahmed Mahir Ruhan
8. Ahmed Mayeesha Reza Agomoni
9. Mr. Rubayat Ahmed Khan
10. Saadat Rafid Ahmed

Please let me know which specific person you are referring to so I can provide the correct answer.",1,1,1,False,1
AMBX009,conditioning,What is Ahmed's office room?,office_room,"There are multiple individuals with the name ""Ahmed"" in the knowledge base, and I need to know which specific person you are referring to. Please specify one of the following individuals:

* Mr. Rubayat Ahmed Khan (Designation: Senior Lecturer)
* Sheikh Iftekhar Ahmed (Designation: C. Lecturer)
* Sadif Ahmed (Designation: Lecturer)
* Anika Ahmed (Designation: Lecturer)
* Nazmus Sakib Ahmed (Designation: Lecturer)
* Bijoy Ahmed Saiem (Designation: Lecturer)
* Mr. Ahmed Mahir Ruhan (Designation: Lecturer)
* MZG Ahmed Mayeesha Reza Agomoni (Designation: Lecturer)
* Saadat Rafid Ahmed (Designation: Lecturer)
* Ateya Ahmed Subarna (Designation: Lecturer)

Once you specify the correct individual, I can provide their office room number.",1,1,1,False,0
AMBX009,conditioning_v2,What is Ahmed's office room?,office_room,"Which one do you mean: Mr. Ahmed Mahir Ruhan, Sheikh Iftekhar Ahmed, Nazmus Sakib Ahmed, Bijoy Ahmed Saiem, MZG (Ahmed Mayeesha Reza Agomoni), or Rubayat Ahmed Khan?",1,1,1,False,0
AMBX010,no_notice,What is Ahmed's email address?,email,Ahmed Mayeesha Reza Agomoni's email address is ahmed.mayeesha@bracu.ac.bd.,0,0,0,False,0
AMBX010,flat_notice,What is Ahmed's email address?,email,"There are multiple individuals with the name ""Ahmed"" in the faculty directory. To provide a specific answer, could you please clarify which Ahmed you are referring to?",1,1,0,False,1
AMBX010,conditioning,What is Ahmed's email address?,email,"There are multiple individuals with the name ""Ahmed"" in the faculty directory. Could you please specify which Ahmed you are referring to, such as their designation or initial (e.g., RAK for Mr. Rubayat Ahmed Khan)?",1,1,0,False,1
AMBX010,conditioning_v2,What is Ahmed's email address?,email,"There are multiple individuals with the name ""Ahmed"" in the faculty directory. Which one do you mean: Lecturer (Anika Ahmed), Lecturer (Sadif Ahmed), Senior Lecturer (Md. Sabbir Ahmed), Lecturer (Ateya Ahmed Subarna), Lecturer (Nazmus Sakib Ahmed), Lecturer (Bijoy Ahmed Saiem), C. Lecturer (Sheikh Iftekhar Ahmed), or Lecturer (Ahmed Mayeesha Reza Agomoni)?",1,1,1,False,0
AMBX011,no_notice,What is Ahmed's designation?,designation,Ahmed Mayeesha Reza Agomoni's designation is a Lecturer.,0,0,0,False,0
AMBX011,flat_notice,What is Ahmed's designation?,designation,"There are multiple individuals with the name ""Ahmed"" in the database. To provide a specific answer, could you please clarify which Ahmed you are referring to?",1,1,0,False,1
AMBX011,conditioning,What is Ahmed's designation?,designation,"There are multiple individuals with the name ""Ahmed"" in the knowledge base. To provide a specific answer, could you please clarify which Ahmed you are referring to?",1,1,0,False,1
AMBX011,conditioning_v2,What is Ahmed's designation?,designation,"Which one do you mean: C. Lecturer, Lecturer, Senior Lecturer?",1,1,0,False,0
AMBX012,no_notice,What is Ahmed's employment status?,status,"Ahmed Mayeesha Reza Agomoni, also known as MZG, is a Lecturer with a Full Time status.",1,0,0,False,0
AMBX012,flat_notice,What is Ahmed's employment status?,status,"Ahmed Mayeesha Reza Agomoni, Nazmus Sakib Ahmed, Sadif Ahmed, Sheikh Iftekhar Ahmed, and Mr. Rubayat Ahmed Khan are all listed as lecturers or senior lecturers in the provided context. Could you please specify which specific person's employment status you would like to know about?",1,1,1,False,0
AMBX012,conditioning,What is Ahmed's employment status?,status,"Ahmed Mayeesha Reza Agomoni, Nazmus Sakib Ahmed, Sadif Ahmed, Sheikh Iftekhar Ahmed, and Saadat Rafid Ahmed are all Lecturers with different employment statuses. However, without more specific information about which Ahmed you are referring to, I cannot provide a definitive answer. Could you please clarify which Ahmed's employment status you would like to know?",1,1,1,False,0
AMBX012,conditioning_v2,What is Ahmed's employment status?,status,"Which one do you mean: C. Lecturer, Lecturer, or Senior Lecturer?",1,1,0,False,0
AMBX013,no_notice,What is Alam's office room?,office_room,Dr. Md. Ashraful Alam's office room is 4G24.,0,0,0,False,0
AMBX013,flat_notice,What is Alam's office room?,office_room,"I found multiple individuals with the last name ""Alam"". To provide an accurate answer, could you please specify which person you are referring to: Dr. Md. Ashraful Alam or Dr. Md. Golam Rabiul Alam?",1,1,0,False,1
AMBX013,conditioning,What is Alam's office room?,office_room,"I found multiple individuals with the last name ""Alam"". To provide an accurate answer, could you please specify which of the following individuals you are referring to:

1. Dr. Md. Ashraful Alam (Associate Professor)
2. Dr. Md. Golam Rabiul Alam (Professor)

Please let me know which one you mean so I can provide the correct office room number.",1,1,1,False,1
AMBX013,conditioning_v2,What is Alam's office room?,office_room,Which one do you mean: Associate Professor Dr. Md. Ashraful Alam or Professor Dr. Md. Golam Rabiul Alam?,1,1,1,False,0
AMBX014,no_notice,What is Alam's email address?,email,Dr. Md. Ashraful Alam's official email address is ashraful.alam@bracu.ac.bd.,0,0,0,False,0
AMBX014,flat_notice,What is Alam's email address?,email,"There are multiple individuals with the last name ""Alam"" in the context. To provide a specific answer, could you please clarify which person you are referring to: Dr. Md. Shafiul Alam Shuvo or Dr. Md. Ashraful Alam?",1,1,0,False,1
AMBX014,conditioning,What is Alam's email address?,email,The retrieved context does not contain enough information to answer the question.,1,0,0,False,1
AMBX014,conditioning_v2,What is Alam's email address?,email,Which one do you mean: Dr. Md. Shafiul Alam Shuvo (Associate Professor) or Dr. Md. Ashraful Alam (Professor)?,1,1,1,False,0
AMBX015,no_notice,What is Alam's designation?,designation,Alam's designation is Associate Professor.,0,0,0,False,0
AMBX015,flat_notice,What is Alam's designation?,designation,"There are multiple individuals with the last name ""Alam"" in the knowledge base. To provide an accurate answer, could you please specify which person you mean by ""Alam""? The options are Dr. Md. Ashraful Alam (Associate Professor) and Dr. Md. Golam Rabiul Alam (Professor).",1,1,1,False,1
AMBX015,conditioning,What is Alam's designation?,designation,"There are multiple individuals with the last name ""Alam"" in the knowledge base. To provide a specific answer, could you please clarify which person you mean by ""Alam""? The options are Dr. Md. Ashraful Alam (Associate Professor), Dr. Md. Golam Rabiul Alam (Professor), and Dr. Md. Shafiul Alam Shuvo is not an option since his first name is different.",1,1,0,False,1
AMBX015,conditioning_v2,What is Alam's designation?,designation,"There are multiple individuals with the last name ""Alam"" in the knowledge base. Which one do you mean: Dr. Md. Ashraful Alam (Associate Professor) or Dr. Md. Golam Rabiul Alam (Professor)?",1,1,1,False,0
AMBX016,no_notice,What is Alam's employment status?,status,Alam's employment status is that he is a full-time employee.,0,0,0,False,0
AMBX016,flat_notice,What is Alam's employment status?,status,Dr. Md. Ashraful Alam's employment status is full-time.,0,0,0,False,0
AMBX016,conditioning,What is Alam's employment status?,status,Alam's employment status is full-time.,0,0,0,False,0
AMBX016,conditioning_v2,What is Alam's employment status?,status,Alam's employment status is full-time.,0,0,0,False,0
AMBX017,no_notice,What is Anika's office room?,office_room,"Anika Islam's office room is 4F, and Anika Tasnim's office room is also 4F. Additionally, Anika Afrin's office room is 4F as well. However, Anika Ahmed's office room is located in a different room number, which is 4K72.",1,0,1,False,0
AMBX017,flat_notice,What is Anika's office room?,office_room,"There are multiple individuals named Anika in the knowledge base, and without further clarification, it is unclear which specific person you are referring to. The matching names are:

1. Anika Islam (Room: 4F)
2. Anika Tasnim (Room: 4F)
3. Anika Afrin (Room: 4F)
4. Anika Ahmed (Room: 4K72)

Please specify which Anika you would like to know the office room for.",1,1,0,False,1
AMBX017,conditioning,What is Anika's office room?,office_room,"Anika Islam, Anika Tasnim, and Anika Afrin all have their offices in Room 4F, but we cannot determine the office room for Anika Ahmed without further information.",1,0,1,False,1
AMBX017,conditioning_v2,What is Anika's office room?,office_room,"I couldn't find a single record for ""Anika"" in the retrieved context, but I found multiple records with that name. Could you please specify which one you mean: Anika Islam (Room 4F), Anika Tasnim (Room 4F), Anika Afrin (Room 4F), or Anika Ahmed (Room 4K72)?",1,1,1,False,0
AMBX018,no_notice,What is Anika's email address?,email,"Anika's email address can be found in the faculty directory, but since there are multiple individuals with the name ""Anika"", it would be helpful to know which one you are referring to. However, based on the provided information, if you are looking for Anika Islam or Anika Afrin, their official email addresses are ext.anika.islam@bracu.ac.bd and ext.anika.afrin@bracu.ac.bd respectively.",1,1,1,False,0
AMBX018,flat_notice,What is Anika's email address?,email,"There are multiple individuals with the name ""Anika"" in the faculty directory, including Anika Islam (ext.anika.islam@bracu.ac.bd), Anika Ahmed (anika.ahmed@bracu.ac.bd), and Anika Afrin (ext.anika.afrin@bracu.ac.bd). Could you please specify which Anika's email address you are looking for?",1,1,1,False,0
AMBX018,conditioning,What is Anika's email address?,email,"There are multiple individuals named Anika in the faculty directory, including Anika Islam (C. Lecturer) and Anika Ahmed (Lecturer). To provide a specific answer, could you please clarify which Anika you are referring to?",1,1,0,False,1
AMBX018,conditioning_v2,What is Anika's email address?,email,"There are multiple individuals with the name ""Anika"" in the faculty directory, so I need to clarify which one you mean. Please specify whether you are referring to Anika Islam (C. Lecturer), Anika Ahmed (Lecturer), or Anika Afrin (C. Lecturer).",1,1,1,False,0
AMBX019,no_notice,What is Anika's designation?,designation,"Anika's designations are C. Lecturer, as seen in multiple entries for individuals with the name ""Anika"" and different initials.",1,0,1,False,1
AMBX019,flat_notice,What is Anika's designation?,designation,"There are multiple individuals with the name ""Anika"" in the knowledge base, and I need to know which specific person you mean. The options are:

1. Anika Islam (Designation: C. Lecturer)
2. Anika Tasnim (Designation: C. Lecturer)
3. Anika Afrin (Designation: C. Lecturer)
4. Anika Ahmed (Designation: Lecturer)

Please let me know which one you are referring to in order to provide a specific answer.",1,1,1,False,0
AMBX019,conditioning,What is Anika's designation?,designation,"There are multiple individuals with the name ""Anika"" in the knowledge base, and their designations differ as follows:

1. Anika Islam - C. Lecturer
2. Anika Tasnim - C. Lecturer
3. Anika Afrin - C. Lecturer
4. Anika Ahmed - Lecturer

Please specify which Anika you are referring to in order for me to provide a more accurate answer.",1,1,1,False,0
AMBX019,conditioning_v2,What is Anika's designation?,designation,"There are multiple individuals with the name ""Anika"" in the knowledge base, and their designations differ. Which one do you mean: C. Lecturer (Anika Islam), C. Lecturer (Anika Tasnim), C. Lecturer (Anika Afrin), or Lecturer (Anika Ahmed)?",1,1,1,False,0
AMBX020,no_notice,What is Anika's employment status?,status,Anika's employment status is full-time.,1,0,0,False,0
AMBX020,flat_notice,What is Anika's employment status?,status,"Anika Islam is a Contractual C. Lecturer, while Anika Ahmed is a Full-Time Lecturer; please specify which Anika you are referring to in order to provide an accurate answer.",1,1,1,False,0
AMBX020,conditioning,What is Anika's employment status?,status,"Anika Islam is a Contractual C. Lecturer and Anika Ahmed is a Full-Time Lecturer, so I need to know which specific person you are referring to in order to provide the correct answer regarding their employment status.",1,1,1,False,0
AMBX020,conditioning_v2,What is Anika's employment status?,status,Which one do you mean: C. Lecturer (Anika Islam) or Lecturer (Anika Ahmed)?,1,1,1,False,0
AMBX021,no_notice,What is Anjum's office room?,office_room,Anjum's office room is 4N161.,0,0,0,False,0
AMBX021,flat_notice,What is Anjum's office room?,office_room,"There are multiple individuals with the last name ""Anjum"" in the knowledge base. To provide a specific answer, could you please clarify which person you mean: Akib Anjum or Tarvir Anjum Aditto?",1,1,1,False,0
AMBX021,conditioning,What is Anjum's office room?,office_room,"There are multiple individuals with the last name ""Anjum"" in the knowledge base, specifically Akib Anjum and Tarvir Anjum Aditto. To provide a specific answer to your question, could you please clarify which Anjum you are referring to?",1,1,1,False,0
AMBX021,conditioning_v2,What is Anjum's office room?,office_room,Which one do you mean: Akib Anjum (room 4N161) or Tarvir Anjum Aditto (room 4N159)?,1,1,1,False,0
AMBX022,no_notice,What is Anjum's email address?,email,Anjum's email address is anjum.akib@bracu.ac.bd.,0,0,0,False,0
AMBX022,flat_notice,What is Anjum's email address?,email,Anjum's email address is anjum.akib@bracu.ac.bd.,0,0,0,False,0
AMBX022,conditioning,What is Anjum's email address?,email,Anjum's email address is anjum.akib@bracu.ac.bd.,0,0,0,False,0
AMBX022,conditioning_v2,What is Anjum's email address?,email,Which one do you mean: AKJ or TAV?,1,1,0,False,0
AMBX023,no_notice,What is Anjum's designation?,designation,Anjum's designation is Lecturer.,0,0,0,False,0
AMBX023,flat_notice,What is Anjum's designation?,designation,"There are multiple individuals with the last name ""Anjum"" in the knowledge base. To provide an accurate answer, could you please specify which person you mean: Akib Anjum or Tarvir Anjum Aditto?",1,1,1,False,0
AMBX023,conditioning,What is Anjum's designation?,designation,"There are multiple individuals with the last name ""Anjum"" in the knowledge base, specifically Akib Anjum and Tarvir Anjum Aditto. To provide a specific answer to your question, could you please clarify which Anjum you are referring to?",1,1,1,False,0
AMBX023,conditioning_v2,What is Anjum's designation?,designation,Which one do you mean: Akib Anjum or Tarvir Anjum Aditto?,1,1,1,False,0
AMBX024,no_notice,What is Anjum's employment status?,status,Anjum's employment status is that he is a full-time lecturer.,0,0,0,False,0
AMBX024,flat_notice,What is Anjum's employment status?,status,Anjum's employment status is full-time.,0,0,0,False,0
AMBX024,conditioning,What is Anjum's employment status?,status,Akib Anjum's employment status is Full Time.,0,0,0,False,0
AMBX024,conditioning_v2,What is Anjum's employment status?,status,Anjum's employment status is full-time.,0,0,0,False,0
AMBX025,no_notice,What is Arif's office room?,office_room,There is no information in the retrieved context about Arif's office room.,1,0,0,False,1
AMBX025,flat_notice,What is Arif's office room?,office_room,I don't have enough information in the retrieved context to answer the question about Arif's office room.,1,0,0,False,1
AMBX025,conditioning,What is Arif's office room?,office_room,I'm unable to answer that question as there is no information in the retrieved context about a person named Arif or their office room.,1,0,0,False,0
AMBX025,conditioning_v2,What is Arif's office room?,office_room,I'm not able to answer that question as there is no information in the retrieved context about a person named Arif or their office room.,1,0,0,False,0
AMBX026,no_notice,What is Arif's email address?,email,Arif's email address is arif.hasan@bracu.ac.bd.,0,0,0,False,0
AMBX026,flat_notice,What is Arif's email address?,email,Arif's email address is arif.hasan@bracu.ac.bd.,0,0,0,False,0
AMBX026,conditioning,What is Arif's email address?,email,Arif's official email address is arif.hasan@bracu.ac.bd.,0,0,0,False,0
AMBX026,conditioning_v2,What is Arif's email address?,email,Arif's official email address is available on his profile in the BRAC University faculty directory.,0,0,0,False,0
AMBX027,no_notice,What is Arif's designation?,designation,Mr. Arif Shakil's designation is Senior Lecturer.,0,0,0,False,0
AMBX027,flat_notice,What is Arif's designation?,designation,"There are multiple individuals with the name ""Arif"" in the knowledge base. To provide an accurate answer, could you please specify which Arif you are referring to: Md Arif Hasan or Mr. Arif Shakil?",1,1,1,False,0
AMBX027,conditioning,What is Arif's designation?,designation,"There are multiple individuals with the name ""Arif"" in the knowledge base. To provide a specific answer, could you please clarify which Arif you are referring to? Do you mean Md Arif Hasan (Lecturer) or Mr. Arif Shakil (Senior Lecturer)?",1,1,1,False,0
AMBX027,conditioning_v2,What is Arif's designation?,designation,"There are multiple individuals with the name ""Arif"" in the knowledge base. Which one do you mean: Md Arif Hasan, a Lecturer, or Mr. Arif Shakil, a Senior Lecturer?",1,1,1,False,0
AMBX028,no_notice,What is Arif's employment status?,status,I don't have enough information to answer your question.,1,0,0,False,1
AMBX028,flat_notice,What is Arif's employment status?,status,"I cannot answer that question as it appears to be incomplete. However, based on the context provided, there are multiple records in the knowledge base with the name ""Arif"". Could you please specify which Arif you are referring to?",1,1,0,False,0
AMBX028,conditioning,What is Arif's employment status?,status,I'm unable to answer that question as it does not match any information in the retrieved context.,1,0,0,False,0
AMBX028,conditioning_v2,What is Arif's employment status?,status,"I'm unable to answer that question as it does not match the retrieved context. The context only mentions OCSAR and BRACU, but there is no information about a person named Arif or their employment status.",1,0,0,False,1
AMBX029,no_notice,What is Ashikur's office room?,office_room,"Ashikur's office room is 4P, as indicated in the context for Md Ashikur Rahman Any.",0,0,0,False,0
AMBX029,flat_notice,What is Ashikur's office room?,office_room,"There are multiple individuals with the name ""Ashikur Rahman"" in the knowledge base, specifically Md Ashikur Rahman Any and Quazi Ashikur Rahman. To provide an accurate answer, could you please specify which person you mean by ""Ashikur""?",1,1,0,False,1
AMBX029,conditioning,What is Ashikur's office room?,office_room,"There are multiple individuals with the name ""Ashikur Rahman"" in the knowledge base, including Md Ashikur Rahman Any (C. Lecturer) and Quazi Ashikur Rahman (Lecturer). To provide a specific answer, could you please clarify which person's office room you would like to know about?",1,1,0,False,1
AMBX029,conditioning_v2,What is Ashikur's office room?,office_room,"Which one do you mean: Md Ashikur Rahman Any, whose office room is 4P, or Quazi Ashikur Rahman, whose office room is 4M120?",1,1,1,False,0
AMBX030,no_notice,What is Ashikur's email address?,email,Ashikur's email address is ext.rahman.ashikur@bracu.ac.bd.,0,0,0,False,0
AMBX030,flat_notice,What is Ashikur's email address?,email,"Ashikur's official email address is ext.rahman.ashikur@bracu.ac.bd, which can also be found on his profile in the BRAC University faculty directory.",0,0,0,False,0
AMBX030,conditioning,What is Ashikur's email address?,email,"Ashikur's official email address is ext.rahman.ashikur@bracu.ac.bd, which can also be found on his profile in the BRAC University faculty directory.",0,0,0,False,0
AMBX030,conditioning_v2,What is Ashikur's email address?,email,"The official email address of Md Ashikur Rahman Any, also known as Ashikur, is ext.rahman.ashikur@bracu.ac.bd.",1,0,0,False,0
AMBX031,no_notice,What is Ashikur's designation?,designation,"Ashikur's designations are C. Lecturer and Lecturer, as he has two different entries in the context with these respective designations.",1,0,0,False,0
AMBX031,flat_notice,What is Ashikur's designation?,designation,"There are multiple individuals with the name ""Ashikur Rahman"" in the knowledge base, including Md Ashikur Rahman Any (C. Lecturer) and Quazi Ashikur Rahman (Lecturer). Could you please specify which person you mean by ""Ashikur""?",1,1,1,False,0
AMBX031,conditioning,What is Ashikur's designation?,designation,"There are multiple individuals with the name ""Ashikur Rahman"". To provide a specific answer, could you please clarify which one of the following individuals you are referring to: Md Ashikur Rahman Any (C. Lecturer) or Quazi Ashikur Rahman (Lecturer)?",1,1,1,False,1
AMBX031,conditioning_v2,What is Ashikur's designation?,designation,"Which one do you mean: Md Ashikur Rahman Any, C. Lecturer or Quazi Ashikur Rahman, Lecturer?",1,1,1,False,0
AMBX032,no_notice,What is Ashikur's employment status?,status,I do not have enough information in the retrieved context to answer your question about Ashikur's employment status.,1,0,0,False,1
AMBX032,flat_notice,What is Ashikur's employment status?,status,I'm unable to determine Ashikur's employment status as there is no information about a person named Ashikur in the retrieved context.,1,0,0,False,1
AMBX032,conditioning,What is Ashikur's employment status?,status,"I don't have enough information in the retrieved context to answer your question about Ashikur's employment status, as there is no mention of a person named Ashikur.",1,0,0,False,1
AMBX032,conditioning_v2,What is Ashikur's employment status?,status,"I don't have enough information in the retrieved context to answer your question about Ashikur's employment status, as there is no mention of a person named Ashikur.",1,0,0,False,1
AMBX033,no_notice,What is Ashraful's office room?,office_room,Ashraful Islam Shanto Sikder's office room is 4P173.,0,0,0,False,0
AMBX033,flat_notice,What is Ashraful's office room?,office_room,"I found multiple individuals with the name ""Ashraful"" in our records. To provide an accurate answer, could you please specify which Ashraful you are referring to: Dr. Md. Ashraful Alam or Ashraful Islam Shanto Sikder?",1,1,0,False,1
AMBX033,conditioning,What is Ashraful's office room?,office_room,"Ashraful Alam, the Associate Professor, has an office in room 4G24, while Ashraful Islam Shanto Sikder, the Lecturer, has an office in room 4P173. Which specific person are you referring to?",1,1,1,False,0
AMBX033,conditioning_v2,What is Ashraful's office room?,office_room,"I found multiple individuals with the name ""Ashraful"" in the knowledge base. To provide an accurate answer, could you please clarify which one you mean: Dr. Md. Ashraful Alam, Associate Professor, or Ashraful Islam Shanto Sikder, Lecturer?",1,1,1,False,1
AMBX034,no_notice,What is Ashraful's email address?,email,I cannot provide information about a specific individual's email address. Is there anything else I can help you with?,1,0,0,False,0
AMBX034,flat_notice,What is Ashraful's email address?,email,"I cannot provide information about a specific individual. If you are looking for contact information for a faculty member, I suggest checking the BRAC University faculty directory. Is there anything else I can help you with?",1,0,0,False,1
AMBX034,conditioning,What is Ashraful's email address?,email,I don't have enough information to answer your question. The retrieved context does not mention Ashraful or provide any details about his email address.,1,0,0,False,1
AMBX034,conditioning_v2,What is Ashraful's email address?,email,I don't have enough information to answer your question. The retrieved context does not mention Ashraful or provide any details about his email address.,1,0,0,False,1
AMBX035,no_notice,What is Ashraful's designation?,designation,Ashraful Islam Shanto Sikder's designation is a Lecturer.,0,0,0,False,0
AMBX035,flat_notice,What is Ashraful's designation?,designation,"There are multiple individuals with the name ""Ashraful"" in the knowledge base. To provide an accurate answer, could you please specify which Ashraful you are referring to: Dr. Md. Ashraful Alam or Ashraful Islam Shanto Sikder?",1,1,1,False,0
AMBX035,conditioning,What is Ashraful's designation?,designation,"There are multiple individuals with the name ""Ashraful"" in the knowledge base. To provide a specific answer, could you please clarify which person you mean: Dr. Md. Ashraful Alam (Associate Professor) or Ashraful Islam Shanto Sikder (Lecturer)?",1,1,1,False,0
AMBX035,conditioning_v2,What is Ashraful's designation?,designation,"There are multiple individuals with the name ""Ashraful"" in the knowledge base. Which one do you mean: Dr. Md. Ashraful Alam, an Associate Professor, or Ashraful Islam Shanto Sikder, a Lecturer?",1,1,1,False,0
