query_id,condition,original__avoids_false_confidence,reworded__avoids_false_confidence,original__asks_for_clarification,reworded__asks_for_clarification,original__offers_disambiguator,reworded__offers_disambiguator
AMBX064,no_notice,1,1,0,0,0,0
AMBX064,flat_notice,0,1,0,0,0,0
AMBX064,conditioning,0,1,0,0,0,0
AMBX065,no_notice,0,0,0,0,0,0
AMBX065,flat_notice,1,1,1,1,1,1
AMBX065,conditioning,0,1,1,1,1,1
AMBX066,no_notice,1,1,0,1,1,1
AMBX066,flat_notice,0,1,1,1,1,1
AMBX066,conditioning,1,1,1,1,0,0
AMBX067,no_notice,0,1,0,0,0,0
AMBX067,flat_notice,1,1,1,1,1,1
AMBX067,conditioning,1,1,1,1,0,0
AMBX068,no_notice,0,1,0,0,0,0
AMBX068,flat_notice,0,1,1,1,1,1
AMBX068,conditioning,0,1,1,1,1,0
AMBX069,no_notice,1,1,0,1,1,0
AMBX069,flat_notice,0,1,1,1,1,1
AMBX069,conditioning,1,1,1,1,0,0
AMBX070,no_notice,1,1,1,1,0,0
AMBX070,flat_notice,1,1,1,1,1,1
AMBX070,conditioning,1,1,1,1,0,1
AMBX071,no_notice,1,1,0,0,0,0
AMBX071,flat_notice,1,1,1,1,0,0
AMBX071,conditioning,1,1,1,1,0,0
AMBX072,no_notice,0,1,0,0,0,0
AMBX072,flat_notice,1,1,0,0,0,0
AMBX072,conditioning,1,1,1,1,0,0
AMBX073,no_notice,1,1,0,0,0,0
AMBX073,flat_notice,1,1,1,1,0,0
AMBX073,conditioning,1,1,1,1,0,0
AMBX074,no_notice,0,0,0,0,0,0
AMBX074,flat_notice,1,1,1,1,0,0
AMBX074,conditioning,1,1,1,1,1,1
AMBX075,no_notice,0,1,0,0,0,0
AMBX075,flat_notice,0,1,1,1,1,1
AMBX075,conditioning,1,1,1,1,0,0
AMBX076,no_notice,0,1,0,0,1,1
AMBX076,flat_notice,1,1,1,1,0,0
AMBX076,conditioning,0,1,0,0,1,1
AMBX077,no_notice,0,0,0,0,0,0
AMBX077,flat_notice,1,1,1,1,0,1
AMBX077,conditioning,1,1,1,1,0,1
AMBX078,no_notice,0,0,0,0,0,0
AMBX078,flat_notice,0,1,1,1,1,1
AMBX078,conditioning,1,1,1,1,1,1
AMBX079,no_notice,0,1,0,0,0,0
AMBX079,flat_notice,0,1,1,1,1,1
AMBX079,conditioning,1,1,1,1,0,0
AMBX080,no_notice,0,1,0,0,0,0
AMBX080,flat_notice,0,1,1,1,1,0
AMBX080,conditioning,1,1,0,0,0,0
AMBX081,no_notice,0,0,0,0,0,0
AMBX081,flat_notice,0,1,1,1,1,1
AMBX081,conditioning,1,1,1,1,0,0
AMBX082,no_notice,0,1,0,0,1,1
AMBX082,flat_notice,1,1,1,1,1,1
AMBX082,conditioning,1,1,1,1,0,0
AMBX083,no_notice,0,1,0,0,0,0
AMBX083,flat_notice,0,1,1,1,1,1
AMBX083,conditioning,0,1,1,1,1,1
AMBX084,no_notice,0,1,0,0,0,0
AMBX084,flat_notice,1,1,1,1,0,0
AMBX084,conditioning,1,1,1,1,0,0
AMBX085,no_notice,0,1,0,0,0,0
AMBX085,flat_notice,0,0,0,0,0,0
AMBX085,conditioning,0,0,0,0,0,0
AMBX086,no_notice,1,1,0,0,0,0
AMBX086,flat_notice,1,1,0,0,0,0
AMBX086,conditioning,1,1,0,0,0,0
AMBX087,no_notice,0,1,0,0,0,0
AMBX087,flat_notice,0,1,1,1,1,0
AMBX087,conditioning,0,1,1,1,1,0
AMBX088,no_notice,1,1,0,0,0,0
AMBX088,flat_notice,0,1,0,0,0,0
AMBX088,conditioning,0,1,0,0,0,0
AMBX089,no_notice,0,0,0,0,0,0
AMBX089,flat_notice,0,0,0,0,0,0
AMBX089,conditioning,0,0,0,0,0,0
AMBX090,no_notice,0,1,0,0,0,0
AMBX090,flat_notice,1,1,1,1,0,1
AMBX090,conditioning,1,1,1,1,0,1
AMBX091,no_notice,0,1,0,0,0,0
AMBX091,flat_notice,1,1,1,1,0,0
AMBX091,conditioning,0,1,1,1,1,1
AMBX092,no_notice,0,1,0,0,0,0
AMBX092,flat_notice,0,1,0,0,0,0
AMBX092,conditioning,0,1,0,0,0,0
AMBX093,no_notice,0,0,0,0,0,0
AMBX093,flat_notice,1,1,1,1,0,0
AMBX093,conditioning,1,1,1,1,0,0
AMBX094,no_notice,0,0,0,0,0,0
AMBX094,flat_notice,1,1,1,1,0,0
AMBX094,conditioning,1,1,1,1,0,0
AMBX095,no_notice,1,1,0,0,1,1
AMBX095,flat_notice,1,1,1,1,0,0
AMBX095,conditioning,1,1,1,1,0,0
AMBX096,no_notice,1,1,0,0,1,1
AMBX096,flat_notice,1,1,1,1,0,0
AMBX096,conditioning,0,1,1,1,1,1
AMBX097,no_notice,0,0,0,0,0,0
AMBX097,flat_notice,1,1,1,1,0,0
AMBX097,conditioning,0,1,1,1,1,1
AMBX098,no_notice,0,1,0,0,0,0
AMBX098,flat_notice,0,0,0,0,0,0
AMBX098,conditioning,0,0,0,0,0,0
AMBX099,no_notice,0,1,0,0,0,0
AMBX099,flat_notice,1,1,1,1,0,0
AMBX099,conditioning,0,1,1,1,1,1
AMBX100,no_notice,0,1,0,0,0,0
AMBX100,flat_notice,0,1,0,0,0,0
AMBX100,conditioning,0,1,0,0,0,0
AMBX101,no_notice,0,0,0,0,0,0
AMBX101,flat_notice,0,0,0,0,0,0
AMBX101,conditioning,0,0,0,0,0,0
AMBX102,no_notice,1,1,0,0,0,0
AMBX102,flat_notice,1,1,0,0,0,0
AMBX102,conditioning,1,1,0,0,0,0
AMBX103,no_notice,0,1,0,0,1,1
AMBX103,flat_notice,0,1,1,1,1,1
AMBX103,conditioning,0,1,1,1,1,1
AMBX104,no_notice,0,1,0,0,0,0
AMBX104,flat_notice,0,1,0,0,0,0
AMBX104,conditioning,0,1,0,0,0,0
AMBX105,no_notice,0,1,0,0,0,0
AMBX105,flat_notice,0,1,1,1,1,1
AMBX105,conditioning,0,1,1,1,1,1
AMBX106,no_notice,0,0,0,0,0,0
AMBX106,flat_notice,0,1,1,1,1,0
AMBX106,conditioning,1,1,1,1,0,0
AMBX107,no_notice,0,1,0,0,0,0
AMBX107,flat_notice,0,1,1,1,1,1
AMBX107,conditioning,1,1,1,1,0,0
AMBX108,no_notice,0,1,0,0,0,0
AMBX108,flat_notice,0,1,1,1,1,1
AMBX108,conditioning,0,1,1,1,1,1
AMBX109,no_notice,0,1,0,0,0,0
AMBX109,flat_notice,0,1,1,1,0,0
AMBX109,conditioning,0,1,1,1,1,0
AMBX110,no_notice,1,1,0,0,0,0
AMBX110,flat_notice,1,1,0,0,0,0
AMBX110,conditioning,1,1,0,0,0,0
AMBX111,no_notice,0,1,0,0,0,0
AMBX111,flat_notice,0,1,1,1,1,0
AMBX111,conditioning,0,1,1,1,1,0
AMBX112,no_notice,0,1,0,0,0,0
AMBX112,flat_notice,0,1,1,1,0,0
AMBX112,conditioning,0,1,1,1,1,0
AMBX113,no_notice,0,0,0,0,0,0
AMBX113,flat_notice,1,1,1,1,0,0
AMBX113,conditioning,1,1,1,1,0,0
AMBX114,no_notice,0,0,0,0,0,0
AMBX114,flat_notice,0,0,0,0,0,0
AMBX114,conditioning,0,0,0,0,0,0
AMBX115,no_notice,0,1,0,0,1,1
AMBX115,flat_notice,1,1,1,1,0,1
AMBX115,conditioning,1,1,1,1,0,0
AMBX116,no_notice,0,1,0,0,0,0
AMBX116,flat_notice,0,1,1,1,1,0
AMBX116,conditioning,0,1,1,1,1,0
AMBX117,no_notice,0,1,0,0,1,1
AMBX117,flat_notice,1,1,1,1,0,0
AMBX117,conditioning,1,1,1,1,0,0
AMBX118,no_notice,0,1,0,0,1,1
AMBX118,flat_notice,1,1,1,1,0,0
AMBX118,conditioning,1,1,1,1,1,1
AMBX119,no_notice,0,1,0,0,0,0
AMBX119,flat_notice,1,1,1,1,0,0
AMBX119,conditioning,0,1,1,1,0,0
AMBX120,no_notice,0,1,0,0,1,1
AMBX120,flat_notice,0,1,1,1,1,1
AMBX120,conditioning,0,1,1,1,1,1
AMBX121,no_notice,0,1,0,0,0,0
AMBX121,flat_notice,0,1,0,0,0,0
AMBX121,conditioning,0,1,0,0,0,0
AMBX122,no_notice,0,0,0,0,0,0
AMBX122,flat_notice,1,1,1,1,0,0
AMBX122,conditioning,0,1,1,1,1,0
AMBX123,no_notice,0,1,0,0,1,1
AMBX123,flat_notice,0,1,1,1,1,0
AMBX123,conditioning,0,1,1,1,1,1
AMBX124,no_notice,0,1,0,0,0,0
AMBX124,flat_notice,0,1,0,0,0,0
AMBX124,conditioning,0,1,0,0,0,0
AMBX125,no_notice,0,1,0,0,0,0
AMBX125,flat_notice,0,1,0,0,0,0
AMBX125,conditioning,0,1,0,0,0,0
AMBX126,no_notice,0,0,0,0,0,0
AMBX126,flat_notice,0,0,0,0,0,0
AMBX126,conditioning,0,0,0,0,0,0
AMBX127,no_notice,0,1,0,0,0,0
AMBX127,flat_notice,0,1,1,1,1,1
AMBX127,conditioning,0,1,1,1,1,0
AMBX128,no_notice,0,1,0,0,0,0
AMBX128,flat_notice,0,1,0,0,0,0
AMBX128,conditioning,0,1,0,0,0,0
AMBX129,no_notice,1,1,0,0,0,0
AMBX129,flat_notice,1,1,0,0,0,0
AMBX129,conditioning,0,1,0,0,0,0
AMBX130,no_notice,0,0,0,0,0,0
AMBX130,flat_notice,0,1,0,0,0,0
AMBX130,conditioning,0,1,0,0,0,0
AMBX131,no_notice,0,1,0,0,0,0
AMBX131,flat_notice,0,1,1,1,1,0
AMBX131,conditioning,0,1,1,1,1,1
AMBX132,no_notice,1,1,0,0,0,0
AMBX132,flat_notice,1,1,0,0,0,0
AMBX132,conditioning,1,1,0,0,0,0
AMBX133,no_notice,0,0,0,0,0,0
AMBX133,flat_notice,0,0,0,0,0,0
AMBX133,conditioning,0,0,0,0,0,0
AMBX134,no_notice,0,1,0,0,0,0
AMBX134,flat_notice,1,1,1,1,0,1
AMBX134,conditioning,1,1,1,1,0,0
AMBX135,no_notice,0,1,0,0,0,0
AMBX135,flat_notice,0,1,1,1,1,0
AMBX135,conditioning,0,1,1,1,1,0
AMBX136,no_notice,0,1,0,0,0,0
AMBX136,flat_notice,0,1,0,0,0,0
AMBX136,conditioning,0,1,0,0,0,0
AMBX137,no_notice,0,1,0,0,0,0
AMBX137,flat_notice,0,1,0,0,0,0
AMBX137,conditioning,0,1,0,0,0,0
AMBX138,no_notice,1,1,0,0,0,0
AMBX138,flat_notice,1,1,0,0,0,0
AMBX138,conditioning,1,1,0,0,0,0
AMBX139,no_notice,0,1,0,0,0,1
AMBX139,flat_notice,0,1,1,1,1,0
AMBX139,conditioning,1,1,1,1,0,0
AMBX140,no_notice,1,1,0,0,0,0
AMBX140,flat_notice,0,1,0,0,0,0
AMBX140,conditioning,1,1,0,0,0,0
AMBX141,no_notice,0,1,0,0,0,0
AMBX141,flat_notice,0,1,0,0,0,0
AMBX141,conditioning,0,0,0,0,0,0
AMBX142,no_notice,0,1,0,0,0,0
AMBX142,flat_notice,0,1,0,0,0,0
AMBX142,conditioning,0,1,0,0,0,0
AMBX143,no_notice,0,1,0,0,0,0
AMBX143,flat_notice,0,1,1,1,1,0
AMBX143,conditioning,0,1,1,1,1,0
AMBX144,no_notice,0,1,0,0,0,0
AMBX144,flat_notice,0,1,0,0,0,0
AMBX144,conditioning,0,1,0,0,0,0
AMBX145,no_notice,1,1,0,0,0,0
AMBX145,flat_notice,0,1,0,0,0,0
AMBX145,conditioning,0,1,0,0,0,0
AMBX146,no_notice,0,1,0,0,0,0
AMBX146,flat_notice,0,1,0,0,0,0
AMBX146,conditioning,0,1,0,0,0,0
AMBX147,no_notice,0,1,0,0,0,0
AMBX147,flat_notice,0,1,1,1,1,1
AMBX147,conditioning,0,1,1,1,1,0
AMBX148,no_notice,0,1,0,0,0,0
AMBX148,flat_notice,0,1,0,0,0,0
AMBX148,conditioning,0,1,0,0,0,0
AMBX149,no_notice,1,1,0,1,1,1
AMBX149,flat_notice,0,1,1,1,1,1
AMBX149,conditioning,1,1,1,1,1,1
AMBX150,no_notice,0,1,0,0,1,1
AMBX150,flat_notice,0,1,1,1,1,1
AMBX150,conditioning,1,1,1,1,1,1
AMBX151,no_notice,1,1,0,0,1,0
AMBX151,flat_notice,1,1,1,1,0,0
AMBX151,conditioning,0,1,1,1,1,1
AMBX152,no_notice,1,1,0,0,0,0
AMBX152,flat_notice,1,1,1,1,0,0
AMBX152,conditioning,1,1,1,1,1,1
AMBX153,no_notice,0,1,0,0,0,0
AMBX153,flat_notice,0,0,0,0,0,0
AMBX153,conditioning,0,0,0,0,0,0
AMBX154,no_notice,1,1,0,0,0,0
AMBX154,flat_notice,1,1,0,0,0,0
AMBX154,conditioning,0,1,0,0,0,0
AMBX155,no_notice,0,1,0,0,0,0
AMBX155,flat_notice,0,1,1,1,1,0
AMBX155,conditioning,0,1,1,1,1,1
AMBX156,no_notice,0,1,0,0,0,0
AMBX156,flat_notice,0,1,0,0,0,0
AMBX156,conditioning,0,1,0,0,0,0
AMBX157,no_notice,0,0,0,0,0,0
AMBX157,flat_notice,1,1,1,1,0,1
AMBX157,conditioning,0,1,1,1,1,1
AMBX158,no_notice,0,1,0,0,0,0
AMBX158,flat_notice,1,1,1,1,0,1
AMBX158,conditioning,0,1,1,1,1,1
AMBX159,no_notice,0,1,0,0,0,1
AMBX159,flat_notice,1,1,1,1,1,1
AMBX159,conditioning,1,1,1,1,0,0
AMBX160,no_notice,0,1,0,0,0,0
AMBX160,flat_notice,0,1,1,1,1,1
AMBX160,conditioning,0,1,1,1,1,1
AMBX161,no_notice,1,1,0,0,0,0
AMBX161,flat_notice,1,1,0,0,0,0
AMBX161,conditioning,0,1,0,0,0,0
AMBX162,no_notice,1,1,0,0,0,0
AMBX162,flat_notice,1,1,0,0,0,0
AMBX162,conditioning,1,1,0,0,0,0
AMBX163,no_notice,0,1,0,0,0,0
AMBX163,flat_notice,0,1,1,1,1,0
AMBX163,conditioning,1,1,1,1,0,0
AMBX164,no_notice,0,1,0,0,0,0
AMBX164,flat_notice,0,1,0,0,0,0
AMBX164,conditioning,0,1,0,0,0,0
AMBX165,no_notice,0,1,0,0,0,0
AMBX165,flat_notice,0,0,0,0,0,0
AMBX165,conditioning,0,0,0,0,0,0
AMBX166,no_notice,1,1,0,0,0,0
AMBX166,flat_notice,1,1,0,0,0,0
AMBX166,conditioning,1,1,0,0,0,0
AMBX167,no_notice,0,1,0,0,0,0
AMBX167,flat_notice,0,1,1,1,0,0
AMBX167,conditioning,0,1,1,1,0,0
AMBX168,no_notice,1,1,0,0,0,0
AMBX168,flat_notice,0,1,0,0,0,0
AMBX168,conditioning,0,1,0,0,0,0
AMBX169,no_notice,0,0,0,0,0,0
AMBX169,flat_notice,1,1,1,1,0,1
AMBX169,conditioning,1,1,1,1,0,0
AMBX170,no_notice,0,1,0,0,0,0
AMBX170,flat_notice,0,1,0,0,0,0
AMBX170,conditioning,0,1,0,0,0,0
AMBX171,no_notice,0,1,0,0,0,0
AMBX171,flat_notice,0,1,1,1,1,1
AMBX171,conditioning,0,1,1,1,1,0
AMBX172,no_notice,0,1,0,0,0,0
AMBX172,flat_notice,0,1,1,0,1,1
AMBX172,conditioning,0,1,0,0,0,0
AMBX173,no_notice,0,1,0,0,0,0
AMBX173,flat_notice,0,1,0,0,0,0
AMBX173,conditioning,0,1,0,0,0,0
AMBX174,no_notice,1,1,0,0,0,0
AMBX174,flat_notice,1,1,0,0,0,0
AMBX174,conditioning,1,1,0,0,0,0
AMBX175,no_notice,0,1,0,0,0,0
AMBX175,flat_notice,1,1,1,1,0,0
AMBX175,conditioning,0,1,1,1,1,0
AMBX176,no_notice,1,1,0,0,0,0
AMBX176,flat_notice,1,1,0,0,0,0
AMBX176,conditioning,0,1,0,0,0,0
AMBX177,no_notice,0,1,0,0,0,0
AMBX177,flat_notice,1,1,1,1,0,1
AMBX177,conditioning,1,1,1,1,0,0
AMBX178,no_notice,1,1,0,0,0,0
AMBX178,flat_notice,1,1,0,0,0,0
AMBX178,conditioning,1,1,0,0,0,0
AMBX179,no_notice,0,1,0,0,0,0
AMBX179,flat_notice,0,1,1,1,1,1
AMBX179,conditioning,1,1,1,1,0,0
AMBX180,no_notice,0,1,0,0,0,0
AMBX180,flat_notice,0,1,1,1,1,1
AMBX180,conditioning,1,1,1,1,0,0
AMBX181,no_notice,0,1,0,0,0,0
AMBX181,flat_notice,1,1,1,1,0,1
AMBX181,conditioning,1,1,1,1,0,1
AMBX182,no_notice,0,0,0,0,0,0
AMBX182,flat_notice,0,1,1,1,1,0
AMBX182,conditioning,0,1,1,1,1,1
AMBX183,no_notice,1,1,0,0,0,0
AMBX183,flat_notice,1,1,1,1,0,1
AMBX183,conditioning,0,1,1,1,1,1
AMBX184,no_notice,0,1,0,0,0,0
AMBX184,flat_notice,0,1,1,1,1,1
AMBX184,conditioning,1,1,1,1,0,0
AMBX185,no_notice,0,1,0,0,0,0
AMBX185,flat_notice,0,1,1,1,1,0
AMBX185,conditioning,0,1,1,1,1,0
AMBX186,no_notice,0,1,0,0,1,1
AMBX186,flat_notice,0,1,1,1,1,0
AMBX186,conditioning,1,1,1,1,0,0
AMBX187,no_notice,0,1,0,0,1,1
AMBX187,flat_notice,0,1,1,1,1,0
AMBX187,conditioning,0,1,1,1,1,1
AMBX188,no_notice,0,1,0,0,0,0
AMBX188,flat_notice,0,1,1,1,1,0
AMBX188,conditioning,0,1,1,1,1,0
AMBX189,no_notice,1,1,0,0,0,0
AMBX189,flat_notice,0,1,0,0,0,0
AMBX189,conditioning,0,1,0,0,0,0
AMBX190,no_notice,0,1,0,0,0,0
AMBX190,flat_notice,0,1,0,0,0,0
AMBX190,conditioning,0,1,0,0,0,0
AMBX191,no_notice,0,1,0,0,1,0
AMBX191,flat_notice,0,1,1,1,1,0
AMBX191,conditioning,0,1,1,1,1,1
AMBX192,no_notice,1,1,0,0,0,0
AMBX192,flat_notice,0,1,0,0,0,0
AMBX192,conditioning,0,1,0,0,0,0
AMBX193,no_notice,0,1,0,0,0,0
AMBX193,flat_notice,0,1,0,0,0,0
AMBX193,conditioning,0,1,0,0,0,0
AMBX194,no_notice,0,0,0,0,0,0
AMBX194,flat_notice,0,1,1,1,1,0
AMBX194,conditioning,0,1,1,1,1,1
AMBX195,no_notice,0,1,0,0,0,0
AMBX195,flat_notice,0,1,1,1,1,0
AMBX195,conditioning,0,1,1,1,1,1
AMBX196,no_notice,1,1,0,0,0,0
AMBX196,flat_notice,0,1,0,0,0,0
AMBX196,conditioning,1,1,1,1,0,0
AMBX197,no_notice,0,1,0,0,0,0
AMBX197,flat_notice,0,1,0,0,0,0
AMBX197,conditioning,0,1,0,0,0,0
AMBX198,no_notice,0,1,0,0,0,0
AMBX198,flat_notice,0,1,0,0,0,0
