id,Question,cluster_id,cluster_size
872,One thing I couldn't find anywhere: does BRACU provide accomodation for international students?,890,6
891,"Sorry if this was already answered, but does BRACU provide accomodation for international students?",890,6
794,Does BRAC University have a dorm supervisor who oversees student welfare in BRACU accommodation?,892,6
800,For a friend who's asking — is there a dorm supervisor who oversees student welfare in BRACU accommodation?,892,6
839,Is there a dorm supervisor who oversees student welfare in BRACU accommodation?,892,6
856,"New student here, is there a dorm supervisor who oversees student welfare in BRACU accommodation?",892,6
865,"Not sure if this is covered elsewhere, but is there a dorm supervisor who oversees student welfare in BRACU accommodation?",892,6
893,"Sorry if this was already answered, but is there a dorm supervisor who oversees student welfare in BRACU accommodation?",892,6
777,Curious about something: do international students get help with their student visa for Bangladesh?,895,6
789,Do international students get help with their student visa for Bangladesh?,895,6
799,For a friend who's asking — do international students get help with their student visa for Bangladesh?,895,6
802,"Hey, do international students get help with their student visa for Bangladesh?",895,6
885,"Random question, do international students get help with their student visa for Bangladesh?",895,6
896,"This might be a silly question, but do international students get help with their student visa for Bangladesh?",895,6
792,Does a tuition fee waiver cover retaken or repeated courses for international students?,896,6
804,"Hey, does a tuition fee waiver cover retaken or repeated courses for international students?",896,6
843,"Just wondering, does a tuition fee waiver cover retaken or repeated courses for international students?",896,6
847,"Kind of urgent, but does a tuition fee waiver cover retaken or repeated courses for international students?",896,6
879,Quick question — does a tuition fee waiver cover retaken or repeated courses for international students?,896,6
897,"This might be a silly question, but does a tuition fee waiver cover retaken or repeated courses for international students?",896,6
810,"Hey, what documents are required for international students admission?",903,6
860,No idea if this is written down anywhere — what documents are required for international students admission?,903,6
866,"Not sure if this is covered elsewhere, but what documents are required for international students admission?",903,6
882,Quick question — what documents are required for international students admission?,903,6
894,"Sorry if this was already answered, but what documents are required for international students admission?",903,6
904,What documents are required for international students admission?,903,6
829,I looked around the site but couldn't find it — what documents do international applicants generally need to submit with previous academic records?,904,6
849,"Kind of urgent, but what documents do international applicants generally need to submit with previous academic records?",904,6
861,No idea if this is written down anywhere — what documents do international applicants generally need to submit with previous academic records?,904,6
876,One thing I couldn't find anywhere: what documents do international applicants generally need to submit with previous academic records?,904,6
899,"This might be a silly question, but what documents do international applicants generally need to submit with previous academic records?",904,6
905,What documents do international applicants generally need to submit with previous academic records?,904,6
801,For a friend who's asking — what happens to an international student's scholarship if they fail a subject?,906,6
818,"Hi, what happens to an international student's scholarship if they fail a subject?",906,6
834,"I wanted to ask, what happens to an international student's scholarship if they fail a subject?",906,6
851,"Kind of urgent, but what happens to an international student's scholarship if they fail a subject?",906,6
900,"This might be a silly question, but what happens to an international student's scholarship if they fail a subject?",906,6
907,What happens to an international student's scholarship if they fail a subject?,906,6
807,"Hey, how do I apply for the BRAC University international scholarship?",910,6
820,How do I apply for the BRAC University international scholarship?,910,6
858,No idea if this is written down anywhere — how do I apply for the BRAC University international scholarship?,910,6
880,Quick question — how do I apply for the BRAC University international scholarship?,910,6
886,"Random question, how do I apply for the BRAC University international scholarship?",910,6
911,What's the process to apply for the BRAC University international scholarship?,910,6
836,"I wanted to ask, who manages accommodation for international students at BRAC University?",911,6
868,"Not sure if this is covered elsewhere, but who manages accommodation for international students at BRAC University?",911,6
878,One thing I couldn't find anywhere: who manages accommodation for international students at BRAC University?,911,6
889,"Random question, who manages accommodation for international students at BRAC University?",911,6
895,"Sorry if this was already answered, but who manages accommodation for international students at BRAC University?",911,6
912,Who manages accommodation for international students at BRAC University?,911,6
939,Curious about something: does the Ayesha Abed Library help other institutions set up their own library systems?,1014,6
948,Does the Ayesha Abed Library help other institutions set up their own library systems?,1014,6
957,For a friend who's asking — does the Ayesha Abed Library help other institutions set up their own library systems?,1014,6
969,"Hi, does the Ayesha Abed Library help other institutions set up their own library systems?",1014,6
985,"I wanted to ask, does the Ayesha Abed Library help other institutions set up their own library systems?",1014,6
1015,"Not sure if this is covered elsewhere, but does the Ayesha Abed Library help other institutions set up their own library systems?",1014,6
926,Can someone help — is the library open on government holidays?,1028,6
944,Curious about something: is the library open on government holidays?,1028,6
990,Is the library open on government holidays?,1028,6
1003,"Kind of urgent, but is the library open on government holidays?",1028,6
1018,"Not sure if this is covered elsewhere, but is the library open on government holidays?",1028,6
1029,Quick question — is the library open on government holidays?,1028,6
913,Am I allowed to renew a book I have borrowed from the library?,1037,6
916,Before I forget to ask — can I renew a book I have borrowed from the library?,1037,6
922,Can I renew a book I have borrowed from the library?,1037,6
1013,No idea if this is written down anywhere — can I renew a book I have borrowed from the library?,1037,6
1021,One thing I couldn't find anywhere: can I renew a book I have borrowed from the library?,1037,6
1038,"Sorry if this was already answered, but can I renew a book I have borrowed from the library?",1037,6
915,"Are journals, magazines and reference books available for borrowing?",1042,6
924,"Can someone help — are journals, magazines and reference books available for borrowing?",1042,6
954,"For a friend who's asking — are journals, magazines and reference books available for borrowing?",1042,6
991,"Just wondering, are journals, magazines and reference books available for borrowing?",1042,6
1027,"Quick question — are journals, magazines and reference books available for borrowing?",1042,6
1043,"This might be a silly question, but are journals, magazines and reference books available for borrowing?",1042,6
917,Before I forget to ask — does the library offer any support specifically for finding a thesis supervisor's or department's past research?,1043,6
940,Curious about something: does the library offer any support specifically for finding a thesis supervisor's or department's past research?,1043,6
949,Does the library offer any support specifically for finding a thesis supervisor's or department's past research?,1043,6
992,"Just wondering, does the library offer any support specifically for finding a thesis supervisor's or department's past research?",1043,6
1008,"New student here, does the library offer any support specifically for finding a thesis supervisor's or department's past research?",1043,6
1044,"This might be a silly question, but does the library offer any support specifically for finding a thesis supervisor's or department's past research?",1043,6
941,Curious about something: does the library offer orientation sessions for new students?,1044,6
950,Does the library offer orientation sessions for new students?,1044,6
970,"Hi, does the library offer orientation sessions for new students?",1044,6
993,"Just wondering, does the library offer orientation sessions for new students?",1044,6
1040,"Sorry if this was already answered, but does the library offer orientation sessions for new students?",1044,6
1045,"This might be a silly question, but does the library offer orientation sessions for new students?",1044,6
918,Before I forget to ask — does the library provide any support for referencing and citation styles?,1045,6
942,Curious about something: does the library provide any support for referencing and citation styles?,1045,6
951,Does the library provide any support for referencing and citation styles?,1045,6
975,I looked around the site but couldn't find it — does the library provide any support for referencing and citation styles?,1045,6
1034,"Random question, does the library provide any support for referencing and citation styles?",1045,6
1046,"This might be a silly question, but does the library provide any support for referencing and citation styles?",1045,6
952,Does the library provide help specifically with using citation management or referencing tools?,1046,6
994,"Just wondering, does the library provide help specifically with using citation management or referencing tools?",1046,6
1009,"New student here, does the library provide help specifically with using citation management or referencing tools?",1046,6
1014,No idea if this is written down anywhere — does the library provide help specifically with using citation management or referencing tools?,1046,6
1016,"Not sure if this is covered elsewhere, but does the library provide help specifically with using citation management or referencing tools?",1046,6
1047,"This might be a silly question, but does the library provide help specifically with using citation management or referencing tools?",1046,6
929,Can someone help — what are the Ayesha Abed Library's opening hours?,1050,6
935,Can you tell me what the Ayesha Abed Library's opening hours are?,1050,6
960,For a friend who's asking — what are the Ayesha Abed Library's opening hours?,1050,6
978,I looked around the site but couldn't find it — what are the Ayesha Abed Library's opening hours?,1050,6
987,"I wanted to ask, what are the Ayesha Abed Library's opening hours?",1050,6
1051,What are the Ayesha Abed Library's opening hours?,1050,6
920,Before I forget to ask — what happens if I return a library book after the due date?,1052,6
979,I looked around the site but couldn't find it — what happens if I return a library book after the due date?,1052,6
1030,Quick question — what happens if I return a library book after the due date?,1052,6
1036,"Random question, what happens if I return a library book after the due date?",1052,6
1042,"Sorry if this was already answered, but what happens if I return a library book after the due date?",1052,6
1053,What happens if I return a library book after the due date?,1052,6
931,Can someone help — what kind of resources does the Ayesha Abed Library provide access to?,1054,6
980,I looked around the site but couldn't find it — what kind of resources does the Ayesha Abed Library provide access to?,1054,6
997,"Just wondering, what kind of resources does the Ayesha Abed Library provide access to?",1054,6
1005,"Kind of urgent, but what kind of resources does the Ayesha Abed Library provide access to?",1054,6
1031,Quick question — what kind of resources does the Ayesha Abed Library provide access to?,1054,6
1055,What kind of resources does the Ayesha Abed Library provide access to?,1054,6
961,For a friend who's asking — where can I find past BRAC University theses and internship reports online?,1059,6
982,I looked around the site but couldn't find it — where can I find past BRAC University theses and internship reports online?,1059,6
999,"Just wondering, where can I find past BRAC University theses and internship reports online?",1059,6
1020,"Not sure if this is covered elsewhere, but where can I find past BRAC University theses and internship reports online?",1059,6
1037,"Random question, where can I find past BRAC University theses and internship reports online?",1059,6
1060,Where can I find past BRAC University theses and internship reports online?,1059,6
947,Curious about something: where is the Ayesha Abed Library located on campus?,1061,6
972,"Hi, where is the Ayesha Abed Library located on campus?",1061,6
1032,Quick question — where is the Ayesha Abed Library located on campus?,1061,6
1050,"This might be a silly question, but where is the Ayesha Abed Library located on campus?",1061,6
1061,Where can I find the Ayesha Abed Library located on campus?,1061,6
1062,Where is the Ayesha Abed Library located on campus?,1061,6
1220,Can you tell me what the types of Scholarship/ Financial aid offered by Brac University are?,1330,6
1295,One thing I couldn't find anywhere: what types of financial aid are available at BRAC University?,1330,6
1309,"This might be a silly question, but what scholarships are offered by BRAC University?",1330,6
1319,What are the types of Scholarship/ Financial aid offered by Brac University?,1330,6
1331,What scholarships are offered by BRAC University?,1330,6
1333,What types of financial aid are available at BRAC University?,1330,6
778,Curious about something: do international students need to submit any medical reports?,852,5
790,Do international students need to submit any medical reports?,852,5
803,"Hey, do international students need to submit any medical reports?",852,5
842,"Just wondering, do international students need to submit any medical reports?",852,5
853,"New student here, do international students need to submit any medical reports?",852,5
763,Before I forget to ask — do BRACU helps during VISA processing for international students?,869,5
787,Do BRACU helps during VISA processing for international students?,869,5
825,I looked around the site but couldn't find it — do BRACU helps during VISA processing for international students?,869,5
862,"Not sure if this is covered elsewhere, but do BRACU helps during VISA processing for international students?",869,5
870,One thing I couldn't find anywhere: do BRACU helps during VISA processing for international students?,869,5
776,Curious about something: do international applicants have an application deadline?,870,5
788,Do international applicants have an application deadline?,870,5
832,"I wanted to ask, do international applicants have an application deadline?",870,5
857,No idea if this is written down anywhere — do international applicants have an application deadline?,870,5
871,One thing I couldn't find anywhere: do international applicants have an application deadline?,870,5
782,Curious about something: how is the admission test conducted for international applicants?,873,5
821,How is the admission test conducted for international applicants?,873,5
827,I looked around the site but couldn't find it — how is the admission test conducted for international applicants?,873,5
864,"Not sure if this is covered elsewhere, but how is the admission test conducted for international applicants?",873,5
874,One thing I couldn't find anywhere: how is the admission test conducted for international applicants?,873,5
773,Can someone help — is there any transportation facility for international students?,874,5
809,"Hey, is there any transportation facility for international students?",874,5
816,"Hi, is there any transportation facility for international students?",874,5
841,Is there any transportation facility for international students?,874,5
875,One thing I couldn't find anywhere: is there any transportation facility for international students?,874,5
781,Curious about something: how can an international student apply for admission at BRAC University?,891,5
814,"Hi, how can an international student apply for admission at BRAC University?",891,5
819,How can an international student apply for admission at BRAC University?,891,5
873,One thing I couldn't find anywhere: how can an international student apply for admission at BRAC University?,891,5
892,"Sorry if this was already answered, but how can an international student apply for admission at BRAC University?",891,5
766,Before I forget to ask — is accommodation guaranteed for all international students?,897,5
808,"Hey, is accommodation guaranteed for all international students?",897,5
838,Is accommodation guaranteed for all international students?,897,5
855,"New student here, is accommodation guaranteed for all international students?",897,5
898,"This might be a silly question, but is accommodation guaranteed for all international students?",897,5
785,Curious about something: what CGPA must an international student maintain to keep the need-based BRAC Scholarship?,902,5
817,"Hi, what CGPA must an international student maintain to keep the need-based BRAC Scholarship?",902,5
846,"Just wondering, what CGPA must an international student maintain to keep the need-based BRAC Scholarship?",902,5
881,Quick question — what CGPA must an international student maintain to keep the need-based BRAC Scholarship?,902,5
903,What CGPA must an international student maintain to keep the need-based BRAC Scholarship?,902,5
811,"Hey, what does the International and Scholarship Office (ISO) do besides managing accommodation?",905,5
850,"Kind of urgent, but what does the International and Scholarship Office (ISO) do besides managing accommodation?",905,5
883,Quick question — what does the International and Scholarship Office (ISO) do besides managing accommodation?,905,5
888,"Random question, what does the International and Scholarship Office (ISO) do besides managing accommodation?",905,5
906,What does the International and Scholarship Office (ISO) do besides managing accommodation?,905,5
774,Can you tell me what the approximate monthly living cost for an international student at BRACU is?,907,5
830,I looked around the site but couldn't find it — what is the approximate monthly living cost for an international student at BRACU?,907,5
867,"Not sure if this is covered elsewhere, but what is the approximate monthly living cost for an international student at BRACU?",907,5
901,"This might be a silly question, but what is the approximate monthly living cost for an international student at BRACU?",907,5
908,What is the approximate monthly living cost for an international student at BRACU?,907,5
768,Before I forget to ask — what is the free structure for international students?,908,5
775,Can you tell me what the free structure for international students is?,908,5
786,Curious about something: what is the free structure for international students?,908,5
852,"Kind of urgent, but what is the free structure for international students?",908,5
909,What is the free structure for international students?,908,5
769,Before I forget to ask — what medical requirements do international students need to meet before enrolling?,909,5
835,"I wanted to ask, what medical requirements do international students need to meet before enrolling?",909,5
877,One thing I couldn't find anywhere: what medical requirements do international students need to meet before enrolling?,909,5
902,"This might be a silly question, but what medical requirements do international students need to meet before enrolling?",909,5
910,What medical requirements do international students need to meet before enrolling?,909,5
921,Can alumni or the general public access the Ayesha Abed Library?,1005,5
955,For a friend who's asking — can alumni or the general public access the Ayesha Abed Library?,1005,5
962,"Hey, can alumni or the general public access the Ayesha Abed Library?",1005,5
983,"I wanted to ask, can alumni or the general public access the Ayesha Abed Library?",1005,5
1006,"New student here, can alumni or the general public access the Ayesha Abed Library?",1005,5
946,Curious about something: what things are allowed to bring in library?,1011,5
988,"I wanted to ask, what things are allowed to bring in library?",1011,5
998,"Just wondering, what things are allowed to bring in library?",1011,5
1012,"New student here, what things are allowed to bring in library?",1011,5
1059,What things are allowed to bring in library?,1011,5
953,Does the library subscribe to subject-specific databases beyond general publishers like Elsevier or Springer?,1016,5
963,"Hey, does the library subscribe to subject-specific databases beyond general publishers like Elsevier or Springer?",1016,5
976,I looked around the site but couldn't find it — does the library subscribe to subject-specific databases beyond general publishers like Elsevier or Springer?,1016,5
1001,"Kind of urgent, but does the library subscribe to subject-specific databases beyond general publishers like Elsevier or Springer?",1016,5
1017,"Not sure if this is covered elsewhere, but does the library subscribe to subject-specific databases beyond general publishers like Elsevier or Springer?",1016,5
914,Am I allowed to take food to the library?,1021,5
923,Can I take food to the library?,1021,5
956,For a friend who's asking — can I take food to the library?,1021,5
1007,"New student here, can I take food to the library?",1021,5
1022,One thing I couldn't find anywhere: can I take food to the library?,1021,5
943,Curious about something: is the library open on Friday?,1022,5
965,"Hey, is the library open on Friday?",1022,5
977,I looked around the site but couldn't find it — is the library open on Friday?,1022,5
989,Is the library open on Friday?,1022,5
1023,One thing I couldn't find anywhere: is the library open on Friday?,1022,5
927,Can someone help — provide me the contact information of library staffs?,1024,5
959,For a friend who's asking — provide me the contact information of library staffs?,1024,5
986,"I wanted to ask, provide me the contact information of library staffs?",1024,5
1025,Provide me the contact information of library staffs.,1024,5
1048,"This might be a silly question, but provide me the contact information of library staffs?",1024,5
933,Can the library recall a book I've borrowed before the due date?,1027,5
938,Curious about something: can the library recall a book I've borrowed before the due date?,1027,5
984,"I wanted to ask, can the library recall a book I've borrowed before the due date?",1027,5
1000,"Kind of urgent, but can the library recall a book I've borrowed before the due date?",1027,5
1028,Quick question — can the library recall a book I've borrowed before the due date?,1027,5
925,Can someone help — can you tell me the library time schedule?,1038,5
934,Can you tell me the library time schedule?,1038,5
968,"Hi, can you tell me the library time schedule?",1038,5
1033,"Random question, can you tell me the library time schedule?",1038,5
1039,"Sorry if this was already answered, but can you tell me the library time schedule?",1038,5
936,Can you tell me what the Digital Scholarship Lab at the Ayesha Abed Library is?,1053,5
971,"Hi, what is the Digital Scholarship Lab at the Ayesha Abed Library?",1053,5
1004,"Kind of urgent, but what is the Digital Scholarship Lab at the Ayesha Abed Library?",1053,5
1019,"Not sure if this is covered elsewhere, but what is the Digital Scholarship Lab at the Ayesha Abed Library?",1053,5
1054,What is the Digital Scholarship Lab at the Ayesha Abed Library?,1053,5
932,Can someone help — what services do library provide?,1055,5
945,Curious about something: what services do library provide?,1055,5
967,"Hey, what services do library provide?",1055,5
1049,"This might be a silly question, but what services do library provide?",1055,5
1056,What services do library provide?,1055,5
958,For a friend who's asking — how can I access the library's e-resources from off campus?,1056,5
973,How can I access the library's e-resources from off campus?,1056,5
995,"Just wondering, how can I access the library's e-resources from off campus?",1056,5
1010,"New student here, how can I access the library's e-resources from off campus?",1056,5
1057,What steps do I need to follow to access the library's e-resources from off campus?,1056,5
919,Before I forget to ask — how can I check for plagiarism in my thesis or assignment?,1057,5
964,"Hey, how can I check for plagiarism in my thesis or assignment?",1057,5
974,How can I check for plagiarism in my thesis or assignment?,1057,5
1002,"Kind of urgent, but how can I check for plagiarism in my thesis or assignment?",1057,5
1058,What steps do I need to follow to check for plagiarism in my thesis or assignment?,1057,5
78,"How many semesters does BRAC University run per year, and when do they start?",1433,5
101,"Just wondering, how many semesters does BRAC University run per year, and when do they start?",1433,5
1349,"Before I forget to ask — how many semesters does BRAC University run each year, and what are they called?",1433,5
1395,"How many semesters does BRAC University run each year, and what are they called?",1433,5
1434,"Not sure if this is covered elsewhere, but how many semesters does BRAC University run each year, and what are they called?",1433,5
109,No idea if this is written down anywhere — what documents are required for the application?,1457,5
124,What documents are required for the application?,1457,5
1350,Before I forget to ask — what documents are required to submit with the application?,1457,5
1415,"Just wondering, what documents are required to submit with the application?",1457,5
1458,What documents are required to submit with the application?,1457,5
2150,What are the pickup times for Route-01 (Abdullahpur)?,2156,5
2151,What are the pickup times for Route-02 (Mirpur-A)?,2156,5
2152,What are the pickup times for Route-02 (Mirpur-B)?,2156,5
2154,What are the pickup times for Route-04 (Azimpur)?,2156,5
2157,What are the pickup times for Route-07 (Mohammadpur)?,2156,5
2253,I looked around the site but couldn't find it — what notable project have BRAC University EEE alumni been involved in?,2287,5
2268,"Not sure if this is covered elsewhere, but what notable project have BRAC University EEE alumni been involved in?",2287,5
2273,Quick question — what notable project have BRAC University EEE alumni been involved in?,2287,5
2276,"Random question, what notable project have BRAC University EEE alumni been involved in?",2287,5
2288,What notable project have BRAC University EEE alumni been involved in?,2287,5
90,"I wanted to ask, which undergraduate program at BRAC University has the highest total credit requirement?",150,4
103,"Just wondering, which undergraduate programs have the lowest total credit requirements at BRAC University?",150,4
150,Which undergraduate program at BRAC University has the highest total credit requirement?,150,4
151,Which undergraduate programs have the lowest total credit requirements at BRAC University?,150,4
303,Before I forget to ask — does BRAC University have a medical center for students?,387,4
311,Does BRAC University have a medical center for students?,387,4
329,"Hi, what services does the BRAC University Medical Center provide?",387,4
388,What services does the BRAC University Medical Center provide?,387,4
487,Curious about something: how is the Grade Point Average (GPA) calculated?,523,4
503,"Hey, how is the Grade Point Average (GPA) calculated?",523,4
516,How is the Grade Point Average (GPA) calculated?,523,4
524,I looked around the site but couldn't find it — how is the Grade Point Average (GPA) calculated?,523,4
463,Before I forget to ask — does a Pass/Fail grade or a Satisfactory/Unsatisfactory grade count toward Dean's List or VC's List eligibility credits?,542,4
494,Does a Pass/Fail grade or a Satisfactory/Unsatisfactory grade count toward Dean's List or VC's List eligibility credits?,542,4
522,I looked around the site but couldn't find it — does a Pass/Fail grade or a Satisfactory/Unsatisfactory grade count toward Dean's List or VC's List eligibility credits?,542,4
543,"Just wondering, does a Pass/Fail grade or a Satisfactory/Unsatisfactory grade count toward Dean's List or VC's List eligibility credits?",542,4
510,"Hi, how often are exams held at BRAC University?",555,4
520,How often are exams held at BRAC University?,555,4
544,"Just wondering, how often are exams held at BRAC University?",555,4
556,"New student here, how often are exams held at BRAC University?",555,4
464,Before I forget to ask — how soon are make-up exams scheduled after the original exam date?,561,4
511,"Hi, how soon are make-up exams scheduled after the original exam date?",561,4
521,How soon are make-up exams scheduled after the original exam date?,561,4
562,"Not sure if this is covered elsewhere, but how soon are make-up exams scheduled after the original exam date?",561,4
458,Are students allowed to appeal their grades if they believe there has been a mistake?,562,4
476,Can students appeal their grades if they believe there has been a mistake?,562,4
549,"Kind of urgent, but can students appeal their grades if they believe there has been a mistake?",562,4
563,One thing I couldn't find anywhere: can students appeal their grades if they believe there has been a mistake?,562,4
456,Am I allowed to drop a course after the official drop deadline has passed?,566,4
470,Can I drop a course after the official drop deadline has passed?,566,4
472,Can someone help — can I drop a course after the official drop deadline has passed?,566,4
567,Quick question — can I drop a course after the official drop deadline has passed?,566,4
462,Before I forget to ask — do retaken or repeated courses show up on my final transcript?,567,4
485,Curious about something: do retaken or repeated courses show up on my final transcript?,567,4
492,Do retaken or repeated courses show up on my final transcript?,567,4
568,Quick question — do retaken or repeated courses show up on my final transcript?,567,4
528,"I wanted to ask, if I repeat a course after getting a B- or lower, what is the maximum grade I can receive?",569,4
539,"If I repeat a course after getting a B- or lower, what is the maximum grade I can receive?",569,4
559,"No idea if this is written down anywhere — if I repeat a course after getting a B- or lower, what is the maximum grade I can receive?",569,4
570,"Quick question — if I repeat a course after getting a B- or lower, what is the maximum grade I can receive?",569,4
460,Are students who transferred credits from another university eligible for the Gold Medal?,583,4
566,Quick question — are students who transferred credits from another university eligible for the Gold Medal?,583,4
574,"Random question, are students who transferred credits from another university eligible for the Gold Medal?",583,4
584,"This might be a silly question, but are students who transferred credits from another university eligible for the Gold Medal?",583,4
478,Can you tell me what the consequences of cheating during an exam are?,588,4
530,"I wanted to ask, what are the consequences of cheating during an exam?",588,4
545,"Just wondering, what are the consequences of cheating during an exam?",588,4
589,What are the consequences of cheating during an exam?,588,4
525,I looked around the site but couldn't find it — what grading scale does BRAC University use?,593,4
532,"I wanted to ask, what grading scale does BRAC University use?",593,4
573,Quick question — what grading scale does BRAC University use?,593,4
594,What grading scale does BRAC University use?,593,4
473,Can someone help — what happens if a student abandons a course without officially withdrawing?,594,4
488,Curious about something: what happens if a student abandons a course without officially withdrawing?,594,4
505,"Hey, what happens if a student abandons a course without officially withdrawing?",594,4
595,What happens if a student abandons a course without officially withdrawing?,594,4
489,Curious about something: what happens if my CGPA is below 1.0 after my first semester?,595,4
575,"Random question, what happens if my CGPA is below 1.0 after my first semester?",595,4
581,"Sorry if this was already answered, but what happens if my CGPA is below 1.0 after my first semester?",595,4
596,What happens if my CGPA is below 1.0 after my first semester?,595,4
512,"Hi, what is a 'W' grade and does it affect my CGPA?",596,4
576,"Random question, what is a 'W' grade and does it affect my CGPA?",596,4
582,"Sorry if this was already answered, but what is a 'W' grade and does it affect my CGPA?",596,4
597,What is a 'W' grade and does it affect my CGPA?,596,4
467,Before I forget to ask — what is the deadline to drop a course without it showing up as a withdrawal?,599,4
479,Can you tell me what the deadline to drop a course without it showing up as a withdrawal is?,599,4
546,"Just wondering, what is the deadline to drop a course without it showing up as a withdrawal?",599,4
600,What is the deadline to drop a course without it showing up as a withdrawal?,599,4
474,Can someone help — what is the minimum class attendance required to sit for the final exam?,602,4
482,Can you tell me what the minimum class attendance required to sit for the final exam is?,602,4
507,"Hey, what is the minimum class attendance required to sit for the final exam?",602,4
603,What is the minimum class attendance required to sit for the final exam?,602,4
475,Can someone help — what kinds of assessment make up a student's grade during the semester?,605,4
533,"I wanted to ask, what kinds of assessment make up a student's grade during the semester?",605,4
577,"Random question, what kinds of assessment make up a student's grade during the semester?",605,4
606,What kinds of assessment make up a student's grade during the semester?,605,4
501,For a friend who's asking — where can students find the exam schedule?,609,4
565,One thing I couldn't find anywhere: where can students find the exam schedule?,609,4
583,"Sorry if this was already answered, but where can students find the exam schedule?",609,4
610,Where can students find the exam schedule?,609,4
513,"Hi, why is there a fee for repeat/retake exams, and why is it charged at the regular rate?",610,4
553,"Kind of urgent, but why is there a fee for repeat/retake exams, and why is it charged at the regular rate?",610,4
580,"Random question, why is there a fee for repeat/retake exams, and why is it charged at the regular rate?",610,4
611,"Why is there a fee for repeat/retake exams, and why is it charged at the regular rate?",610,4
928,Can someone help — provide me the library website link?,1034,4
996,"Just wondering, provide me the library website link?",1034,4
