query_id,condition,old_judge_score,new_judge_A,new_judge_B,A_n_names,A_acknowledges,B_n_names,B_acknowledges,parse_failed
AMBX053,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX211,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX210,conditioning,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX022,conditioning,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX132,flat_notice,1,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX131,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX160,conditioning,0,,,,,,,True
AMBX181,flat_notice,1,1.0,1.0,4.0,1.0,0.0,1.0,False
AMBX086,conditioning,1,1.0,1.0,0.0,0.0,0.0,0.0,False
AMBX004,conditioning,0,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX040,no_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX197,conditioning,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX210,flat_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX220,flat_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX204,no_notice,0,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX149,flat_notice,0,1.0,1.0,16.0,1.0,0.0,1.0,False
AMBX054,conditioning,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX199,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX002,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX187,conditioning,0,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX171,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX061,conditioning,0,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX174,no_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX037,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX102,conditioning,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX176,conditioning,0,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX213,conditioning,0,1.0,0.0,0.0,0.0,1.0,0.0,False
AMBX205,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX128,flat_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX056,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX001,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX111,flat_notice,0,,,,,,,True
AMBX167,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX007,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX179,conditioning,1,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX124,conditioning,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX105,conditioning,0,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX082,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX020,conditioning,0,1.0,1.0,4.0,1.0,4.0,1.0,False
AMBX042,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
