query_id,is_entity_heavy,retrieval_consistent,exact_match_all_repeats,min_pairwise_similarity,answers
Q084,False,True,True,1.0,"[""Every undergraduate student, regardless of major, must complete 42 credit-hours (14 courses) of General Education courses, generally within the first two years of study, spanning Humanities, Social Sciences, Law, Mathematics, Sciences, Technology and Architecture."", ""Every undergraduate student, regardless of major, must complete 42 credit-hours (14 courses) of General Education courses, generally within the first two years of study, spanning Humanities, Social Sciences, Law, Mathematics, Sciences, Technology and Architecture."", ""Every undergraduate student, regardless of major, must complete 42 credit-hours (14 courses) of General Education courses, generally within the first two years of study, spanning Humanities, Social Sciences, Law, Mathematics, Sciences, Technology and Architecture.""]"
Q054,False,True,True,1.0,"[""The Counseling and Wellness Centre at BRAC University offers psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus."", ""The Counseling and Wellness Centre at BRAC University offers psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus."", ""The Counseling and Wellness Centre at BRAC University offers psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.""]"
Q071,False,True,True,1.0,"[""No - tuition fee waivers and scholarships, including the BRAC Scholarship, are not applied to retake or repeat courses; you'd need to pay for the retake yourself. Separately, since you failed a course, you also won't be considered for the tuition fee waiver for the following two semesters even on your other coursework, regardless of your CGPA being above the 3.0 minimum."", ""No - tuition fee waivers and scholarships, including the BRAC Scholarship, are not applied to retake or repeat courses; you'd need to pay for the retake yourself. Separately, since you failed a course, you also won't be considered for the tuition fee waiver for the following two semesters even on your other coursework, regardless of your CGPA being above the 3.0 minimum."", ""No - tuition fee waivers and scholarships, including the BRAC Scholarship, are not applied to retake or repeat courses; you'd need to pay for the retake yourself. Separately, since you failed a course, you also won't be considered for the tuition fee waiver for the following two semesters even on your other coursework, regardless of your CGPA being above the 3.0 minimum.""]"
Q046,False,True,False,0.9012345679012346,"[""The university has BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club."", ""The university has several sports teams, including BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club."", ""The university has several sports teams, including BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.""]"
Q045,False,True,True,1.0,"[""Please wait, your advisor is maybe busy with other students' responses. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get the request done by the advisor."", ""Please wait, your advisor is maybe busy with other students' responses. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get the request done by the advisor."", ""Please wait, your advisor is maybe busy with other students' responses. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get the request done by the advisor.""]"
Q040,False,True,True,1.0,"[""The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date."", ""The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date."", ""The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.""]"
Q023,False,True,True,1.0,"[""Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently."", ""Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently."", ""Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.""]"
Q081,False,True,True,1.0,"[""I don't have reliable information retrieved for this question. Please check with your academic advisor or BRAC University's official resources rather than relying on a guess here."", ""I don't have reliable information retrieved for this question. Please check with your academic advisor or BRAC University's official resources rather than relying on a guess here."", ""I don't have reliable information retrieved for this question. Please check with your academic advisor or BRAC University's official resources rather than relying on a guess here.""]"
Q011,False,True,True,1.0,"[""BRAC University has both a physical and a digital student ID card. The university introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option), which is usable alongside the physical ID card."", ""BRAC University has both a physical and a digital student ID card. The university introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option), which is usable alongside the physical ID card."", ""BRAC University has both a physical and a digital student ID card. The university introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option), which is usable alongside the physical ID card.""]"
Q001,False,True,False,0.954983922829582,"[""Meal plans at TARC are managed by providing three main meals - breakfast, lunch, and dinner - along with two snack times that follow each of the main meals. Breakfast time is from 7-9 am, lunch time is from 12:30-3 pm, dinner time is from 8:30-10 pm, and snacks are available from 11-12 am and 4-5 pm collectively."", ""Meal plans at TARC are managed by providing three main meals - breakfast, lunch, and dinner - along with two snack times that follow each of the main meals. Breakfast time is from 7-9 am, lunch time is from 12:30-3 pm, dinner time is from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively."", ""Meal plans at TARC are managed by providing three main meals - breakfast, lunch, and dinner - along with two snack times that follow each of the main meals. Breakfast time is from 7-9 am, lunch time is from 12:30-3 pm, dinner time is from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively.""]"
